beer,link,score,style
Carakale Coffee Porter,/beer/carakale-coffee-porter/478528/,3.27,Porter
Carakale Baltic Porter,/beer/carakale-baltic-porter/511475/,3.13,Baltic Porter
Carakale Kristallweizen,/beer/carakale-kristallweizen/408637/,3.11,German Kristallweizen
Carakale / Arizona Wilderness Dead Sea-rious,/beer/carakale-arizona-wilderness-dead-sea-rious/558375/,3.09,Grodziskie/Gose/Lichtenhainer
Carakale Mocha Stout,/beer/carakale-mocha-stout/269292/,2.98,Dry Stout
Carakale Blonde Ale,/beer/carakale-blonde-ale/247760/,2.84,Golden Ale/Blond Ale
Carakale Whisky Ale,/beer/carakale-whisky-ale/268999/,2.83,Amber Ale
Mood Regular,/beer/mood-regular/263542/,2.50,Low Alcohol
Icer Classic,/beer/icer-classic/74957/,2.42,Low Alcohol
Maxi Beer,/beer/maxi-beer/188868/,2.37,Pale Lager
Petra Beer 13%   ,/beer/petra-beer-13/194436/,2.31,Imperial Pils/Strong Pale Lager
Petra Beer 5%,/beer/petra-beer-5/379254/,2.21,Pale Lager
Henninger Frankfurt Beer 3.75% (Jordan),/beer/henninger-frankfurt-beer-375-jordan/255449/,2.20,Pale Lager
Petra Beer 8%,/beer/petra-beer-8/62608/,2.16,Malt Liquor
Vita Non-alcoholic Malt Beverage,/beer/vita-non-alcoholic-malt-beverage/164768/,2.14,Low Alcohol
Philadelphia Beer,/beer/philadelphia-beer/62637/,2.09,Pale Lager
Maxi Beer 3.75%,/beer/maxi-beer-375/236416/,2.02,Pale Lager
Philadelphia Beer 3.75%,/beer/philadelphia-beer-375/235702/,1.90,Pale Lager
Petra Beer 10%,/beer/petra-beer-10/89980/,1.85,Malt Liquor
Rockers Original,/beer/rockers-original/107925/,1.67,Low Alcohol
Carakale Imperial Red Ale,/beer/carakale-imperial-red-ale/558373/,n/a,American Strong Ale 
Amstel,/beer/amstel/447941/,n/a,Pilsener
Carakale Pale Ale,/beer/carakale-pale-ale/197128/,n/a,American Pale Ale
Carakale Pilsner,/beer/carakale-pilsner/558374/,n/a,Pilsener
