beer,link,score,style
Cesky Dvur Svetloe nefiltrovannoe,/beer/cesky-dvur-svetloe-nefiltrovannoe/366295/,3.26,Zwickel/Keller/Landbier
HellBierHaus HBH Svetloe,/beer/hellbierhaus-hbh-svetloe/366299/,3.19,Pale Lager
Cesky Dvur Svetloe filtrovannoe ,/beer/cesky-dvur-svetloe-filtrovannoe/366294/,3.13,Pale Lager
Schtab Zhevoy,/beer/schtab-zhevoy/407917/,3.13,Premium Lager
Barstol & Kok Light,/beer/barstol-kok-light/407924/,3.13,Amber Ale
Pivovaroff Temnoe,/beer/pivovaroff-temnoe/397987/,3.11,Dunkel/Tmav�
Schtab Porter,/beer/schtab-porter/407920/,3.09,Porter
Aray No11 Eksportnoe 12%,/beer/aray-no11-eksportnoe-12/11395/,3.07,Dortmunder/Helles
Barabulka Nashe Firmennoe,/beer/barabulka-nashe-firmennoe/399945/,3.04,Witbier
Bochonok Beloе,/beer/bochonok-belo1077/400205/,3.04,Witbier
HellBierHaus HBH Nefiltrovannoe,/beer/hellbierhaus-hbh-nefiltrovannoe/522182/,3.02,Zwickel/Keller/Landbier
Pivovaroff Wheat,/beer/pivovaroff-wheat/397991/,3.02,Wheat Ale
Line Brew Wheat Beer,/beer/line-brew-wheat-beer/119161/,3.01,Witbier
Shymkentskoe Zhivoe,/beer/shymkentskoe-zhivoe/521699/,3.00,Zwickel/Keller/Landbier
Line Brew Brune,/beer/line-brew-brune/360803/,3.00,Brown Ale
Efes Karaganda Beliy Medved Myagkoe,/beer/efes-karaganda-beliy-medved-myagkoe/388790/,2.98,Premium Lager
Cesky Dvur Temnoe nefiltrovannoe ,/beer/cesky-dvur-temnoe-nefiltrovannoe/366297/,2.98,Dunkel/Tmav�
Bar Kvartira Svetly no148,/beer/bar-kvartira-svetly-no148/398098/,2.98,Czech Pilsner (Světl�)
Schtab Dark,/beer/schtab-dark/363355/,2.96,Dunkel/Tmav�
Pervyj Pivzavod Grand Reserve 1854 Bogemskoe,/beer/pervyj-pivzavod-grand-reserve-1854-bogemskoe/372811/,2.96,Pilsener
Pinta (ПИНТА) Malevicz Porter,/beer/pinta-10551048105310581040-malevicz-porter/398171/,2.95,Porter
Pinta (ПИНТА) Red Rocket,/beer/pinta-10551048105310581040-red-rocket/398175/,2.95,Amber Ale
Pivovaroff Svetloe,/beer/pivovaroff-svetloe/397990/,2.94,Czech Pilsner (Světl�)
Becker Bier ,/beer/becker-bier/390902/,2.94,Pale Lager
Pub Beer XIII Unfiltered,/beer/pub-beer-xiii-unfiltered/373516/,2.94,Premium Lager
ZAO Shymkentpivo Light,/beer/zao-shymkentpivo-light/363357/,2.94,Pilsener
Slavn� Pivnice,/beer/slavna-pivnice/521938/,2.94,Czech Pilsner (Světl�)
Pinta (ПИНТА) Svetloe,/beer/pinta-10551048105310581040-svetloe/398173/,2.93,Czech Pilsner (Světl�)
Bochonok Czech,/beer/bochonok-czech/400213/,2.92,Czech Pilsner (Světl�)
Nurzhanar Ritter,/beer/nurzhanar-ritter/527536/,2.92,Dortmunder/Helles
Sigma Br�u Unfiltered,/beer/sigma-brau-unfiltered/373522/,2.92,Witbier
Pervyj Pivzavod Zhigulevskoe,/beer/pervyj-pivzavod-zhigulevskoe/376321/,2.92,Pale Lager
Bar Kvartira Neotfiltrovannyj no148,/beer/bar-kvartira-neotfiltrovannyj-no148/398100/,2.89,Pale Lager
Arasan Erzmann Hop Fresh,/beer/arasan-erzmann-hop-fresh/387292/,2.88,Pale Lager
Efes Karaganda Saphir 1958,/beer/efes-karaganda-saphir-1958/358912/,2.88,Pale Lager
Pervyj Pivzavod Pivzavod no1,/beer/pervyj-pivzavod-pivzavod-no1/369755/,2.87,Pale Lager
Pervyj Pivzavod Korona Alatau Svetloe,/beer/pervyj-pivzavod-korona-alatau-svetloe/380932/,2.87,Pale Lager
Pinta (ПИНТА) Yachmennoe,/beer/pinta-10551048105310581040-yachmennoe/516383/,2.87,Pale Lager
Arasan Zhigulevskoye,/beer/arasan-zhigulevskoye/378291/,2.86,Pale Lager
Schtab Light,/beer/schtab-light/369752/,2.84,Pilsener
Bochonok Zhivoe,/beer/bochonok-zhivoe/400221/,2.84,Premium Lager
Derbes Extra,/beer/derbes-extra/68260/,2.84,Pale Lager
Efes Karaganda Velkopopovick� Kozel Čern�,/beer/efes-karaganda-velkopopovicky-kozel-268erny/361390/,2.83,Dunkel/Tmav�
Line Brew Red Rocket,/beer/line-brew-red-rocket/369731/,2.83,Amber Ale
Barabulka Nashe Firmennoe Svetloe,/beer/barabulka-nashe-firmennoe-svetloe/522032/,2.83,Premium Lager
Pervyj Pivzavod Zolotaja Kruzhka Neotfiltrovannyj,/beer/pervyj-pivzavod-zolotaja-kruzhka-neotfiltrovannyj/394388/,2.83,Pale Lager
Ideal Svetloe 12%,/beer/ideal-svetloe-12/12333/,2.81,Czech Pilsner (Světl�)
Tian-Shan Krepkoe (Strong),/beer/tian-shan-krepkoe-strong/68262/,2.81,Imperial Pils/Strong Pale Lager
Carlsberg Kazakhstan Firmennoe Neotfiltrovannyj,/beer/carlsberg-kazakhstan-firmennoe-neotfiltrovannyj/398103/,2.81,Pale Lager
Bochonok Svetly,/beer/bochonok-svetly/407925/,2.79,Pale Lager
