beer,link,score,style
Big Five Temstout,/beer/big-five-temstout/139422/,3.27,Stout
Sierra Imperial Stout,/beer/sierra-imperial-stout/257003/,3.25,Stout
Big Five Nyatipa,/beer/big-five-nyatipa/139424/,3.05,English Pale Ale
Sierra Oktoberfest,/beer/sierra-oktoberfest/137827/,3.05,Oktoberfest/M�rzen
Big Five Enkare,/beer/big-five-enkare/396994/,3.04,Abbey Tripel
Big Five Hefeweizen,/beer/big-five-hefeweizen/139452/,3.00,German Hefeweizen
Sierra Coffee Ale,/beer/sierra-coffee-ale/146281/,2.96,Spice/Herb/Vegetable
Sierra Maibock,/beer/sierra-maibock/137826/,2.95,Heller Bock
Big Five ChuiKolsch,/beer/big-five-chuikolsch/139423/,2.86,K�lsch
Big Five Kifabock,/beer/big-five-kifabock/139421/,2.83,Abbey Dubbel
Big Five Art Brew,/beer/big-five-art-brew/397730/,2.83,English Pale Ale
Keroche Summit Malt,/beer/keroche-summit-malt/146461/,2.79,Premium Lager
Kenya Tusker Export Lager,/beer/kenya-tusker-export-lager/24928/,2.78,Pale Lager
Kenya President Extra Lager,/beer/kenya-president-extra-lager/139340/,2.76,Imperial Pils/Strong Pale Lager
Big Five Kristallweizen,/beer/big-five-kristallweizen/139455/,2.76,German Kristallweizen
Big Five Simpils,/beer/big-five-simpils/139420/,2.75,Pilsener
Big Five M�rzen,/beer/big-five-marzen/139456/,2.74,Oktoberfest/M�rzen
Big Five Simpils Lite   ,/beer/big-five-simpils-lite/177564/,2.64,Czech Pilsner (Světl�)
Big Five Oktoberfest,/beer/big-five-oktoberfest/139450/,2.64,Amber Ale
Sierra Porter,/beer/sierra-porter/102606/,2.57,Porter
Sierra Amber,/beer/sierra-amber/103014/,2.55,Amber Lager/Vienna
Keroche Summit Lager,/beer/keroche-summit-lager/146462/,2.39,Pale Lager
Sierra Blonde,/beer/sierra-blonde/103013/,2.35,Dortmunder/Helles
Kenya Senator Keg Lager,/beer/kenya-senator-keg-lager/142422/,2.33,Pale Lager
Kenya Pilsner Ice Light,/beer/kenya-pilsner-ice-light/24929/,2.32,Pale Lager
Kenya Tusker Premium / Malt Lager,/beer/kenya-tusker-premium-malt-lager/8865/,2.30,Pale Lager
Sierra Platinum,/beer/sierra-platinum/166521/,2.23,Pale Lager
Balozi Lager ,/beer/balozi-lager/225469/,2.19,Pale Lager
Kenya Tusker Lager,/beer/kenya-tusker-lager/11012/,2.15,Pale Lager
Kenya Pilsner,/beer/kenya-pilsner/24926/,2.12,Pale Lager
Kenya Allsopps Lager,/beer/kenya-allsopps-lager/51409/,1.93,Pale Lager
Kenya White Cap Light,/beer/kenya-white-cap-light/138695/,1.91,Pale Lager
Kenya White Cap,/beer/kenya-white-cap/23786/,1.89,Pale Lager
Kenya Tusker Lite,/beer/kenya-tusker-lite/168910/,1.84,Pale Lager
Kenya Pilsner Ice,/beer/kenya-pilsner-ice/16951/,1.80,Pale Lager
Big Five XXX,/beer/big-five-xxx/139451/,n/a,Abbey Tripel
