beer,link,score,style
Sabaja IPA,/beer/sabaja-ipa/238495/,3.32,India Pale Ale (IPA)
Birra Peja Krudo,/beer/birra-peja-krudo/256421/,3.22,Pale Lager
Sabaja Smoked Porter,/beer/sabaja-smoked-porter/254015/,3.20,Porter
Grembeer Dark,/beer/grembeer-dark/458154/,2.87,Schwarzbier
Sabaja Session Pale Ale,/beer/sabaja-session-pale-ale/256196/,2.84,Session IPA
Sabaja Mreti I Dimnit (Winter King) Imperial Stout,/beer/sabaja-mreti-i-dimnit-winter-king-imperial-stout/289551/,2.80,Imperial Stout
Birra Prizreni,/beer/birra-prizreni/187685/,2.79,Pale Lager
Grembeer Pilsner Art Beer,/beer/grembeer-pilsner-art-beer/458152/,2.78,Pilsener
Sabaja DardanAle Pale Ale ,/beer/sabaja-dardanale-pale-ale/259671/,2.75,American Pale Ale
Sabaja Stina Belgian Style Saison,/beer/sabaja-stina-belgian-style-saison/261686/,2.75,Saison
Sabaja Amber Ale,/beer/sabaja-amber-ale/238496/,2.63,Amber Ale
Birra Peja Zero,/beer/birra-peja-zero/173649/,2.60,Low Alcohol
King Skenderbeg,/beer/king-skenderbeg/187686/,2.58,Pale Lager
Hugos Premium Lager,/beer/hugos-premium-lager/122118/,2.57,Premium Lager
Gr�n Bra�,/beer/grun-brau/225440/,2.50,Pale Lager
Top Budget Kings Br�u,/beer/top-budget-kings-brau/279907/,2.48,Pale Lager
Birra Peja Premium,/beer/birra-peja-premium/99418/,2.28,Pilsener
Birra Peja Pilsner / Original,/beer/birra-peja-pilsner-original/90854/,2.25,Pilsener
Birra Prishtina Lager,/beer/birra-prishtina-lager/485089/,2.19,Pale Lager
Birr� e Pej�s Pilsner,/beer/birre-e-pejes-pilsner/39255/,2.05,Pilsener
PR Prishtina Pilsner Birra,/beer/pr-prishtina-pilsner-birra/380528/,1.91,Pale Lager
Birra Gold,/beer/birra-gold/173652/,n/a,Pale Lager
Birra Peja Zero Ananas,/beer/birra-peja-zero-ananas/187688/,n/a,Radler/Shandy
