beer,link,score,style
Steinbrau Kolsch,/beer/steinbrau-kolsch/38434/,3.07,K�lsch
Save The Ales IPA,/beer/save-the-ales-ipa/451286/,3.04,India Pale Ale (IPA)
Steinbrau Temnoe,/beer/steinbrau-temnoe/38431/,3.03,Dunkel/Tmav�
Steinbrau Myunkhenskoe,/beer/steinbrau-myunkhenskoe/38433/,3.02,Dortmunder/Helles
Steinbrau Yantarnoe,/beer/steinbrau-yantarnoe/38432/,2.97,Oktoberfest/M�rzen
Steinbr�u Unfiltered,/beer/steinbrau-unfiltered/369765/,2.96,Witbier
Abdysh-Ata Praga,/beer/abdysh-ata-praga/369763/,2.94,Czech Pilsner (Světl�)
Nashe Bezalkogolnoe,/beer/nashe-bezalkogolnoe/367117/,2.94,Low Alcohol
Brauer Venskoe Svetloe (light),/beer/brauer-venskoe-svetloe-light/367347/,2.94,Amber Lager/Vienna
Save The Ales Pale Ale,/beer/save-the-ales-pale-ale/451285/,2.92,American Pale Ale
Kellers Bier Nefiltrovne,/beer/kellers-bier-nefiltrovne/38430/,2.88,Pale Lager
Chebak,/beer/chebak/473150/,2.83,Pale Lager
Kellers Bier Porter,/beer/kellers-bier-porter/367362/,2.83,Porter
Kellers Bier Filtrovne,/beer/kellers-bier-filtrovne/38429/,2.77,Pale Lager
Admiral Yantarnoe,/beer/admiral-yantarnoe/38717/,2.77,Dunkel/Tmav�
Bishkekskoe Barnoe,/beer/bishkekskoe-barnoe/541649/,2.70,Pale Lager
Bozo,/beer/bozo/54272/,2.69,Traditional Ale
Belovodskoe Svetloe,/beer/belovodskoe-svetloe/38426/,2.66,Pale Lager
Admiral Svetloe,/beer/admiral-svetloe/38716/,2.62,Dunkel/Tmav�
Nashe Pivovskoe,/beer/nashe-pivovskoe/149575/,2.62,Pale Lager
Akademiya Gold,/beer/akademiya-gold/38999/,2.60,Premium Lager
Gladiator,/beer/gladiator/39001/,2.58,Amber Ale
Topoz Svetloe,/beer/topoz-svetloe/322155/,2.35,Pale Lager
Usu 10 (Kyrgyzstan),/beer/usu-10-kyrgyzstan/38406/,2.32,Pale Lager
Nashe Shakhterskoe,/beer/nashe-shakhterskoe/38715/,2.29,Pale Lager
Abdysh-Ata Zhivoe Pivo Svetloe,/beer/abdysh-ata-zhivoe-pivo-svetloe/151568/,2.22,Zwickel/Keller/Landbier
Nashe Zhigulevskoe,/beer/nashe-zhigulevskoe/39000/,2.18,Pale Lager
Nashe Moskovskoe,/beer/nashe-moskovskoe/38714/,2.13,Pale Lager
Usu 12,/beer/usu-12/38407/,2.13,Pale Lager
Arpa,/beer/arpa/38408/,1.96,Pale Lager
Abdysh-Ata Zhivoe Pivo Krepkoe,/beer/abdysh-ata-zhivoe-pivo-krepkoe/545392/,n/a,Imperial Pils/Strong Pale Lager
Blonder Pub Blonder Beer Light Filtrovannoe,/beer/blonder-pub-blonder-beer-light-filtrovannoe/464472/,n/a,Pale Lager
Blonder Pub Blonder Beer Light Nefiltrovannoe,/beer/blonder-pub-blonder-beer-light-nefiltrovannoe/464473/,n/a,Zwickel/Keller/Landbier
Bomond,/beer/bomond/545393/,n/a,Pale Lager
Save The Ales Stout,/beer/save-the-ales-stout/545395/,n/a,Dry Stout
Leyvari Craft Brewery IPA,/beer/leyvari-craft-brewery-ipa/489032/,n/a,Imperial IPA
Ozgon Svetloe,/beer/ozgon-svetloe/545391/,n/a,Pale Lager
Steinbr�u Amber Bier,/beer/steinbrau-amber-bier/360496/,n/a,Amber Ale
