beer,link,score,style
Corebeer Stout,/beer/corebeer-stout/536462/,3.06,Stout
Golden Palm,/beer/golden-palm/40913/,2.96,Spice/Herb/Vegetable
Corebeer Lager,/beer/corebeer-lager/536461/,2.96,Premium Lager
Rock Brew Free Bird,/beer/rock-brew-free-bird/472207/,2.94,American Pale Ale
Lao Bia,/beer/lao-bia/40823/,2.80,Spice/Herb/Vegetable
Lanexang,/beer/lanexang/125504/,2.70,Pale Lager
Nam Khong Salongxay,/beer/nam-khong-salongxay/128142/,2.67,Pale Lager
BeerSavan,/beer/beersavan/128138/,2.62,Pale Lager
Beerlao Special Edition 2560,/beer/beerlao-special-edition-2560/536469/,2.60,Pale Lager
Beerlao Dark,/beer/beerlao-dark/64578/,2.57,Dunkel/Tmav�
Nam Khong Special Brew,/beer/nam-khong-special-brew/392854/,2.53,Pale Lager
Beerlao Gold,/beer/beerlao-gold/125503/,2.38,Pale Lager
Nam Khong Beer,/beer/nam-khong-beer/128137/,2.18,Pale Lager
Beerlao Lager Beer,/beer/beerlao-lager-beer/7068/,2.14,Pale Lager
Rock Brew Back In Black,/beer/rock-brew-back-in-black/472208/,n/a,Stout
Rock Brew Bittersweet Symphony,/beer/rock-brew-bittersweet-symphony/505452/,n/a,Bitter
Rock Brew Fee Fallin',/beer/rock-brew-fee-fallin/505456/,n/a,Session IPA
Rock Brew Hole Hearted,/beer/rock-brew-hole-hearted/501431/,n/a,American Pale Ale
Rock Brew Paradise City,/beer/rock-brew-paradise-city/501429/,n/a,Golden Ale/Blond Ale
Rock Brew Sunday Girl,/beer/rock-brew-sunday-girl/505455/,n/a,Golden Ale/Blond Ale
Rock Brew Voodoo Child,/beer/rock-brew-voodoo-child/505451/,n/a,Porter
Rock Brew Whiter Shade of Pale,/beer/rock-brew-whiter-shade-of-pale/505453/,n/a,American Pale Ale
