beer,link,score,style
Malduguns / Zagovor 1984,/beer/malduguns-zagovor-1984/512004/,3.74,Specialty Grain
Labietis Pokainu Me�s BA,/beer/labietis-pokainu-mezs-ba/500769/,3.70,Barley Wine
Malduguns Tum�ā Puse,/beer/malduguns-tums257-puse/491578/,3.69,Imperial Stout
Labietis Lentenu Kāvējs,/beer/labietis-lentenu-k257v275js/264698/,3.67,Black IPA
Malduguns Lauvas Pacietība,/beer/malduguns-lauvas-paciet299ba/245966/,3.66,Imperial IPA
Malduguns / Black Cat Brewery Jungle Hop Vermont IPA,/beer/malduguns-black-cat-brewery-jungle-hop-vermont-ipa/532795/,3.61,India Pale Ale (IPA)
Malduguns Pazemē,/beer/malduguns-pazem275/411435/,3.60,Spice/Herb/Vegetable
Labietis Pokainu Me�s,/beer/labietis-pokainu-mezs/308029/,3.60,Barley Wine
ALEhouse Black Sheep,/beer/alehouse-black-sheep/188468/,3.55,Stout
Malduguns Pelēcis,/beer/malduguns-pel275cis/395976/,3.53,Brown Ale
Malduguns Akacis,/beer/malduguns-akacis/245968/,3.53,Stout
Malduguns Pilota Nakts,/beer/malduguns-pilota-nakts/241689/,3.52,Porter
Labietis Pela�ku Velns,/beer/labietis-pelasku-velns/234239/,3.52,Imperial Stout
Malduguns Kampēju Kampējs,/beer/malduguns-kamp275ju-kamp275js/492756/,3.50,Black IPA
Malduguns Sānslīde,/beer/malduguns-s257nsl299de/266464/,3.50,India Pale Ale (IPA)
Balles alus Porteris,/beer/balles-alus-porteris/307661/,3.50,Baltic Porter
Malduguns Stokholmas Sindroms,/beer/malduguns-stokholmas-sindroms/320241/,3.47,Porter
Malduguns Zaļā Bise (Waimea),/beer/malduguns-za316257-bise-waimea/265097/,3.47,India Pale Ale (IPA)
Labietis Kapracis,/beer/labietis-kapracis/492800/,3.47,Smoked
Labietis Pēteris Apinis,/beer/labietis-p275teris-apinis/237281/,3.47,Imperial IPA
Malduguns Zaļā Bise (Summer),/beer/malduguns-za316257-bise-summer/512002/,3.46,India Pale Ale (IPA)
Labietis Trīs Indiāni,/beer/labietis-tr299s-indi257ni/237279/,3.44,American Pale Ale
Malduguns Zaļā Bise (Cascade),/beer/malduguns-za316257-bise-cascade/378881/,3.44,India Pale Ale (IPA)
Aldaris Porteris,/beer/aldaris-porteris/4947/,3.42,Baltic Porter
Labietis Baltais Zvirbulis,/beer/labietis-baltais-zvirbulis/319775/,3.42,Witbier
Malduguns Zaļā Bise (HBC 431),/beer/malduguns-za316257-bise-hbc-431/545197/,3.41,India Pale Ale (IPA)
Malduguns Zaļā Bise (Equinox),/beer/malduguns-za316257-bise-equinox/339345/,3.41,India Pale Ale (IPA)
Valmiermui�a Trejledus Alus,/beer/valmiermuiza-trejledus-alus/269509/,3.41,Eisbock
Labietis Virsaitis,/beer/labietis-virsaitis/346246/,3.40,American Pale Ale
Malduguns Zaļā Bise (Amarillo),/beer/malduguns-za316257-bise-amarillo/297348/,3.39,India Pale Ale (IPA)
Nurme Oker,/beer/nurme-oker/492780/,3.39,India Pale Ale (IPA)
Malduguns Saules Dūriens,/beer/malduguns-saules-d363riens/263995/,3.39,American Pale Ale
Nurme Triangulum,/beer/nurme-triangulum/478103/,3.38,American Pale Ale
Tālavas Vindari Abolu Sidrs,/beer/t257lavas-vindari-abolu-sidrs/347771/,3.38,Cider
Malduguns Senča Eksistenciālais Tuk�ums,/beer/malduguns-sen269a-eksistenci257lais-tuksums/436870/,3.38,Spice/Herb/Vegetable
Malduguns Kramplauzis,/beer/malduguns-kramplauzis/339352/,3.37,Specialty Grain
Nurme Krubera,/beer/nurme-krubera/492784/,3.37,Black IPA
Labietis Plava,/beer/labietis-plava/245989/,3.36,Spice/Herb/Vegetable
Labietis Lielais Kristaps - Kafijas,/beer/labietis-lielais-kristaps-kafijas/265127/,3.36,Porter
Labietis Vagars,/beer/labietis-vagars/492796/,3.34,Spice/Herb/Vegetable
Malduguns Zaļā Bise (Mandarina Bavaria),/beer/malduguns-za316257-bise-mandarina-bavaria/546906/,3.34,India Pale Ale (IPA)
Malduguns Zaļā Bise (Columbus),/beer/malduguns-za316257-bise-columbus/316023/,3.34,India Pale Ale (IPA)
Valmiermui�a Proves Porteris No. 3,/beer/valmiermuiza-proves-porteris-no-3/299427/,3.34,Baltic Porter
Malduguns Pa Kirbi,/beer/malduguns-pa-kirbi/313690/,3.33,Spice/Herb/Vegetable
Malduguns Zaļā Bise (Azacca),/beer/malduguns-za316257-bise-azacca/485850/,3.33,India Pale Ale (IPA)
Malduguns Zaļā Bise (Pekko),/beer/malduguns-za316257-bise-pekko/387365/,3.32,India Pale Ale (IPA)
Malduguns Zaļā Bise (Rakau),/beer/malduguns-za316257-bise-rakau/325883/,3.32,India Pale Ale (IPA)
Labietis Ausma,/beer/labietis-ausma/359919/,3.32,Spice/Herb/Vegetable
Labietis Pūdele,/beer/labietis-p363dele/429884/,3.30,Spice/Herb/Vegetable
Malduguns Zaļā Bise (El Dorado),/beer/malduguns-za316257-bise-el-dorado/350265/,3.30,India Pale Ale (IPA)
