beer,link,score,style
Colonel Lager Beer,/beer/colonel-lager-beer/449893/,3.35,Czech Pilsner (Světl�)
961 Beer - Brewmaster's Select 02 - Lebanese Imperial Stout,/beer/961-beer-brewmasters-select-02-lebanese-imperial-stout/84519/,3.25,Imperial Stout
961 / Kissmeyer PilNZer,/beer/961-kissmeyer-pilnzer/188508/,3.07,Czech Pilsner (Světl�)
961 Porter,/beer/961-porter/173898/,3.01,Porter
961 / Kissmeyer - Brewmaster's Select 01 - Lebanese Pale Ale,/beer/961-kissmeyer-brewmasters-select-01-lebanese-pale-ale/168401/,2.99,Spice/Herb/Vegetable
Brood Apple,/beer/brood-apple/401835/,2.97,Radler/Shandy
961 Red Ale,/beer/961-red-ale/99983/,2.95,Amber Ale
Brood Blackberry,/beer/brood-blackberry/405754/,2.94,Radler/Shandy
961 Black IPA,/beer/961-black-ipa/228047/,2.89,Black IPA
Castro Stout,/beer/castro-stout/461701/,2.83,Stout
961 Jubilee ESB,/beer/961-jubilee-esb/188206/,2.81,Bitter
Al Rayess   آل رايس,/beer/al-rayess-15701604-1585157516101587/529387/,2.75,Pilsener
Laziza ,/beer/laziza/27188/,2.75,Pale Lager
Almaza Pure Malt,/beer/almaza-pure-malt/110228/,2.74,Dunkel/Tmav�
Laziza Peach,/beer/laziza-peach/339153/,2.64,Radler/Shandy
961 Lager,/beer/961-lager/84521/,2.63,Dortmunder/Helles
961 American IPA,/beer/961-american-ipa/245348/,2.62,American Pale Ale
Laziza Raspberry,/beer/laziza-raspberry/172503/,2.53,Radler/Shandy
961 Witbier,/beer/961-witbier/84522/,2.53,Witbier
Lebanese Brew,/beer/lebanese-brew/147830/,2.52,Premium Lager
Almaza Light,/beer/almaza-light/187973/,2.51,Pale Lager
Rex Strong Beer,/beer/rex-strong-beer/147480/,2.42,Malt Liquor
Almaza NA,/beer/almaza-na/23860/,2.41,Low Alcohol
Continental Group Offshore strong lager,/beer/continental-group-offshore-strong-lager/465693/,2.37,Pale Lager
Continental Group Offshore Castro Lager,/beer/continental-group-offshore-castro-lager/464542/,2.20,Premium Lager
Beirut Beer,/beer/beirut-beer/331229/,2.11,Pilsener
Almaza Pilsener,/beer/almaza-pilsener/7755/,2.01,Pale Lager
Brood Malt,/beer/brood-malt/94663/,1.87,Low Alcohol
Laziza Non Alcoholic,/beer/laziza-non-alcoholic/31593/,1.60,Low Alcohol
Laziza Apple,/beer/laziza-apple/339169/,n/a,Radler/Shandy
Laziza Lemon,/beer/laziza-lemon/339171/,n/a,Radler/Shandy
961 Irish Stout,/beer/961-irish-stout/245429/,n/a,Dry Stout
Brood Pineapple,/beer/brood-pineapple/141690/,n/a,Radler/Shandy
Brood Strawberry,/beer/brood-strawberry/406415/,n/a,Radler/Shandy
Colonel Light German,/beer/colonel-light-german/449894/,n/a,Dortmunder/Helles
Colonel Red Irish,/beer/colonel-red-irish/449895/,n/a,Irish Ale
Brood Grenadine,/beer/brood-grenadine/141691/,n/a,Radler/Shandy
Brood Honey,/beer/brood-honey/202131/,n/a,Radler/Shandy
Brood Kiwi,/beer/brood-kiwi/406418/,n/a,Radler/Shandy
Colonel Black Irish,/beer/colonel-black-irish/449896/,n/a,Dry Stout
