beer,link,score,style
Liechtensteiner Brauhaus Club Bier 01 Coffee Stout,/beer/liechtensteiner-brauhaus-club-bier-01-coffee-stout/247227/,3.07,Dry Stout
Liechtensteiner Brauhaus Club Bier 02 Alpen Pale Ale,/beer/liechtensteiner-brauhaus-club-bier-02-alpen-pale-ale/265439/,3.07,India Pale Ale (IPA)
Prinzenbr�u Mandarina,/beer/prinzenbrau-mandarina/420967/,3.05,American Pale Ale
Liechtensteiner Brauhaus Malbu-Bock 2010 -,/beer/liechtensteiner-brauhaus-malbu-bock-2010-/97183/,3.05,Heller Bock
Liechtensteiner Brauhaus Single Oak Aged Whisky Beer 2014,/beer/liechtensteiner-brauhaus-single-oak-aged-whisky-beer-2014/374057/,3.04,Heller Bock
Liechtensteiner Brauhaus Club Bier 05 Wiesn Rausch,/beer/liechtensteiner-brauhaus-club-bier-05-wiesn-rausch/270385/,2.99,German Hefeweizen
Liechtensteiner Brauhaus Club Bier 03 Bock Stark,/beer/liechtensteiner-brauhaus-club-bier-03-bock-stark/265438/,2.98,Heller Bock
Prinzenbr�u Alt,/beer/prinzenbrau-alt/141281/,2.96,Altbier
Prinzenbr�u Monarch,/beer/prinzenbrau-monarch/158574/,2.94,Stout
Liechtensteiner Brauhaus Club Bier 04 Hoppla! Hoppy Lager,/beer/liechtensteiner-brauhaus-club-bier-04-hoppla-hoppy-lager/498404/,2.92,India Style Lager
Liechtensteiner Brauhaus Dunkel�s,/beer/liechtensteiner-brauhaus-dunkels/97182/,2.90,Dunkel/Tmav�
Liechtensteiner Brauhaus Club Bier Dunkel's,/beer/liechtensteiner-brauhaus-club-bier-dunkels/229923/,2.89,Dunkel/Tmav�
Prinzenbr�u Weizen,/beer/prinzenbrau-weizen/141282/,2.88,German Hefeweizen
Liechtensteiner Brauhaus Malbu-Bock 2009,/beer/liechtensteiner-brauhaus-malbu-bock-2009/239523/,2.86,Dunkler Bock
Prinzenbr�u DEA,/beer/prinzenbrau-dea/331192/,2.85,Golden Ale/Blond Ale
Liechtensteiner Brauhaus Weiza,/beer/liechtensteiner-brauhaus-weiza/81312/,2.84,German Hefeweizen
Liechtensteiner Brauhaus Narra-Biar,/beer/liechtensteiner-brauhaus-narra-biar/118465/,2.83,K�lsch
Prinzenbr�u Naturblond,/beer/prinzenbrau-naturblond/141634/,2.77,Pilsener
Liechtensteiner Brauhaus F�scht-Biar,/beer/liechtensteiner-brauhaus-fascht-biar/164173/,2.76,Oktoberfest/M�rzen
Liechtensteiner Brauhaus Alpagold,/beer/liechtensteiner-brauhaus-alpagold/366326/,2.76,Premium Lager
Liechtensteiner Brauhaus Club Bier 06 Summer Ale,/beer/liechtensteiner-brauhaus-club-bier-06-summer-ale/426644/,2.75,Session IPA
Liechtensteiner Brauhaus Hell�s,/beer/liechtensteiner-brauhaus-hells/81311/,2.66,Dortmunder/Helles
Liechtensteiner Brauhaus Lime,/beer/liechtensteiner-brauhaus-lime/234739/,2.49,Radler/Shandy
Liechtensteiner Brauhaus Krona,/beer/liechtensteiner-brauhaus-krona/147726/,2.26,Premium Lager
Liechtensteiner Brauhaus iisi,/beer/liechtensteiner-brauhaus-iisi/106207/,2.22,Pale Lager
F�lli Dunkel,/beer/fulli-dunkel/247216/,n/a,Dunkel/Tmav�
F�lli Helles,/beer/fulli-helles/247215/,n/a,Dortmunder/Helles
