beer,link,score,style
Saki�kių Imperial Stout - Whiskey BA,/beer/sakiski371-imperial-stout-whiskey-ba/442658/,3.71,Imperial Stout
Auk�taitijos Bravorų Velykinis Porteris Tamsus,/beer/aukstaitijos-bravor371-velykinis-porteris-tamsus/170524/,3.56,Dunkler Bock
Saki�kių Imperial Stout,/beer/sakiski371-imperial-stout/397093/,3.55,Imperial Stout
Saki�kių Chipotle Porter,/beer/sakiski371-chipotle-porter/415617/,3.53,Porter
Joalda Joni�kėlio Respublika 1919 Filtruotas �viesusis Alus,/beer/joalda-jonisk279lio-respublika-1919-filtruotas-sviesusis-alus/258447/,3.45,Traditional Ale
Saki�kių Coconut Milk Stout,/beer/sakiski371-coconut-milk-stout/443694/,3.44,Sweet Stout
Apynys Green Monster IPA,/beer/apynys-green-monster-ipa/295787/,3.43,India Pale Ale (IPA)
Saki�kių Smoked Porter,/beer/sakiski371-smoked-porter/337268/,3.43,Smoked
Piniavos Seklyčios,/beer/piniavos-sekly269ios/112948/,3.41,Traditional Ale
Dundulis Kovarnių Stautas,/beer/dundulis-kovarni371-stautas/258451/,3.40,Stout
Tamsus mi�kas,/beer/tamsus-miskas/492029/,3.40,Porter
Saki�kių India Pale Ale (7.2%),/beer/sakiski371-india-pale-ale-72/354696/,3.39,India Pale Ale (IPA)
Chimkora Dvaro Alus,/beer/chimkora-dvaro-alus/36826/,3.38,Traditional Ale
�vyturys Gl�h M�rzen,/beer/svyturys-gluh-marzen/393516/,3.38,Oktoberfest/M�rzen
Dundulis Kiečių,/beer/dundulis-kie269i371/251092/,3.36,Spice/Herb/Vegetable
Dundulis Devyniaragio (2016-),/beer/dundulis-devyniaragio-2016-/398606/,3.34,Spice/Herb/Vegetable
Saki�kių Gose With Raspberries,/beer/sakiski371-gose-with-raspberries/372100/,3.34,Grodziskie/Gose/Lichtenhainer
Su Puta Senolių Senovinis,/beer/su-puta-senoli371-senovinis/117243/,3.32,Traditional Ale
Saki�kių Milk Stout,/beer/sakiski371-milk-stout/354698/,3.32,Sweet Stout
Apynys Ropa - Moonshine BA,/beer/apynys-ropa-moonshine-ba/439843/,3.32,Amber Ale
Genys Dvi Laisves,/beer/genys-dvi-laisves/527358/,3.31,India Pale Ale (IPA)
Saki�kių Tart Ale With Passion Fruit,/beer/sakiski371-tart-ale-with-passion-fruit/492783/,3.31,Sour/Wild Ale
Jovaru Su Naturaliu Medumi,/beer/jovaru-su-naturaliu-medumi/130018/,3.30,Spice/Herb/Vegetable
Padubysio �vogeriu,/beer/padubysio-svogeriu/36934/,3.30,Traditional Ale
Mintis Joni�kelio,/beer/mintis-joniskelio/36935/,3.30,Traditional Ale
Dundulis Publijus Palemonas ,/beer/dundulis-publijus-palemonas/480434/,3.30,Baltic Porter
Dundulis Humulupu IPA,/beer/dundulis-humulupu-ipa/202698/,3.29,India Pale Ale (IPA)
Kupi�kio Keptinis,/beer/kupiskio-keptinis/134205/,3.29,Traditional Ale
Gintaro Baro Alus (�viesus),/beer/gintaro-baro-alus-sviesus/159516/,3.28,Zwickel/Keller/Landbier
Saki�kių Barrel Aged Porter,/beer/sakiski371-barrel-aged-porter/506940/,3.28,Porter
Saki�kiu Sour Pale Ale,/beer/sakiskiu-sour-pale-ale/442659/,3.27,American Pale Ale
Pilialaukis Pekla,/beer/pilialaukis-pekla/533172/,3.27,Dry Stout
Saki�kių Imperial Stout - Oak and Vanilla Beans,/beer/sakiski371-imperial-stout-oak-and-vanilla-beans/526937/,3.27,Imperial Stout
Tauras Porteris,/beer/tauras-porteris/178217/,3.26,Baltic Porter
Kupi�kio Kupi�kėnų �ventinis Alus,/beer/kupiskio-kupisk279n371-sventinis-alus/132719/,3.26,Traditional Ale
Kupi�kio UKIS Tradicinis Alus (Iki),/beer/kupiskio-ukis-tradicinis-alus-iki/217151/,3.26,Traditional Ale
Saki�kių Pastrami,/beer/sakiski371-pastrami/505134/,3.25,Spice/Herb/Vegetable
Claus'trophobia,/beer/claustrophobia/531523/,3.24,Berliner Weisse
Saki�kių India Pale Ale (5.5%),/beer/sakiski371-india-pale-ale-55/479081/,3.24,India Pale Ale (IPA)
Apynys Vasaros Griausmas,/beer/apynys-vasaros-griausmas/355168/,3.23,Golden Ale/Blond Ale
Davra Chicago�s Alus,/beer/davra-chicagos-alus/393023/,3.23,Traditional Ale
Armeniukas Jurgenborg,/beer/armeniukas-jurgenborg/317904/,3.23,Premium Lager
Kauno Geros Progos,/beer/kauno-geros-progos/71529/,3.23,Doppelbock
Bir�ų �irvenos Nefiltruotas,/beer/birz371-sirvenos-nefiltruotas/168065/,3.23,Dortmunder/Helles
Dundulis Devyniaragio (-2015),/beer/dundulis-devyniaragio-2015/317820/,3.22,Spice/Herb/Vegetable
Apynys Kaimi�kas Vytauto Alus,/beer/apynys-kaimiskas-vytauto-alus/316008/,3.22,Traditional Ale
Saki�kių Porter,/beer/sakiski371-porter/371596/,3.22,Porter
�vyturys Compass,/beer/svyturys-compass/476456/,3.22,Imperial Stout
Dalitas Berno,/beer/dalitas-berno/36856/,3.22,Imperial Pils/Strong Pale Lager
Chimkora Vyrų Alus,/beer/chimkora-vyr371-alus/36940/,3.21,Traditional Ale
