beer,link,score,style
Nowhere Brewing Do�a Darkness,/beer/nowhere-brewing-dona-darkness/479782/,3.39,Porter
Many Lands Fresh Start,/beer/many-lands-fresh-start/461569/,3.36,American Pale Ale
Victori-A Luxembourg Barrel Aged Imperial Stout,/beer/victori-a-luxembourg-barrel-aged-imperial-stout/473476/,3.32,Imperial Stout
Mousel Zwickelbeier,/beer/mousel-zwickelbeier/35766/,3.31,Zwickel/Keller/Landbier
Okult Meebock,/beer/okult-meebock/34711/,3.30,Belgian Ale
Nowhere Brewing Tropical Disease,/beer/nowhere-brewing-tropical-disease/382366/,3.30,India Pale Ale (IPA)
Nowhere Accidental Wheatness,/beer/nowhere-accidental-wheatness/425099/,3.25,Wheat Ale
Nowhere Corrosion Cure,/beer/nowhere-corrosion-cure/472128/,3.20,American Pale Ale
Battin Gambrinus Donkel,/beer/battin-gambrinus-donkel/9310/,3.16,Dunkel/Tmav�
Ramborn Hopped Cider Cascade (US),/beer/ramborn-hopped-cider-cascade-us/557282/,3.16,Cider
Simon IPA,/beer/simon-ipa/457775/,3.16,India Pale Ale (IPA)
Ramborn Single Variety Erbachhofer,/beer/ramborn-single-variety-erbachhofer/557280/,3.14,Cider
Ramborn Original,/beer/ramborn-original/442117/,3.13,Cider
Stuff Black Widow,/beer/stuff-black-widow/382678/,3.13,Porter
Den Heischter Esch Lecher,/beer/den-heischter-esch-lecher/443481/,3.13,Dunkel/Tmav�
Beierhaascht Wanter B�ier,/beer/beierhaascht-wanter-beier/32411/,3.11,Dunkel/Tmav�
Den Heischter Zitrone Hefe-Weizen,/beer/den-heischter-zitrone-hefe-weizen/443480/,3.11,German Hefeweizen
Stuff W�ll Steeslerin,/beer/stuff-well-steeslerin/459300/,3.10,Golden Ale/Blond Ale
Simon No�l,/beer/simon-noel/29594/,3.09,Abbey Dubbel
Battin Triple,/beer/battin-triple/316948/,3.09,Abbey Tripel
Nowhere Hops From the Underground,/beer/nowhere-hops-from-the-underground/541702/,3.09,Session IPA
Ramborn Perry,/beer/ramborn-perry/442120/,3.08,Perry
Okult Quaffit Stout,/beer/okult-quaffit-stout/17270/,3.07,Stout
Cornelyshaff Hengeschter,/beer/cornelyshaff-hengeschter/34602/,3.07,Zwickel/Keller/Landbier
Battin Blanche,/beer/battin-blanche/204029/,3.07,Witbier
Ramborn Somerset Blend,/beer/ramborn-somerset-blend/442119/,3.07,Cider
Grand Brewing Satellite,/beer/grand-brewing-satellite/321349/,3.04,Session IPA
Simon Okult Vanilla Stout,/beer/simon-okult-vanilla-stout/497932/,3.04,Stout
Beierhaascht Kellerbeier,/beer/beierhaascht-kellerbeier/44559/,3.03,Amber Lager/Vienna
W�llen Ourdaller,/beer/wellen-ourdaller/32508/,3.02,Specialty Grain
Okult No.2 Rousse,/beer/okult-no2-rousse/17268/,3.02,Amber Ale
Simon Spelzb�ier,/beer/simon-spelzbeier/388657/,3.00,Specialty Grain
Stuff Knights In White Satin,/beer/stuff-knights-in-white-satin/382677/,3.00,Belgian Ale
Ramborn Farmhouse Dry Cider,/beer/ramborn-farmhouse-dry-cider/442118/,3.00,Cider
Kelterei Schlassbierg Barebourg,/beer/kelterei-schlassbierg-barebourg/496101/,2.98,Cider
Pale Ale Beer - Birthday Brew,/beer/pale-ale-beer-birthday-brew/534361/,2.96,India Pale Ale (IPA)
Beierhaascht Weesb�ier,/beer/beierhaascht-weesbeier/264702/,2.96,German Hefeweizen
Okult Ginger Rousse,/beer/okult-ginger-rousse/553431/,2.94,Spice/Herb/Vegetable
Grand Brewing Red Bridge,/beer/grand-brewing-red-bridge/321348/,2.93,Amber Ale
Battin Extra,/beer/battin-extra/73334/,2.93,Belgian Ale
Den Heischter B�ier aus dem Naturpark �ewersauer,/beer/den-heischter-beier-aus-dem-naturpark-oewersauer/140791/,2.93,Witbier
Lux Airport Beer,/beer/lux-airport-beer/430804/,2.89,Golden Ale/Blond Ale
Stuff Revolutioun IPA,/beer/stuff-revolutioun-ipa/454461/,2.89,India Pale Ale (IPA)
Okult No.1 Blanche,/beer/okult-no1-blanche/17271/,2.89,Witbier
Bofferding Extra Ale,/beer/bofferding-extra-ale/466772/,2.87,Amber Ale
Battin Pilsener,/beer/battin-pilsener/9311/,2.87,Pale Lager
Okult No.3 Blonde,/beer/okult-no3-blonde/17269/,2.87,Golden Ale/Blond Ale
Luxembourg 95,/beer/luxembourg-95/12224/,2.87,Pilsener
Diekirch Grand Reserve,/beer/diekirch-grand-reserve/18044/,2.86,Dunkler Bock
W�issen Ourdaller,/beer/waissen-ourdaller/32491/,2.86,German Hefeweizen
