beer,link,score,style
Skol (Madagascar),/beer/skol-madagascar/193224/,3.04,Pale Lager
Star Gold Ambr�e,/beer/star-gold-ambree/181891/,2.80,Amber Ale
Libertalia Original Beer,/beer/libertalia-original-beer/181898/,2.79,Golden Ale/Blond Ale
Star Gold Blonde,/beer/star-gold-blonde/41314/,2.74,Imperial Pils/Strong Pale Lager
Star Gold Blanche,/beer/star-gold-blanche/181900/,2.68,Witbier
Skol1,/beer/skol1/181899/,2.67,Low Alcohol
Star Queens,/beer/star-queens/41315/,2.48,Pale Lager
Star Three Horses Beer Fresh,/beer/star-three-horses-beer-fresh/82939/,2.22,Low Alcohol
Star Three Horses Beer Lite,/beer/star-three-horses-beer-lite/100761/,2.20,Low Alcohol
Star Three Horses Beer Pilsener,/beer/star-three-horses-beer-pilsener/13721/,2.03,Pilsener
Castel Beer (Madagascar),/beer/castel-beer-madagascar/193233/,n/a,Pale Lager
