beer,link,score,style
Danish Royal Stout,/beer/danish-royal-stout/17458/,3.23,Foreign Stout
Penang Craft Beer Triad IPA,/beer/penang-craft-beer-triad-ipa/503329/,3.13,India Pale Ale (IPA)
Guinness Foreign Extra Stout (Malaysia/Hong Kong/China),/beer/guinness-foreign-extra-stout-malaysia-hong-kong-china/19433/,3.13,Foreign Stout
Connor's Original Stout,/beer/connors-original-stout/111720/,3.06,Dry Stout
Penang Craft Beer Red Door,/beer/penang-craft-beer-red-door/503326/,3.05,Irish Ale
Penang Craft Beer Ang Moh Leng Teh,/beer/penang-craft-beer-ang-moh-leng-teh/503325/,3.02,Amber Ale
Penang Craft Beer Money Pale Ale,/beer/penang-craft-beer-money-pale-ale/535574/,3.00,American Pale Ale
Carlsberg Special Brew (Malaysia),/beer/carlsberg-special-brew-malaysia/533601/,2.93,Pale Lager
Starker Aromatic,/beer/starker-aromatic/129357/,2.91,Witbier
Danish Royal Stout Ginseng,/beer/danish-royal-stout-ginseng/65627/,2.74,Foreign Stout
Starker Dunkel,/beer/starker-dunkel/174344/,2.74,Dunkel/Tmav�
Starker Fresh Beer,/beer/starker-fresh-beer/120755/,2.63,Premium Lager
Anchor Ice Beer ,/beer/anchor-ice-beer/17226/,2.50,Pale Lager
Anchor Smooth Draught,/beer/anchor-smooth-draught/535948/,2.48,Pale Lager
Guinness Bright,/beer/guinness-bright/522165/,2.48,Foreign Stout
Jaz Beer,/beer/jaz-beer/123050/,2.44,Pale Lager
Green Beer (Malaysia),/beer/green-beer-malaysia/126552/,2.43,Pale Lager
Carlsberg Smooth Draft ,/beer/carlsberg-smooth-draft/458966/,2.37,Pale Lager
Harry's Premium Lager (HPL),/beer/harrys-premium-lager-hpl/239071/,2.29,Pale Lager
Kickbeer,/beer/kickbeer/56465/,2.17,Pale Lager
Carlsberg Gold,/beer/carlsberg-gold/87437/,2.08,Premium Lager
Carls,/beer/carls/26415/,1.99,Pale Lager
Jolly Shandy,/beer/jolly-shandy/79545/,1.88,Radler/Shandy
Anchor Smooth ,/beer/anchor-smooth/9224/,1.85,Pale Lager
Anglia Shandy,/beer/anglia-shandy/56463/,1.85,Radler/Shandy
Topbeer,/beer/topbeer/38435/,1.81,Pilsener
Anchor Strong Beer 8.8%,/beer/anchor-strong-beer-88/65774/,1.79,Malt Liquor
Guinness Premium Beer,/beer/guinness-premium-beer/121756/,n/a,Schwarzbier
Tiger Beer (Malaysia),/beer/tiger-beer-malaysia/174371/,n/a,Pale Lager
Tiger White,/beer/tiger-white/386623/,n/a,Witbier
Connor's Stout Porter,/beer/connors-stout-porter/355093/,n/a,Dry Stout
