beer,link,score,style
Stretta India Pale Ale No. 1,/beer/stretta-india-pale-ale-no-1/495398/,3.36,India Pale Ale (IPA)
Farsons Strong Ale ,/beer/farsons-strong-ale/13150/,3.24,English Strong Ale
Stretta Transatlantic Pale Ale - Muzajk,/beer/stretta-transatlantic-pale-ale-muzajk/551532/,3.22,American Pale Ale
Lord Chambray San Blas,/beer/lord-chambray-san-blas/285905/,3.20,India Pale Ale (IPA)
Lord Chambray Flinders Rose,/beer/lord-chambray-flinders-rose/438341/,3.19,Grodziskie/Gose/Lichtenhainer
Lord Chambray Blue Lagoon,/beer/lord-chambray-blue-lagoon/285876/,3.18,Witbier
Lord Chambray Fungus Rock,/beer/lord-chambray-fungus-rock/332756/,3.18,Stout
The Brew Golden Ale,/beer/the-brew-golden-ale/507845/,3.16,Golden Ale/Blond Ale
The Brew Dark,/beer/the-brew-dark/507843/,3.15,Stout
The Brew Amber Ale,/beer/the-brew-amber-ale/563545/,3.14,Amber Ale
The Brew Pilsner,/beer/the-brew-pilsner/507838/,3.13,Pilsener
Lord Chambray Winter Ale,/beer/lord-chambray-winter-ale/485585/,3.08,Spice/Herb/Vegetable
Lord Chambray Nebula,/beer/lord-chambray-nebula/562856/,3.07,Brown Ale
The Brew Honey,/beer/the-brew-honey/507842/,3.06,Amber Ale
The Brew Vienna,/beer/the-brew-vienna/507841/,3.04,Amber Lager/Vienna
Farsons Hopleaf Extra,/beer/farsons-hopleaf-extra/49047/,3.03,Golden Ale/Blond Ale
Lord Chambray Golden Bay,/beer/lord-chambray-golden-bay/285908/,3.02,Golden Ale/Blond Ale
Farsons Shandy Lager & Lime,/beer/farsons-shandy-lager-lime/70497/,3.01,Radler/Shandy
Lord Chambray Special Bitter,/beer/lord-chambray-special-bitter/432806/,3.01,Bitter
Tar Robust Porter,/beer/tar-robust-porter/482643/,2.95,Porter
The Brew Ginger Ale,/beer/the-brew-ginger-ale/541271/,2.94,Spice/Herb/Vegetable
Lord Chambray Psy-K�lsch,/beer/lord-chambray-psy-kolsch/562847/,2.93,K�lsch
Farsons Blue Label Original Amber Ale,/beer/farsons-blue-label-original-amber-ale/482172/,2.93,Amber Ale
Blonde Floral Ale,/beer/blonde-floral-ale/495224/,2.93,Golden Ale/Blond Ale
Farsons Double Red Strong Ale,/beer/farsons-double-red-strong-ale/476695/,2.90,English Strong Ale
Cisk Pilsener,/beer/cisk-pilsener/215058/,2.81,Pilsener
Farsons Lacto ,/beer/farsons-lacto/20728/,2.80,Sweet Stout
Farsons Winter Glow 2003,/beer/farsons-winter-glow-2003/36220/,2.77,Amber Ale
Simonds Special Amber Ale,/beer/simonds-special-amber-ale/215060/,2.75,Amber Ale
Cisk Chill Ginger & Lime,/beer/cisk-chill-ginger-lime/541800/,2.75,Fruit Beer
Rubin Double Ale,/beer/rubin-double-ale/484495/,2.72,Abbey Dubbel
Rust Rabat Ale,/beer/rust-rabat-ale/435152/,2.66,Bitter
Farsons Blue Label Ale,/beer/farsons-blue-label-ale/21686/,2.59,Mild Ale
Cisk Red,/beer/cisk-red/69941/,2.49,Imperial Pils/Strong Pale Lager
Cisk Gold,/beer/cisk-gold/21685/,2.43,Pale Lager
Farsons India Pale Ale,/beer/farsons-india-pale-ale/476701/,2.42,India Pale Ale (IPA)
Farsons Hopleaf Pale Ale,/beer/farsons-hopleaf-pale-ale/21687/,2.35,English Pale Ale
Cisk Export ,/beer/cisk-export/20727/,2.26,Pale Lager
Cisk Strong,/beer/cisk-strong/497877/,2.24,Imperial Pils/Strong Pale Lager
Cisk Excel,/beer/cisk-excel/98247/,2.20,Pale Lager
Cariba,/beer/cariba/21683/,2.20,Pale Lager
Cisk Lager,/beer/cisk-lager/13151/,2.18,Pale Lager
Skol (Malta),/beer/skol-malta/233498/,2.10,Pale Lager
Farsons Traditional Shandy,/beer/farsons-traditional-shandy/48381/,2.02,Radler/Shandy
Jazz Non Alcoholic,/beer/jazz-non-alcoholic/21684/,2.01,Low Alcohol
Cisk Chill Berry,/beer/cisk-chill-berry/274773/,1.99,Fruit Beer
Cisk Chill Lemon,/beer/cisk-chill-lemon/182357/,1.97,Fruit Beer
Cisk XS,/beer/cisk-xs/59620/,n/a,Imperial Pils/Strong Pale Lager
