beer,link,score,style
Flying Dodo Helles,/beer/flying-dodo-helles/247975/,3.36,Dortmunder/Helles
Flying Dodo Belgian Wit,/beer/flying-dodo-belgian-wit/341060/,3.31,Witbier
Guinness Foreign Extra Stout (Mauritius),/beer/guinness-foreign-extra-stout-mauritius/217806/,3.26,Foreign Stout
Flying Dodo Mean Wheat Bock,/beer/flying-dodo-mean-wheat-bock/247984/,3.23,Weizen Bock
Flying Dodo Nationale,/beer/flying-dodo-nationale/374426/,3.18,Belgian Ale
Flying Dodo Blonde Pale Ale Type 8,/beer/flying-dodo-blonde-pale-ale-type-8/374425/,3.09,Golden Ale/Blond Ale
Flying Dodo India Pale Ale,/beer/flying-dodo-india-pale-ale/247970/,3.00,India Pale Ale (IPA)
Flying Dodo Blonde Ale Dryhopped with Nelson Sauvin,/beer/flying-dodo-blonde-ale-dryhopped-with-nelson-sauvin/247972/,2.81,Golden Ale/Blond Ale
Flying Dodo Belgian-Style M�rzen,/beer/flying-dodo-belgian-style-marzen/247981/,2.80,Oktoberfest/M�rzen
Flying Dodo Mandarina Bavaria Blonde Ale,/beer/flying-dodo-mandarina-bavaria-blonde-ale/247978/,2.79,Golden Ale/Blond Ale
Ti La Bi�re,/beer/ti-la-biere/199833/,2.77,Pilsener
Africana Beer Premium Lager 8%,/beer/africana-beer-premium-lager-8/502000/,2.66,Imperial Pils/Strong Pale Lager
Phoenix Fresh Orange,/beer/phoenix-fresh-orange/158193/,2.60,Fruit Beer
Stag Lager Beer Extra Smooth,/beer/stag-lager-beer-extra-smooth/142100/,2.40,Pale Lager
Africana Beer,/beer/africana-beer/492955/,2.39,Pale Lager
Phoenix Fresh Lemon,/beer/phoenix-fresh-lemon/142039/,2.35,Radler/Shandy
Castel Beer (Mauritius),/beer/castel-beer-mauritius/146300/,2.34,Pale Lager
Stella Pils,/beer/stella-pils/149172/,2.32,Pale Lager
Blue Marlin (Mauritius),/beer/blue-marlin-mauritius/12813/,2.23,Imperial Pils/Strong Pale Lager
Phoenix Premium Light,/beer/phoenix-premium-light/67958/,2.20,Pale Lager
Black Eagle,/beer/black-eagle/67981/,2.19,Pale Lager
Phoenix Cider,/beer/phoenix-cider/154814/,2.18,Cider
Black Eagle Xtra,/beer/black-eagle-xtra/67983/,2.12,Imperial Pils/Strong Pale Lager
Phoenix Special Brew,/beer/phoenix-special-brew/67959/,2.00,Imperial Pils/Strong Pale Lager
Black Eagle Classic,/beer/black-eagle-classic/67982/,1.99,Pale Lager
Phoenix Beer,/beer/phoenix-beer/12812/,1.97,Pale Lager
33 Export (Mauritius),/beer/33-export-mauritius/146302/,n/a,Pale Lager
Flying Dodo Blonde Ale Dryhopped with Green Bullet,/beer/flying-dodo-blonde-ale-dryhopped-with-green-bullet/247973/,n/a,Golden Ale/Blond Ale
Flying Dodo Blonde Ale Dryhopped with US Bravo,/beer/flying-dodo-blonde-ale-dryhopped-with-us-bravo/247971/,n/a,Golden Ale/Blond Ale
Flying Dodo Celebration Ale Light Quadrupel,/beer/flying-dodo-celebration-ale-light-quadrupel/247979/,n/a,Abt/Quadrupel
Flying Dodo Chinook Single Hop IPA,/beer/flying-dodo-chinook-single-hop-ipa/247980/,n/a,India Pale Ale (IPA)
Flying Dodo Dodoweisse,/beer/flying-dodo-dodoweisse/247967/,n/a,Witbier
Flying Dodo Experiment IPA Dryhopped with Pacific Gem,/beer/flying-dodo-experiment-ipa-dryhopped-with-pacific-gem/247985/,n/a,India Pale Ale (IPA)
Flying Dodo Experiment IPA Dryhopped with Polaris,/beer/flying-dodo-experiment-ipa-dryhopped-with-polaris/247986/,n/a,India Pale Ale (IPA)
Flying Dodo Experiment IPA Single Hop Green Bullet,/beer/flying-dodo-experiment-ipa-single-hop-green-bullet/247974/,n/a,India Pale Ale (IPA)
Flying Dodo Oktoberfest,/beer/flying-dodo-oktoberfest/247968/,n/a,Oktoberfest/M�rzen
Flying Dodo Smoky Amber Wheat Beer,/beer/flying-dodo-smoky-amber-wheat-beer/247977/,n/a,Smoked
Flying Dodo Touni Minuit Father,/beer/flying-dodo-touni-minuit-father/247982/,n/a,Belgian Strong Ale
Flying Dodo Touni Minuit Imperial Black Stout,/beer/flying-dodo-touni-minuit-imperial-black-stout/247966/,n/a,Imperial Stout
Flying Dodo Touni Minuit Tripel,/beer/flying-dodo-touni-minuit-tripel/247969/,n/a,Abbey Tripel
Flying Dodo Touni Minuit Hardcore IPA,/beer/flying-dodo-touni-minuit-hardcore-ipa/247976/,n/a,India Pale Ale (IPA)
