beer,link,score,style
Insurgente Xocoveza,/beer/insurgente-xocoveza/501149/,3.60,Imperial Stout
Insurgente La Lupulosa,/beer/insurgente-la-lupulosa/186743/,3.60,India Pale Ale (IPA)
Casta Unica,/beer/casta-unica/36177/,3.58,Belgian Strong Ale
Fauna Dark Lycan,/beer/fauna-dark-lycan/455758/,3.56,Black IPA
Wendlandt Perro del Mar India Pale Ale,/beer/wendlandt-perro-del-mar-india-pale-ale/289788/,3.55,India Pale Ale (IPA)
Border Psycho Brutal Imperial Stout,/beer/border-psycho-brutal-imperial-stout/262766/,3.54,Imperial Stout
Cucap� Barley Wine (Centenario),/beer/cucapa-barley-wine-centenario/65951/,3.53,Barley Wine
Insurgente Nocturna Black IPA,/beer/insurgente-nocturna-black-ipa/186745/,3.53,Black IPA
Fauna Se�or Matanza,/beer/fauna-senor-matanza/433185/,3.52,Imperial Stout
Texcoco Psicosis IPA,/beer/texcoco-psicosis-ipa/299630/,3.51,India Pale Ale (IPA)
Calavera Mexican Imperial Stout,/beer/calavera-mexican-imperial-stout/110973/,3.51,Imperial Stout
Propaganda B�gha Super IPA,/beer/propaganda-bagha-super-ipa/313338/,3.48,Imperial IPA
Insurgente Sospeso ,/beer/insurgente-sospeso/416514/,3.46,India Pale Ale (IPA)
Wendlandt Harry Polanco Red Ale,/beer/wendlandt-harry-polanco-red-ale/312504/,3.46,Amber Ale
Insurgente / Oersoep / Rooie Dop 3 Cabras (Tres Cabras),/beer/insurgente-oersoep-rooie-dop-3-cabras-tres-cabras/309320/,3.46,Saison
Insurgente Juan Cordero ,/beer/insurgente-juan-cordero/543578/,3.45,American Pale Ale
Mexicana Day Of The Dead Beer One-Two Knockout Punch,/beer/mexicana-day-of-the-dead-beer-one-two-knockout-punch/396963/,3.41,India Pale Ale (IPA)
La Chingoneria / Central Cervecera / N�gne � M.O.L.E.,/beer/la-chingoneria-central-cervecera-nogne-o-mole/285808/,3.40,Imperial Stout
La Br� IIPA,/beer/la-bru-iipa/285716/,3.40,India Pale Ale (IPA)
Casta Morena,/beer/casta-morena/7626/,3.39,Brown Ale
La Br� Winter Ale,/beer/la-bru-winter-ale/388988/,3.39,Sweet Stout
Fauna Lycan Lupus,/beer/fauna-lycan-lupus/302134/,3.39,India Pale Ale (IPA)
Texcoco Exquizofrenia Triple IPA,/beer/texcoco-exquizofrenia-triple-ipa/402872/,3.39,Imperial IPA
Colima / Baja / Ballast Point / Insurgente / Rise & Win Pardela,/beer/colima-baja-ballast-point-insurgente-rise-win-pardela/476949/,3.39,India Pale Ale (IPA)
Casta Milenia,/beer/casta-milenia/13357/,3.39,Belgian Strong Ale
Agua Mala Astillero,/beer/agua-mala-astillero/198338/,3.39,India Pale Ale (IPA)
La Br� IPA,/beer/la-bru-ipa/215201/,3.39,India Pale Ale (IPA)
Baja Peyote Pale Ale,/beer/baja-peyote-pale-ale/90087/,3.37,India Pale Ale (IPA)
Cucap� La Migra Imperial Stout,/beer/cucapa-la-migra-imperial-stout/121035/,3.35,Imperial Stout
Fauna / Insurgente Atenea ,/beer/fauna-insurgente-atenea/402709/,3.35,Stout
Mamut Oatmeal Stout,/beer/mamut-oatmeal-stout/357934/,3.35,Imperial Stout
Casta Unica Castana,/beer/casta-unica-castana/44405/,3.35,Belgian Strong Ale
Insurgente B�ho Rompeolas,/beer/insurgente-buho-rompeolas/411200/,3.34,Wheat Ale
Propaganda American Pale Ale,/beer/propaganda-american-pale-ale/195183/,3.34,American Pale Ale
Insurgente Saison Chouette,/beer/insurgente-saison-chouette/186747/,3.34,Saison
Border Psycho La Perversa (IPA)2,/beer/border-psycho-la-perversa-ipa2/262769/,3.34,Imperial IPA
Fauna Stradivarius,/beer/fauna-stradivarius/461949/,3.33,Belgian Strong Ale
Baja Oatmeal Stout,/beer/baja-oatmeal-stout/90084/,3.33,Sweet Stout
Border Psycho Imperial Psycho Ale,/beer/border-psycho-imperial-psycho-ale/262765/,3.33,India Pale Ale (IPA)
"Texcoco Mystic Ales, Exquizofrenia 2017",/beer/texcoco-mystic-ales-exquizofrenia-2017/499731/,3.31,Imperial IPA
Libertadores Robust Porter,/beer/libertadores-robust-porter/284109/,3.31,Porter
Fauna Mala Vida,/beer/fauna-mala-vida/465479/,3.31,Belgian Ale
Minerva / Wendlandt Diosa Marina,/beer/minerva-wendlandt-diosa-marina/416283/,3.31,Pilsener
Wendlandt Vaquita Marina Pale Ale,/beer/wendlandt-vaquita-marina-pale-ale/290376/,3.31,American Pale Ale
Cucap� La Migra Imperial Stout Winter,/beer/cucapa-la-migra-imperial-stout-winter/140670/,3.30,Imperial Stout
19� Norte Mateo's Dakota Stout,/beer/19-norte-mateos-dakota-stout/254201/,3.30,Foreign Stout
Border Psycho American Barleywine,/beer/border-psycho-american-barleywine/515860/,3.30,Barley Wine
Insurgente Dragula,/beer/insurgente-dragula/462187/,3.30,Sweet Stout
Pacheco La Indecorosa IPA,/beer/pacheco-la-indecorosa-ipa/280762/,3.29,India Pale Ale (IPA)
Minerva Stout,/beer/minerva-stout/73343/,3.29,Stout
