beer,link,score,style
Litra / armando_otchoa Beetroot Borsch IPA,/beer/litra-armando-otchoa-beetroot-borsch-ipa/545906/,3.54,India Pale Ale (IPA)
Litra / Victory Art Brew Tyask Barleywine,/beer/litra-victory-art-brew-tyask-barleywine/474091/,3.42,Barley Wine
Litra  Firestarter,/beer/litra-firestarter/503253/,3.42,Weizen Bock
Elvis Imperial Black IPA,/beer/elvis-imperial-black-ipa/553441/,3.36,Black IPA
Lumencraft / Sunstone Consensus ,/beer/lumencraft-sunstone-consensus/530129/,3.35,Imperial IPA
Litra / armando_otchoa Kollabrett Kriek,/beer/litra-armando-otchoa-kollabrett-kriek/474140/,3.34,Sour/Wild Ale
Litra / armando_otchoa Kollabrett Cassis,/beer/litra-armando-otchoa-kollabrett-cassis/474139/,3.33,Sour/Wild Ale
Sunstone Alehouse Silky Surf,/beer/sunstone-alehouse-silky-surf/491177/,3.30,Sweet Stout
Lumencraft (Aircraft) IPA,/beer/lumencraft-aircraft-ipa/432504/,3.29,India Pale Ale (IPA)
Lumencraft Jasmine IPA ,/beer/lumencraft-jasmine-ipa/566620/,3.29,India Pale Ale (IPA)
Vitanta Chișinău Brună,/beer/vitanta-chi537in259u-brun259/11631/,3.28,Amber Lager/Vienna
Litra Rocket IPA,/beer/litra-rocket-ipa/480717/,3.27,Imperial IPA
Litra Lucky Porter (9%),/beer/litra-lucky-porter-9/479363/,3.27,Imperial Porter
Lumencraft / Sunstone West Coast IPA,/beer/lumencraft-sunstone-west-coast-ipa/509191/,3.26,India Pale Ale (IPA)
Lumencraft Hoppy Lager,/beer/lumencraft-hoppy-lager/470700/,3.26,India Style Lager
Litra / Black Cat Electrolyte Black Currant,/beer/litra-black-cat-electrolyte-black-currant/537189/,3.24,Berliner Weisse
Vitanta Premium Blondă,/beer/vitanta-premium-blond259/22458/,3.24,Pilsener
Lumencraft Witbier,/beer/lumencraft-witbier/491573/,3.23,Witbier
Litra Pale Ale,/beer/litra-pale-ale/334189/,3.22,American Pale Ale
Lumencraft Mango IPA,/beer/lumencraft-mango-ipa/463676/,3.22,India Pale Ale (IPA)
Sunstone Alternosfera IPA,/beer/sunstone-alternosfera-ipa/513516/,3.21,Session IPA
Beermaster IPA,/beer/beermaster-ipa/535324/,3.21,India Pale Ale (IPA)
Lumencraft IPA Simcoe,/beer/lumencraft-ipa-simcoe/524715/,3.18,India Pale Ale (IPA)
Elvis Black IPA,/beer/elvis-black-ipa/421153/,3.18,Black IPA
Litra / armando_otchoa Kollabrett Prune,/beer/litra-armando-otchoa-kollabrett-prune/474141/,3.15,Sour/Wild Ale
Elvis Galaxy & Amarillo Pale Ale,/beer/elvis-galaxy-amarillo-pale-ale/488022/,3.14,American Pale Ale
Elvis Summer American Pale Ale,/beer/elvis-summer-american-pale-ale/426908/,3.14,American Pale Ale
Litra Irish Dry Stout,/beer/litra-irish-dry-stout/403868/,3.14,Dry Stout
Lumencraft Bavarian Pilsner,/beer/lumencraft-bavarian-pilsner/474836/,3.13,Pilsener
Litra Hefeweissbier,/beer/litra-hefeweissbier/334188/,3.12,German Hefeweizen
Sunstone Alehouse Smoke at the Dock,/beer/sunstone-alehouse-smoke-at-the-dock/499718/,3.12,Smoked
Lumencraft Coffee Stout,/beer/lumencraft-coffee-stout/474837/,3.12,Stout
Vitanta Premium Brună,/beer/vitanta-premium-brun259/22459/,3.11,Dunkel/Tmav�
Gotter Cvas,/beer/gotter-cvas/191181/,3.10,Low Alcohol
Litra Rauchbier,/beer/litra-rauchbier/484832/,3.10,Smoked
Gotter Double IPA,/beer/gotter-double-ipa/505910/,3.09,Imperial IPA
Litra Lucky Porter (6.5%),/beer/litra-lucky-porter-65/527504/,3.09,Porter
Litra / armando_otchoa Kollabrett Lambic,/beer/litra-armando-otchoa-kollabrett-lambic/474137/,3.09,Sour/Wild Ale
BH Bruna Nefiltrată,/beer/bh-bruna-nefiltrat259/42937/,3.08,Dunkel/Tmav�
Elvis Galaxy IPA,/beer/elvis-galaxy-ipa/545866/,3.07,India Pale Ale (IPA)
Beermaster Moldavian Liberty Ale,/beer/beermaster-moldavian-liberty-ale/543186/,3.07,American Pale Ale
Elvis Weizenbock,/beer/elvis-weizenbock/543649/,3.06,Weizen Bock
Litra Pumpkin Ale 2016-,/beer/litra-pumpkin-ale-2016-/462532/,3.06,Spice/Herb/Vegetable
Beermaster Fresh Hop Concept,/beer/beermaster-fresh-hop-concept/553229/,3.05,Premium Lager
Arc,/beer/arc/9898/,3.05,Pilsener
Albeer 12�,/beer/albeer-12/440678/,3.05,Zwickel/Keller/Landbier
Lumencraft Weiss Bier,/beer/lumencraft-weiss-bier/432502/,3.04,German Hefeweizen
Albeer 11�,/beer/albeer-11/440677/,3.04,Zwickel/Keller/Landbier
Elvis Hop Attack,/beer/elvis-hop-attack/507985/,3.04,American Pale Ale
Elvis American Tropical Stout,/beer/elvis-american-tropical-stout/514293/,3.04,Stout
