beer,link,score,style
Brasserie de Monaco Wheat Beer,/beer/brasserie-de-monaco-wheat-beer/285902/,3.22,German Hefeweizen
Brasserie de Monaco Ambr�e,/beer/brasserie-de-monaco-ambree/110347/,3.17,Amber Ale
Brasserie de Monaco Oktoberfest,/beer/brasserie-de-monaco-oktoberfest/175803/,3.14,Oktoberfest/M�rzen
Brasserie de Monaco Irish Stout,/beer/brasserie-de-monaco-irish-stout/325835/,3.09,Dry Stout
Brasserie de Monaco Pils,/beer/brasserie-de-monaco-pils/223920/,2.93,Pilsener
Brasserie de Monaco Grand Prix,/beer/brasserie-de-monaco-grand-prix/174556/,2.90,Premium Lager
Brasserie de Monaco Blanche Tradition,/beer/brasserie-de-monaco-blanche-tradition/461611/,2.86,Witbier
Brasserie de Monaco Blackberry,/beer/brasserie-de-monaco-blackberry/239647/,2.80,Fruit Beer
Brasserie de Monaco The Fourth,/beer/brasserie-de-monaco-the-fourth/223919/,2.79,Amber Ale
Brasserie de Monaco Fruits Rouges   ,/beer/brasserie-de-monaco-fruits-rouges/461613/,2.71,Fruit Beer
Brasserie de Monaco Beer (Blonde 5�),/beer/brasserie-de-monaco-beer-blonde-5/107040/,2.61,Pilsener
"R for community de Monaco, Port Hercule, La Condamine ",/beer/r-for-community-de-monaco-port-hercule-la-condamine/555471/,2.58,Pale Lager
Brasserie de Monaco Biere Aux Fruits Rouges,/beer/brasserie-de-monaco-biere-aux-fruits-rouges/285903/,n/a,Fruit Beer
Brasserie de Monaco Blanche 4.5�,/beer/brasserie-de-monaco-blanche-45/107974/,n/a,Witbier
