beer,link,score,style
MB Beer Plus Black Consul,/beer/mb-beer-plus-black-consul/150220/,3.05,Dunkel/Tmav�
Chinggis Lager Unfiltered,/beer/chinggis-lager-unfiltered/150222/,3.01,Zwickel/Keller/Landbier
MB Beer Plus Weizen,/beer/mb-beer-plus-weizen/150219/,2.99,German Hefeweizen
Chinggis Khan Pilsner,/beer/chinggis-khan-pilsner/460753/,2.96,Pilsener
Jalam Khar,/beer/jalam-khar/533923/,2.92,Pale Lager
Chinggis Pale Filtered,/beer/chinggis-pale-filtered/151914/,2.89,Dortmunder/Helles
Gem Draft Dark,/beer/gem-draft-dark/150327/,2.88,Dunkel/Tmav�
Gem Draft,/beer/gem-draft/150326/,2.87,Pale Lager
Chinggis Dunkel,/beer/chinggis-dunkel/30176/,2.86,Dunkel/Tmav�
MBC Nice 89,/beer/mbc-nice-89/547500/,2.79,Pale Lager
MB Beer Plus Amber,/beer/mb-beer-plus-amber/150221/,2.78,Oktoberfest/M�rzen
MB Beer Plus Lager,/beer/mb-beer-plus-lager/150218/,2.73,Premium Lager
Chinggis Pilsner,/beer/chinggis-pilsner/41619/,2.73,Pilsener
Khar Khorum,/beer/khar-khorum/91865/,2.66,Dunkel/Tmav�
Khan Br�u Dark,/beer/khan-brau-dark/140459/,2.55,Dunkel/Tmav�
Seruun Light,/beer/seruun-light/348990/,2.53,Pale Lager
Mongol Beer,/beer/mongol-beer/152482/,2.52,Pale Lager
Old Czech Lager,/beer/old-czech-lager/152488/,2.50,Premium Lager
Borgio,/beer/borgio/129162/,2.49,Pale Lager
Altan Gobi,/beer/altan-gobi/140463/,2.39,Premium Lager
Jalam Khar Gold,/beer/jalam-khar-gold/344734/,2.36,Pale Lager
Khan Br�u Pilsner,/beer/khan-brau-pilsner/13859/,2.35,Pilsener
Borgio Gold,/beer/borgio-gold/140460/,2.28,Pale Lager
Niislel,/beer/niislel/140464/,2.23,Pale Lager
Khan Br�u Crystal Weizen,/beer/khan-brau-crystal-weizen/149077/,2.22,German Kristallweizen
Jalam Khar,/beer/jalam-khar/129190/,2.21,Premium Lager
Chinggis Mongolian Lager,/beer/chinggis-mongolian-lager/92344/,2.00,Pale Lager
Sengur Beer,/beer/sengur-beer/129192/,1.86,Pale Lager
Chinggis Namarbok,/beer/chinggis-namarbok/41623/,n/a,Doppelbock
Chinggis Maybok,/beer/chinggis-maybok/41621/,n/a,Dunkler Bock
Khan Br�u Hefeweizen,/beer/khan-brau-hefeweizen/149076/,n/a,German Hefeweizen
Khan Br�u Natural,/beer/khan-brau-natural/149075/,n/a,Zwickel/Keller/Landbier
Chinggis Weiserbok,/beer/chinggis-weiserbok/41622/,n/a,Weizen Bock
Fusion,/beer/fusion/140461/,n/a,Premium Lager
