beer,link,score,style
RedCat Brewery Wheat IPA,/beer/redcat-brewery-wheat-ipa/382321/,3.09,Wheat Ale
RedCatbrewery APA,/beer/redcatbrewery-apa/382322/,3.05,American Pale Ale
FIT Tamno,/beer/fit-tamno/80226/,3.03,Dunkel/Tmav�
Smilin' Goat,/beer/smilin-goat/535237/,2.98,India Pale Ale (IPA)
Blues Beer Svetlo,/beer/blues-beer-svetlo/439063/,2.96,Zwickel/Keller/Landbier
Nik�ićko Tamno,/beer/niksi263ko-tamno/23339/,2.82,Schwarzbier
Nik�ićko Pivo Nefiltrirano,/beer/niksi263ko-pivo-nefiltrirano/431824/,2.68,Zwickel/Keller/Landbier
FIT Svetlo,/beer/fit-svetlo/185159/,2.54,Pale Lager
Nik�ićko Cool Grejpfrut,/beer/niksi263ko-cool-grejpfrut/223010/,2.38,Radler/Shandy
Nik�ićko Gold,/beer/niksi263ko-gold/289411/,2.30,Premium Lager
Nik�ićko Pivo,/beer/niksi263ko-pivo/5991/,2.28,Pale Lager
Onogo�t Svijetlo Pivo,/beer/onogost-svijetlo-pivo/417503/,2.23,Pale Lager
Nik�ićko Cool Limun,/beer/niksi263ko-cool-limun/158174/,1.97,Radler/Shandy
Nik Cool,/beer/nik-cool/38262/,1.96,Pale Lager
Black Sheep Domaće Pivo,/beer/black-sheep-doma263e-pivo/412246/,n/a,Dortmunder/Helles
Hoptimus Prime,/beer/hoptimus-prime/535243/,n/a,American Pale Ale
Portun,/beer/portun/535242/,n/a,Stout
Red Beerd,/beer/red-beerd/535241/,n/a,Amber Ale
Nik Gold,/beer/nik-gold/5992/,n/a,Pale Lager
