beer,link,score,style
Flag Speciale Biere de Mars,/beer/flag-speciale-biere-de-mars/493142/,2.76,Pale Lager
Casablanca Light,/beer/casablanca-light/470450/,2.51,Low Alcohol
Crown,/beer/crown/51232/,2.34,Low Alcohol
Cerveza Doble Malta (Mercadona),/beer/cerveza-doble-malta-mercadona/537951/,2.33,Imperial Pils/Strong Pale Lager
Casablanca (Casa Beer),/beer/casablanca-casa-beer/9882/,2.25,Pale Lager
Castel Beer (Morocco),/beer/castel-beer-morocco/80771/,2.25,Pale Lager
Cerveza Reserva (Mercadona) ,/beer/cerveza-reserva-mercadona/548994/,2.22,Imperial Pils/Strong Pale Lager
33 Export (Morocco),/beer/33-export-morocco/420095/,2.18,Pale Lager
Kania,/beer/kania/360622/,2.11,Pale Lager
Flag Sp�ciale (Morocco),/beer/flag-speciale-morocco/13890/,2.05,Pale Lager
Flag Pils,/beer/flag-pils/13889/,2.02,Pale Lager
Stork Premi�re,/beer/stork-premiere/13891/,1.77,Pale Lager
Heineken Beer,/beer/heineken-beer/247623/,n/a,Pale Lager
