beer,link,score,style
Myanmar Black Shield,/beer/myanmar-black-shield/386944/,3.13,Stout
Spirulina Beer Anti-Aging Drink,/beer/spirulina-beer-anti-aging-drink/211073/,2.85,Spice/Herb/Vegetable
Myanmar Premium,/beer/myanmar-premium/461277/,2.74,Premium Lager
Dagon Light,/beer/dagon-light/461276/,2.73,Pale Lager
Myanmar Carlsberg Yoma Special Brew,/beer/myanmar-carlsberg-yoma-special-brew/521933/,2.62,Pale Lager
Dagon Malta Fresh,/beer/dagon-malta-fresh/386919/,2.62,Low Alcohol
Dagon Super,/beer/dagon-super/388601/,2.49,Malt Liquor
Regal Seven,/beer/regal-seven/390802/,2.44,Pale Lager
Dagon Extra Strong,/beer/dagon-extra-strong/146020/,2.35,Malt Liquor
Myanmar Carlsberg Yoma Premium Beer,/beer/myanmar-carlsberg-yoma-premium-beer/521934/,2.20,Pale Lager
Myanmar Double Strong,/beer/myanmar-double-strong/188780/,2.13,Malt Liquor
Andaman Gold,/beer/andaman-gold/115108/,2.05,Pale Lager
Andaman Gold Special,/beer/andaman-gold-special/240076/,2.04,Pale Lager
Mandalay Strong Ale,/beer/mandalay-strong-ale/14407/,2.01,English Strong Ale
Dagon Lager Beer,/beer/dagon-lager-beer/147183/,1.93,Pale Lager
Myanmar Lager Beer,/beer/myanmar-lager-beer/17109/,1.89,Pale Lager
Mandalay Lager,/beer/mandalay-lager/13185/,1.89,Pale Lager
ABC Extra Stout (Myanmar),/beer/abc-extra-stout-myanmar/253783/,n/a,Foreign Stout
York Street Dawei Port-er,/beer/york-street-dawei-port-er/458662/,n/a,Porter
York Street Not In The Service Area IPA,/beer/york-street-not-in-the-service-area-ipa/458664/,n/a,India Pale Ale (IPA)
York Street Sandwich Street IPA,/beer/york-street-sandwich-street-ipa/458660/,n/a,India Pale Ale (IPA)
York Street Yangon Bullet Train Hefeweizen,/beer/york-street-yangon-bullet-train-hefeweizen/458663/,n/a,German Hefeweizen
