beer,link,score,style
Hansa Urbock,/beer/hansa-urbock/7514/,3.38,Dunkler Bock
Camelthorn Red,/beer/camelthorn-red/144715/,2.95,Amber Ale
Camelthorn Sundowner,/beer/camelthorn-sundowner/146058/,2.91,Oktoberfest/M�rzen
King Lager,/beer/king-lager/470109/,2.87,Pale Lager
Camelthorn Helles,/beer/camelthorn-helles/144841/,2.84,Dortmunder/Helles
Camelthorn Summer Ale,/beer/camelthorn-summer-ale/188781/,2.82,Golden Ale/Blond Ale
Hansa Draught (Namibia),/beer/hansa-draught-namibia/54239/,2.82,Pale Lager
Camelthorn Weizen,/beer/camelthorn-weizen/134681/,2.77,German Hefeweizen
Oshikundu,/beer/oshikundu/54241/,2.69,Traditional Ale
Camelthorn Weiss Beer,/beer/camelthorn-weiss-beer/525043/,2.64,German Kristallweizen
Namibia Tafel Lite Lager,/beer/namibia-tafel-lite-lager/472432/,2.63,Pale Lager
Camelthorn Red Dune Rooibos,/beer/camelthorn-red-dune-rooibos/195456/,2.59,Spice/Herb/Vegetable
Camelthorn Fresh,/beer/camelthorn-fresh/144842/,2.57,Fruit Beer
DAS Pilsener,/beer/das-pilsener/8244/,2.47,Pilsener
Camelthorn Bokbeer,/beer/camelthorn-bokbeer/144717/,2.43,Weizen Bock
Windhoek Export,/beer/windhoek-export/6431/,2.42,Dortmunder/Helles
Camelthorn Schwarzbier,/beer/camelthorn-schwarzbier/378907/,2.39,Schwarzbier
Hansa Pilsener (Namibia),/beer/hansa-pilsener-namibia/50580/,2.36,Pilsener
Windhoek Draught,/beer/windhoek-draught/55252/,2.29,Premium Lager
Windhoek Special,/beer/windhoek-special/8245/,2.29,Pale Lager
Namibia Tafel Lager,/beer/namibia-tafel-lager/8321/,2.28,Pale Lager
Namibia Club Shandy,/beer/namibia-club-shandy/54268/,2.21,Radler/Shandy
Windhoek Lager,/beer/windhoek-lager/4622/,2.15,Pale Lager
Windhoek Light,/beer/windhoek-light/4623/,1.96,Low Alcohol
Namibia Frostie Beer Shandy,/beer/namibia-frostie-beer-shandy/71633/,n/a,Radler/Shandy
Felsenkeller Hofbrau,/beer/felsenkeller-hofbrau/8248/,n/a,Pale Lager
The Beer Barrel Golden Ale,/beer/the-beer-barrel-golden-ale/480501/,n/a,Golden Ale/Blond Ale
The Beer Barrel Happy Monk,/beer/the-beer-barrel-happy-monk/480507/,n/a,Belgian Ale
The Beer Barrel Maltz & Waltz,/beer/the-beer-barrel-maltz-waltz/480504/,n/a,Pale Lager
The Beer Barrel Pickled Horse Porter,/beer/the-beer-barrel-pickled-horse-porter/480506/,n/a,Porter
The Beer Barrel Raspberry Delight,/beer/the-beer-barrel-raspberry-delight/480505/,n/a,Fruit Beer
Namib Dunes Blonde Ale,/beer/namib-dunes-blonde-ale/557833/,n/a,Golden Ale/Blond Ale
Namib Dunes Pale Ale,/beer/namib-dunes-pale-ale/557832/,n/a,American Pale Ale
Namibia Urbock,/beer/namibia-urbock/8247/,n/a,Dunkler Bock
