beer,link,score,style
Sherpa Khumbu Kolsch,/beer/sherpa-khumbu-kolsch/449699/,3.02,K�lsch
Coblenzer M�rzen,/beer/coblenzer-marzen/130770/,2.89,Oktoberfest/M�rzen
Coblenzer Pilsener,/beer/coblenzer-pilsener/130730/,2.64,Pilsener
Nepal Ice Natura,/beer/nepal-ice-natura/267264/,2.60,Pale Lager
Rato-Bhaat,/beer/rato-bhaat/234008/,2.56,Oktoberfest/M�rzen
Commando Super Strong Beer,/beer/commando-super-strong-beer/148910/,2.46,Malt Liquor
Star Premium Lager (Nepal),/beer/star-premium-lager-nepal/24102/,2.38,Pale Lager
Everest Premium Lager 50th Golden Jubilee,/beer/everest-premium-lager-50th-golden-jubilee/45505/,2.34,Premium Lager
Everest Premium Lager,/beer/everest-premium-lager/115798/,2.30,Pale Lager
Nepal's Mustang Premium Lager Beer,/beer/nepals-mustang-premium-lager-beer/124988/,2.27,Premium Lager
Gorkha Beer,/beer/gorkha-beer/73389/,2.19,Pale Lager
Everest Premium Lager Special Limited Edition,/beer/everest-premium-lager-special-limited-edition/72615/,2.15,Pale Lager
Nepal's Real Gold,/beer/nepals-real-gold/124989/,2.11,Pale Lager
Nepal Ice,/beer/nepal-ice/72613/,2.09,Pale Lager
Godawari Premium Lager,/beer/godawari-premium-lager/223025/,2.09,Pale Lager
Iceberg Extra Strong Beer,/beer/iceberg-extra-strong-beer/9928/,2.06,Imperial Pils/Strong Pale Lager
Kathmandu Premium Beer,/beer/kathmandu-premium-beer/148911/,2.06,Pale Lager
Nepal Ice Strong,/beer/nepal-ice-strong/148912/,2.04,Malt Liquor
Gorkha Strong,/beer/gorkha-strong/283736/,n/a,Malt Liquor
Everest Golden Tiger X-tra Strong Beer,/beer/everest-golden-tiger-x-tra-strong-beer/166861/,n/a,Imperial Pils/Strong Pale Lager
