beer,link,score,style
De Molen Hel & Verdoemenis 666,/beer/de-molen-hel-verdoemenis-666/118013/,4.14,Imperial Stout
De Molen Hel & Verdoemenis Wild Turkey BA,/beer/de-molen-hel-verdoemenis-wild-turkey-ba/122763/,4.13,Imperial Stout
De Molen Black Damnation 666,/beer/de-molen-black-damnation-666/131088/,4.13,Imperial Stout
La Trappe Quadrupel Oak Aged Batch #20,/beer/la-trappe-quadrupel-oak-aged-batch-20/348323/,4.12,Abt/Quadrupel
De Molen Black Damnation Molen's Steam Edition,/beer/de-molen-black-damnation-molens-steam-edition/123169/,4.11,Imperial Stout
De Molen Hel & Verdoemenis Misto BA,/beer/de-molen-hel-verdoemenis-misto-ba/124844/,4.11,Imperial Stout
Emelisse White Label Imperial Russian Stout (Buffalo Trace BA),/beer/emelisse-white-label-imperial-russian-stout-buffalo-trace-ba/263529/,4.11,Imperial Stout
Emelisse White Label Imperial Russian Stout (Wild Turkey BA),/beer/emelisse-white-label-imperial-russian-stout-wild-turkey-ba/200568/,4.08,Imperial Stout
De Molen Hel & Verdoemenis (Hell & Damnation),/beer/de-molen-hel-verdoemenis-hell-damnation/87696/,4.08,Imperial Stout
De Molen Hel & Verdoemenis Wild Turkey Eisbock,/beer/de-molen-hel-verdoemenis-wild-turkey-eisbock/230668/,4.07,Imperial Stout
Emelisse White Label Imperial Russian Stout (Heaven Hill BA) ,/beer/emelisse-white-label-imperial-russian-stout-heaven-hill-ba/347770/,4.06,Imperial Stout
De Molen Weer & Wind (2016),/beer/de-molen-weer-wind-2016/451158/,4.04,Barley Wine
Emelisse White Label Imperial Russian Stout (Makers Mark BA),/beer/emelisse-white-label-imperial-russian-stout-makers-mark-ba/286923/,4.04,Imperial Stout
De Molen Larie & Apekool,/beer/de-molen-larie-apekool/172158/,4.04,Imperial Stout
De Molen Mooi & Meedogenloos (Bourbon BA),/beer/de-molen-mooi-meedogenloos-bourbon-ba/451857/,4.03,Imperial Stout
Emelisse White Label Barley Wine (Heaven Hill BA),/beer/emelisse-white-label-barley-wine-heaven-hill-ba/343904/,4.03,Barley Wine
De Molen / Struise Black Damnation,/beer/de-molen-struise-black-damnation/100195/,4.02,Imperial Stout
De Molen Hemel & Aarde (Bruichladdich BA),/beer/de-molen-hemel-aarde-bruichladdich-ba/103409/,4.02,Imperial Stout
De Molen Hel & Verdoemenis Cuv�e,/beer/de-molen-hel-verdoemenis-cuvee/239646/,4.01,Imperial Stout
