beer,link,score,style
Number One Zest ,/beer/number-one-zest/476690/,2.79,Radler/Shandy
Number One Whisky Malt,/beer/number-one-whisky-malt/483603/,2.78,Scotch Ale
Hinano Export,/beer/hinano-export/400609/,2.77,Pale Lager
Number One Letchi,/beer/number-one-letchi/400710/,2.61,Fruit Beer
Number One Extra,/beer/number-one-extra/464682/,2.52,Pilsener
Havannah,/beer/havannah/80326/,2.50,Amber Ale
Manta Classique,/beer/manta-classique/225549/,2.32,Pale Lager
Number One,/beer/number-one/23340/,2.11,Pale Lager
Manta Intense,/beer/manta-intense/133879/,2.08,Pale Lager
Manta Gold,/beer/manta-gold/535260/,2.03,Premium Lager
Manta Saveur Citron,/beer/manta-saveur-citron/265310/,1.92,Pale Lager
