beer,link,score,style
8 Wired iStout,/beer/8-wired-istout/122165/,3.98,Imperial Stout
Liberty Citra Double IPA,/beer/liberty-citra-double-ipa/151705/,3.95,Imperial IPA
Epic Lupulingus,/beer/epic-lupulingus/281253/,3.92,Imperial IPA
8 Wired Batch 18 - Barrel Aged Imperial Stout,/beer/8-wired-batch-18-barrel-aged-imperial-stout/142271/,3.91,Imperial Stout
Garage Project Mutiny on the Bounty,/beer/garage-project-mutiny-on-the-bounty/478429/,3.90,Imperial Stout
Epic Hop Zombie,/beer/epic-hop-zombie/144497/,3.88,Imperial IPA
8 Wired Batch 2.18 Oak Aged Imperial Stout,/beer/8-wired-batch-218-oak-aged-imperial-stout/372805/,3.88,Imperial Stout
Kereru Imperial Nibs,/beer/kereru-imperial-nibs/402509/,3.87,Imperial Porter
Tuatara XV 15th Anniversary Russian Imperial Stout,/beer/tuatara-xv-15th-anniversary-russian-imperial-stout/386603/,3.87,Imperial Stout
8 Wired Lord of the Atlas,/beer/8-wired-lord-of-the-atlas/500634/,3.87,Barley Wine
Panhead Black Sabbath,/beer/panhead-black-sabbath/268496/,3.85,Barley Wine
8 Wired Gypsy Funk,/beer/8-wired-gypsy-funk/451654/,3.85,Sour/Wild Ale
Canhead Hardtail Henry Oaked Stout,/beer/canhead-hardtail-henry-oaked-stout/336112/,3.85,Imperial Stout
8 Wired HopWired IPA,/beer/8-wired-hopwired-ipa/114480/,3.84,India Pale Ale (IPA)
Tuatara Double Trouble,/beer/tuatara-double-trouble/179554/,3.84,Imperial IPA
Garage Project Cabbages and Kings,/beer/garage-project-cabbages-and-kings/362781/,3.83,Imperial Stout
Epic / Fork & Brewer / Hallertau / Liberty Four Horsemen Of The Hopocalypse,/beer/epic-fork-brewer-hallertau-liberty-four-horsemen-of-the-hopocalypse/163208/,3.83,Imperial IPA
Tuatara Tu-Rye-Ay Midnight Rye IPA,/beer/tuatara-tu-rye-ay-midnight-rye-ipa/353837/,3.82,Black IPA
Tuatara X1 Belgian Black Ale,/beer/tuatara-x1-belgian-black-ale/159818/,3.82,Barley Wine
8 Wired Superconductor,/beer/8-wired-superconductor/149231/,3.81,Imperial IPA
8 Wired Le Fut Flanders Red Ale,/beer/8-wired-le-fut-flanders-red-ale/393686/,3.81,Sour Red/Brown
8 Wired Bumaye,/beer/8-wired-bumaye/182537/,3.80,Imperial Stout
Garage Project Death From Above,/beer/garage-project-death-from-above/215657/,3.80,India Pale Ale (IPA)
8 Wired Barrel Aged Smoked Imperial Porter (2011),/beer/8-wired-barrel-aged-smoked-imperial-porter-2011/296091/,3.80,Imperial Porter
Liberty Yakima Monster,/beer/liberty-yakima-monster/184394/,3.79,American Pale Ale
8 Wired Black Wired Black IPA,/beer/8-wired-black-wired-black-ipa/267492/,3.79,Black IPA
8 Wired / Renaissance / N�gne � - � For Awesome Imperial Amber Ale,/beer/8-wired-renaissance-nogne-o-o-for-awesome-imperial-amber-ale/166240/,3.78,American Strong Ale 
Garage Project Cockswain's Courage Blended Porter,/beer/garage-project-cockswains-courage-blended-porter/225845/,3.78,Imperial Porter
Garage Project Pernicious Weed,/beer/garage-project-pernicious-weed/150935/,3.78,Imperial IPA
8 Wired Grand Cru 2011,/beer/8-wired-grand-cru-2011/182536/,3.78,Abt/Quadrupel
Liberty Yakima Scarlet,/beer/liberty-yakima-scarlet/179180/,3.77,American Strong Ale 
Renaissance Elemental Porter,/beer/renaissance-elemental-porter/55893/,3.76,Porter
Emerson's Bird Dog IPA,/beer/emersons-bird-dog-ipa/187908/,3.76,India Pale Ale (IPA)
Garage Project Party and Bullshit,/beer/garage-project-party-and-bullshit/441984/,3.75,India Pale Ale (IPA)
Epic Magic Dust,/beer/epic-magic-dust/512063/,3.75,India Pale Ale (IPA)
Epic Armageddon IPA,/beer/epic-armageddon-ipa/91271/,3.75,India Pale Ale (IPA)
Liberty Sauvin Bomb,/beer/liberty-sauvin-bomb/402193/,3.75,India Pale Ale (IPA)
8 Wired Fresh HopWired,/beer/8-wired-fresh-hopwired/171357/,3.74,India Pale Ale (IPA)
Canhead Johnny Octane Red IPA,/beer/canhead-johnny-octane-red-ipa/333936/,3.73,Imperial IPA
Epic Imperium,/beer/epic-imperium/278267/,3.73,Imperial Stout
8 Wired Tall Poppy India Red Ale,/beer/8-wired-tall-poppy-india-red-ale/133251/,3.73,Amber Ale
8 Wired Saison Sauvin,/beer/8-wired-saison-sauvin/142268/,3.73,Saison
8 Wired C4 Double Coffee Brown Ale,/beer/8-wired-c4-double-coffee-brown-ale/173667/,3.73,American Strong Ale 
Epic / Steam 10 Years 1000 Celebration Ale ,/beer/epic-steam-10-years-1000-celebration-ale/411569/,3.73,Barley Wine
Epic Epicurean Coffee & Fig Oatmeal Stout,/beer/epic-epicurean-coffee-fig-oatmeal-stout/160632/,3.72,Imperial Stout
Garage Project Triple Day of the Dead,/beer/garage-project-triple-day-of-the-dead/275364/,3.72,Schwarzbier
8 Wired Mighty Imperial Ale,/beer/8-wired-mighty-imperial-ale/212508/,3.72,American Strong Ale 
Invercargill Sa!son,/beer/invercargill-sason/124932/,3.72,Saison
Epic Apocalypse IPA,/beer/epic-apocalypse-ipa/267920/,3.71,Black IPA
Pink Elephant Imperious Rushin Stowt,/beer/pink-elephant-imperious-rushin-stowt/69870/,3.71,Imperial Stout
