beer,link,score,style
Campo Pale Ale,/beer/campo-pale-ale/329995/,3.42,American Pale Ale
Moropotente Lado Obscuro,/beer/moropotente-lado-obscuro/464827/,3.25,Sweet Stout
Mytos Amber Ale,/beer/mytos-amber-ale/464824/,3.18,Amber Ale
Moropotente Scotch,/beer/moropotente-scotch/314664/,3.04,Scotch Ale
Mytos,/beer/mytos/301682/,3.00,Zwickel/Keller/Landbier
Nicaragua Craft Beer Panga Drops Keller Pils,/beer/nicaragua-craft-beer-panga-drops-keller-pils/567235/,2.92,Zwickel/Keller/Landbier
La Porte�a Golden Ale,/beer/la-portena-golden-ale/314317/,2.89,Golden Ale/Blond Ale
Erdmann's Calala,/beer/erdmanns-calala/314049/,2.87,German Hefeweizen
Victoria Light,/beer/victoria-light/50034/,2.84,Pale Lager
Bufalo,/beer/bufalo/50032/,2.84,Pale Lager
Moropotente Pils,/beer/moropotente-pils/314663/,2.83,Pilsener
Mytos Pale Ale,/beer/mytos-pale-ale/464817/,2.81,English Pale Ale
San Juan del Sur El Boom IPA,/beer/san-juan-del-sur-el-boom-ipa/309967/,2.80,India Pale Ale (IPA)
La Porte�a Stout,/beer/la-portena-stout/314314/,2.79,Stout
La Porte�a Red Ale,/beer/la-portena-red-ale/314316/,2.77,Amber Ale
Moropotente 19 Dias,/beer/moropotente-19-dias/464822/,2.77,Golden Ale/Blond Ale
Mytos Weissbier,/beer/mytos-weissbier/387819/,2.77,German Hefeweizen
San Juan del Sur Cervecer�a Nicarao,/beer/san-juan-del-sur-cervecerya-nicarao/318683/,2.71,Wheat Ale
Victoria Selecci�n Maestro,/beer/victoria-seleccion-maestro/159579/,2.68,Premium Lager
San Juan del Sur Panga Sessions,/beer/san-juan-del-sur-panga-sessions/312726/,2.51,American Pale Ale
To�a Lite,/beer/tona-lite/464833/,2.46,Pale Lager
Cerveza Cristal (Nicaragua),/beer/cerveza-cristal-nicaragua/68320/,2.25,Pale Lager
Victoria Frost,/beer/victoria-frost/98066/,1.98,Pale Lager
Victoria (Nicaragua),/beer/victoria-nicaragua/26071/,1.89,Pale Lager
Cerveza Premium (Nicaragua),/beer/cerveza-premium-nicaragua/26300/,1.79,Pale Lager
To�a,/beer/tona/26073/,1.75,Pale Lager
Erdmann's Altbier,/beer/erdmanns-altbier/473979/,n/a,Altbier
Erdmann's Black Santa,/beer/erdmanns-black-santa/473980/,n/a,Doppelbock
Pinolera Bock ,/beer/pinolera-bock/473972/,n/a,Stout
Pinolera Morena ,/beer/pinolera-morena/473973/,n/a,Sweet Stout
Pinolera Rubia ,/beer/pinolera-rubia/473974/,n/a,Golden Ale/Blond Ale
Pinolera Sultana,/beer/pinolera-sultana/473971/,n/a,India Pale Ale (IPA)
Pinolera Trigue�a,/beer/pinolera-triguena/473975/,n/a,Wheat Ale
Erdmann's IPA,/beer/erdmanns-ipa/473978/,n/a,India Pale Ale (IPA)
Erdmann's Kolsch,/beer/erdmanns-kolsch/473976/,n/a,K�lsch
Erdmann's Oktoberfest,/beer/erdmanns-oktoberfest/473977/,n/a,Oktoberfest/M�rzen
Campo Summer Ale,/beer/campo-summer-ale/329998/,n/a,Wheat Ale
