beer,link,score,style
Taedonggang 6 ,/beer/taedonggang-6/378666/,3.00,Schwarzbier
Koryo Hotel Yellow Beer,/beer/koryo-hotel-yellow-beer/217578/,2.99,German Hefeweizen
Mansudae Restaurant Beer 1 (Wheat),/beer/mansudae-restaurant-beer-1-wheat/457958/,2.98,German Hefeweizen
Yanggakdo Hotel Draught Beer,/beer/yanggakdo-hotel-draught-beer/240340/,2.96,Golden Ale/Blond Ale
Rakwon 12,/beer/rakwon-12/217579/,2.93,German Hefeweizen
Taedonggang 1 ,/beer/taedonggang-1/440506/,2.93,Pale Lager
Thaesong Restaurant Beer,/beer/thaesong-restaurant-beer/514560/,2.89,Zwickel/Keller/Landbier
Haean Beer,/beer/haean-beer/376230/,2.85,Czech Pilsner (Světl�)
Koryo Hotel Black Beer,/beer/koryo-hotel-black-beer/217576/,2.84,Schwarzbier
Ryongaksan 12�,/beer/ryongaksan-12/500862/,2.83,Pale Lager
Ryongsong Huk-maekju 15�,/beer/ryongsong-huk-maekju-15/361540/,2.81,Schwarzbier
Rakbaek Dark Beer ,/beer/rakbaek-dark-beer/359064/,2.81,Dunkel/Tmav�
Taedonggang 7,/beer/taedonggang-7/378667/,2.81,Schwarzbier
Mansudae Restaurant Black Beer,/beer/mansudae-restaurant-black-beer/457968/,2.79,Schwarzbier
Unjong Black Beer 흑맥주,/beer/unjong-black-beer-551214758951452/441063/,2.76,Dunkel/Tmav�
Taedonggang 15P,/beer/taedonggang-15p/31440/,2.75,Pale Lager
Unjong Yellow Beer 황맥주,/beer/unjong-yellow-beer-548894758951452/441060/,2.72,German Hefeweizen
Pyongyang Gold Lane Beer,/beer/pyongyang-gold-lane-beer/500751/,2.72,Pale Lager
Taedonggang Fermented Apple Cider ,/beer/taedonggang-fermented-apple-cider/458914/,2.68,Cider
Ryongsong Huk-maekju 12�,/beer/ryongsong-huk-maekju-12/499576/,2.67,Schwarzbier
Taedonggang 5,/beer/taedonggang-5/440332/,2.67,Specialty Grain
Mansudae Restaurant Beer 2 (Barley),/beer/mansudae-restaurant-beer-2-barley/457962/,2.62,Pale Lager
Rakbaek Black Beer,/beer/rakbaek-black-beer/377967/,2.60,Schwarzbier
Rakwon Jebi Draft Beer,/beer/rakwon-jebi-draft-beer/382672/,2.58,Pale Lager
Taedonggang 4 ,/beer/taedonggang-4/440581/,2.56,Specialty Grain
Ryongsong Beer 12�,/beer/ryongsong-beer-12/195374/,2.55,Pale Lager
Taedonggang 3,/beer/taedonggang-3/440527/,2.53,Specialty Grain
Kyongsung Draught Beer 경승생맥주 ,/beer/kyongsung-draught-beer-4422149849493734758951452/531491/,2.51,Pale Lager
Taedonggang 11P,/beer/taedonggang-11p/48551/,2.50,Pale Lager
Rakrang Ryomyong Haesal Saengmaekju,/beer/rakrang-ryomyong-haesal-saengmaekju/360976/,2.49,Pale Lager
Pyongyang Huk-maekju ,/beer/pyongyang-huk-maekju/360979/,2.48,Dunkel/Tmav�
Ponghak Beer 12�,/beer/ponghak-beer-12/197356/,2.42,Pale Lager
Ryongsong Beer 10�,/beer/ryongsong-beer-10/500869/,2.40,Pale Lager
Pyongyang Maekju 11�,/beer/pyongyang-maekju-11/357431/,2.39,Pale Lager
Pyongyang Maekju 12�,/beer/pyongyang-maekju-12/499575/,2.35,Pale Lager
Rakwon Kumgang Beer 락원 금강맥주 ,/beer/rakwon-kumgang-beer-4697350896-44552440534758951452/405670/,2.34,Pale Lager
Taedonggang 2 Yellow Label,/beer/taedonggang-2-yellow-label/194299/,2.31,Pale Lager
Kyonghung Maekju,/beer/kyonghung-maekju/363117/,2.29,Pale Lager
Ryongsong Beer 15�,/beer/ryongsong-beer-15/349404/,2.28,Pale Lager
Ryongsong Beer 12� 4.5%,/beer/ryongsong-beer-12-45/47159/,2.27,Pale Lager
Taedonggang 2 Black Label,/beer/taedonggang-2-black-label/217571/,2.21,Pale Lager
Ponghak Beer 11�,/beer/ponghak-beer-11/297967/,2.18,Pale Lager
KITC Mangyŏngdae,/beer/kitc-mangy335ngdae/500753/,2.15,Pale Lager
Taedonggang Beer,/beer/taedonggang-beer/72311/,2.11,Pale Lager
Ryongsong Ssalmaekju,/beer/ryongsong-ssalmaekju/357951/,2.09,Specialty Grain
Koryo Hotel Heuk-Saeng-Maekju,/beer/koryo-hotel-heuk-saeng-maekju/96490/,n/a,Dunkel/Tmav�
Taedonggang Black Beer,/beer/taedonggang-black-beer/31441/,n/a,Schwarzbier
Kumgangsan Draft Beer 금강산생맥주,/beer/kumgangsan-draft-beer-445524405349328493734758951452/523810/,n/a,Zwickel/Keller/Landbier
