beer,link,score,style
N&R; - Shot In The Dark,/beer/nr-shot-in-the-dark/150375/,3.98,Lambic Style - Fruit
Boundary Forever Ago,/beer/boundary-forever-ago/474862/,3.61,India Pale Ale (IPA)
Boundary Gift,/beer/boundary-gift/437439/,3.59,Imperial Stout
Farmageddon India Export Porter,/beer/farmageddon-india-export-porter/263238/,3.58,Imperial Porter
Boundary Sour Bake 2016,/beer/boundary-sour-bake-2016/452797/,3.56,Sour/Wild Ale
Farmageddon Double IPA,/beer/farmageddon-double-ipa/389681/,3.54,Imperial IPA
Boundary Export Stout,/beer/boundary-export-stout/328953/,3.52,Foreign Stout
Boundary Gift 2,/beer/boundary-gift-2/447433/,3.50,Imperial Stout
Boundary Filthy Animal 2,/beer/boundary-filthy-animal-2/412909/,3.50,Porter
Boundary Filthy Animal 3,/beer/boundary-filthy-animal-3/481784/,3.45,Spice/Herb/Vegetable
Farmageddon Baltic Porter 2016,/beer/farmageddon-baltic-porter-2016/489354/,3.42,Baltic Porter
Boundary Imbongorific,/beer/boundary-imbongorific/447437/,3.40,Imperial IPA
Boundary Tom,/beer/boundary-tom/452798/,3.40,Saison
Whitewater Hoppelhammer,/beer/whitewater-hoppelhammer/197870/,3.40,India Pale Ale (IPA)
Boundary Imbongo,/beer/boundary-imbongo/437441/,3.39,India Pale Ale (IPA)
Boundary / Neill & Ross Adega,/beer/boundary-neill-ross-adega/447427/,3.39,Sour/Wild Ale
Farmageddon Mosaic IPA,/beer/farmageddon-mosaic-ipa/422207/,3.38,India Pale Ale (IPA)
Brown Bear IPA,/beer/brown-bear-ipa/467037/,3.38,India Pale Ale (IPA)
Farmageddon / Bittles Bar Sparred Or Barred,/beer/farmageddon-bittles-bar-sparred-or-barred/525130/,3.38,India Pale Ale (IPA)
Boundary Push & Pull All The Hops,/beer/boundary-push-pull-all-the-hops/459707/,3.37,India Pale Ale (IPA)
Boundary Push & Pull Simcoe,/beer/boundary-push-pull-simcoe/474858/,3.37,India Pale Ale (IPA)
Boundary Push & Pull Comet,/beer/boundary-push-pull-comet/447434/,3.37,India Pale Ale (IPA)
Boundary / Zapato You're Not Getting Any,/beer/boundary-zapato-youre-not-getting-any/543359/,3.36,Sweet Stout
Lacada Salamander Series #1 Utopian Stout,/beer/lacada-salamander-series-1-utopian-stout/441034/,3.36,Foreign Stout
Boundary A Berliner Vice #2,/beer/boundary-a-berliner-vice-2/386909/,3.35,Berliner Weisse
Bullhouse The Notorious P.I.G.,/beer/bullhouse-the-notorious-pig/544908/,3.34,Porter
Boundary / Mad Hatter Milk Agitator,/beer/boundary-mad-hatter-milk-agitator/437440/,3.32,Berliner Weisse
Clanconnel #6 McGrath's Irish Black Stout,/beer/clanconnel-6-mcgraths-irish-black-stout/132596/,3.32,Dry Stout
Boundary D'etre Ace*d 2,/beer/boundary-detre-aced-2/437438/,3.32,Saison
Hillstown Horny Bull Stout,/beer/hillstown-horny-bull-stout/299999/,3.31,Imperial Stout
Kilmegan Irish Farmhouse Cider,/beer/kilmegan-irish-farmhouse-cider/300978/,3.31,Cider
Pokertree Dark Nirvana,/beer/pokertree-dark-nirvana/285576/,3.31,Black IPA
Heaney Dry Irish Stout,/beer/heaney-dry-irish-stout/493658/,3.31,Dry Stout
Hilden Scullions Single X Plain Porter,/beer/hilden-scullions-single-x-plain-porter/132722/,3.29,Porter
Lacada Devil's Washtub,/beer/lacada-devils-washtub/473635/,3.29,Black IPA
Boundary Small. Ass. Stout.,/beer/boundary-small-ass-stout/412914/,3.28,Stout
Bullhouse El Capitan,/beer/bullhouse-el-capitan/441604/,3.28,Imperial Stout
Whitewater Clotworthy Dobbin,/beer/whitewater-clotworthy-dobbin/91475/,3.28,Porter
Boundary India Pale Ale,/beer/boundary-india-pale-ale/328952/,3.28,India Pale Ale (IPA)
Hillstown Pamoja,/beer/hillstown-pamoja/483750/,3.28,Black IPA
Hilden Twisted Hop,/beer/hilden-twisted-hop/155275/,3.28,Golden Ale/Blond Ale
Clearsky Fulcrum,/beer/clearsky-fulcrum/237641/,3.28,Wheat Ale
Barrahooley Dry Stout,/beer/barrahooley-dry-stout/398981/,3.27,Stout
Boundary Push And Pull Citra Way To Amarillo,/beer/boundary-push-and-pull-citra-way-to-amarillo/499123/,3.26,India Pale Ale (IPA)
Northbound 70 Magnum IPA,/beer/northbound-70-magnum-ipa/420459/,3.26,India Pale Ale (IPA)
Boundary / Galway Bay Border Hopper (bretted),/beer/boundary-galway-bay-border-hopper-bretted/407134/,3.26,India Pale Ale (IPA)
Boundary Push & Pull Almost Nilsson,/beer/boundary-push-pull-almost-nilsson/437466/,3.26,India Pale Ale (IPA)
Farmageddon Vermont Pale Ale,/beer/farmageddon-vermont-pale-ale/516180/,3.25,American Pale Ale
Whitewater Maggie's Leap IPA,/beer/whitewater-maggies-leap-ipa/330483/,3.25,American Pale Ale
Tempted? Festival Scrumpy,/beer/tempted-festival-scrumpy/160031/,3.25,Cider
