beer,link,score,style
Murree Stout,/beer/murree-stout/102792/,2.96,Foreign Stout
Murree Lite Export Pils,/beer/murree-lite-export-pils/47042/,2.77,Pilsener
Murree Wheat Beer,/beer/murree-wheat-beer/445725/,2.60,Wheat Ale
Murree Millennium Brew,/beer/murree-millennium-brew/47040/,2.41,Imperial Pils/Strong Pale Lager
Murree Classic Lager,/beer/murree-classic-lager/47041/,2.41,Premium Lager
Murree Beer,/beer/murree-beer/48080/,2.22,Pale Lager
Murree Cindy,/beer/murree-cindy/103533/,2.18,Low Alcohol
Murree Malt-79 ,/beer/murree-malt-79/13116/,1.95,Low Alcohol
Murree London Lager,/beer/murree-london-lager/11328/,n/a,Pale Lager
Murree Strong,/beer/murree-strong/465633/,n/a,Malt Liquor
