beer,link,score,style
Taybeh Brett! Barrel Aged,/beer/taybeh-brett-barrel-aged/552527/,3.14,Sour/Wild Ale
Taybeh IPA,/beer/taybeh-ipa/545379/,3.08,India Pale Ale (IPA)
Taybeh Sumac Sour,/beer/taybeh-sumac-sour/552521/,3.04,Sour/Wild Ale
Shepherds Winter Ale,/beer/shepherds-winter-ale/506288/,2.94,Spice/Herb/Vegetable
Taybeh Bitter Mango,/beer/taybeh-bitter-mango/552531/,2.94,Fruit Beer
Taybeh LemonRazz Wit,/beer/taybeh-lemonrazz-wit/552532/,2.94,Fruit Beer
Taybeh Beer Dark,/beer/taybeh-beer-dark/4945/,2.86,Dunkler Bock
Taybeh Shatta Ale,/beer/taybeh-shatta-ale/552519/,2.81,Spice/Herb/Vegetable
Tura Estate Winery Apple Cider,/beer/tura-estate-winery-apple-cider/163607/,2.79,Cider
Shepherds Christmas Ale,/beer/shepherds-christmas-ale/384776/,2.79,Spice/Herb/Vegetable
Shepherds Stout,/beer/shepherds-stout/344470/,2.78,Stout
Taybeh Beer Amber,/beer/taybeh-beer-amber/80500/,2.78,Altbier
Taybeh Beer White,/beer/taybeh-beer-white/241695/,2.74,Witbier
Shepherds Amber Ale,/beer/shepherds-amber-ale/344469/,2.72,Amber Ale
Shepherds Summer Ale,/beer/shepherds-summer-ale/350762/,2.69,Golden Ale/Blond Ale
Canaan Pale Ale,/beer/canaan-pale-ale/71677/,2.63,Belgian Ale
Shepherds Blonde Pilsner Lager,/beer/shepherds-blonde-pilsner-lager/344287/,2.63,Pilsener
Shepherds Wheat,/beer/shepherds-wheat/466444/,2.61,Wheat Ale
Canaan Stout,/beer/canaan-stout/71342/,2.51,Stout
Canaan Caraway Beer,/beer/canaan-caraway-beer/75044/,2.48,Spice/Herb/Vegetable
Taybeh Weihnachts-Bier,/beer/taybeh-weihnachts-bier/81896/,2.45,Premium Lager
Canaan Wheat Beer Premium Weissbier,/beer/canaan-wheat-beer-premium-weissbier/89577/,2.45,Witbier
Taybeh Beer Golden,/beer/taybeh-beer-golden/4943/,2.25,Golden Ale/Blond Ale
Taybeh Non Alcoholic,/beer/taybeh-non-alcoholic/310037/,1.62,Low Alcohol
