beer,link,score,style
Casa Bruja Tulivieja Imperial IPA,/beer/casa-bruja-tulivieja-imperial-ipa/401916/,3.47,Imperial IPA
Casa Bruja Talingo Chocolate Milk Stout,/beer/casa-bruja-talingo-chocolate-milk-stout/289907/,3.42,Stout
Casa Bruja Gose Lim�n Kaffir,/beer/casa-bruja-gose-limon-kaffir/544338/,3.27,Grodziskie/Gose/Lichtenhainer
Casa Bruja Chivoperro IPA,/beer/casa-bruja-chivoperro-ipa/289165/,3.25,India Pale Ale (IPA)
La Rana Dorada Porter,/beer/la-rana-dorada-porter/193531/,3.23,Porter
Casa Bruja Demencia Double Red Ale,/beer/casa-bruja-demencia-double-red-ale/401913/,3.17,American Strong Ale 
La Rana Dorada Pale Ale,/beer/la-rana-dorada-pale-ale/193534/,3.17,American Pale Ale
Casa Bruja Chitra Pale Ale,/beer/casa-bruja-chitra-pale-ale/487873/,3.15,American Pale Ale
Casa Bruja / Stone Brewing Azraale Geisha Red Ale,/beer/casa-bruja-stone-brewing-azraale-geisha-red-ale/478326/,3.12,Amber Ale
Guinness Extra Stout (Panama),/beer/guinness-extra-stout-panama/195298/,3.10,Dry Stout
Casa Bruja Sir Francis Red Ale,/beer/casa-bruja-sir-francis-red-ale/289906/,3.10,Amber Ale
La Rana Dorada Premium Pils,/beer/la-rana-dorada-premium-pils/193533/,3.04,Pale Lager
La Rana Dorada IPA,/beer/la-rana-dorada-ipa/253027/,3.04,India Pale Ale (IPA)
La Rana Dorada Edicion Limitada,/beer/la-rana-dorada-edicion-limitada/438584/,3.02,Premium Bitter/ESB
La Rana Dorada Black IPA,/beer/la-rana-dorada-black-ipa/401640/,2.98,Black IPA
Casa Bruja Fula Blonde Ale,/beer/casa-bruja-fula-blonde-ale/254051/,2.95,Golden Ale/Blond Ale
Black Top,/beer/black-top/212650/,2.91,Amber Ale
La Rana Dorada Blanche Belge,/beer/la-rana-dorada-blanche-belge/193535/,2.84,Witbier
The Rock Artisan Beer Dark,/beer/the-rock-artisan-beer-dark/167457/,2.81,Stout
Istmo Chiriqui,/beer/istmo-chiriqui/167926/,2.77,Dunkler Bock
The Rock Artisan Beer Light,/beer/the-rock-artisan-beer-light/167458/,2.76,American Pale Ale
Istmo Cocl�,/beer/istmo-cocle/58081/,2.74,Amber Lager/Vienna
Istmo Col�n,/beer/istmo-colon/58080/,2.71,Pale Lager
Istmo Honey,/beer/istmo-honey/167927/,2.69,Spice/Herb/Vegetable
Istmo Veraguas,/beer/istmo-veraguas/53413/,2.67,Amber Ale
Soberana Radler,/beer/soberana-radler/317977/,2.62,Radler/Shandy
Atlas Chelada,/beer/atlas-chelada/328310/,2.58,Spice/Herb/Vegetable
Atlas Golden Light,/beer/atlas-golden-light/401642/,2.47,Pale Lager
Gold Best,/beer/gold-best/43399/,2.28,Pale Lager
507 (Red Lager),/beer/507-red-lager/288784/,2.27,Amber Lager/Vienna
Gamboa,/beer/gamboa/58079/,2.01,Pale Lager
Cerveza Panama Lager,/beer/cerveza-panama-lager/8760/,1.96,Pale Lager
Balboa Ice,/beer/balboa-ice/43398/,1.94,Pale Lager
Panama Light,/beer/panama-light/318898/,1.89,Pale Lager
Balboa,/beer/balboa/8759/,1.83,Pale Lager
Atlas (Panama),/beer/atlas-panama/8758/,1.70,Pale Lager
Soberana,/beer/soberana/8880/,1.65,Pale Lager
Soberana Extra Fina,/beer/soberana-extra-fina/49824/,n/a,Pale Lager
Orlando's Premium Lager Beer,/beer/orlandos-premium-lager-beer/137444/,n/a,Premium Lager
Casa Bruja  Tres Tristes Tigres,/beer/casa-bruja-tres-tristes-tigres/562502/,n/a,Witbier
Casa Bruja Brujeria #1 Barley Wine,/beer/casa-bruja-brujeria-1-barley-wine/289908/,n/a,Barley Wine
Casa Bruja Brujeria #2 Barrel Aged Talingo Stout,/beer/casa-bruja-brujeria-2-barrel-aged-talingo-stout/289909/,n/a,Stout
Casa Bruja Brujeria #3 Barrel Aged Barley Wine,/beer/casa-bruja-brujeria-3-barrel-aged-barley-wine/289910/,n/a,Barley Wine
Casa Bruja Cayuco,/beer/casa-bruja-cayuco/311641/,n/a,Fruit Beer
Animal Brew SPV,/beer/animal-brew-spv/555980/,n/a,India Pale Ale (IPA)
Animal Brew Skaters,/beer/animal-brew-skaters/555982/,n/a,India Pale Ale (IPA)
Animal Brew Summer Time,/beer/animal-brew-summer-time/555983/,n/a,American Pale Ale
Animal Brew Villalobos,/beer/animal-brew-villalobos/555984/,n/a,Brown Ale
Animal Brew Quimera,/beer/animal-brew-quimera/555985/,n/a,Stout
Animal Brew True Hardcore Double Black IPA,/beer/animal-brew-true-hardcore-double-black-ipa/555986/,n/a,Black IPA
