beer,link,score,style
Sajonia Indio Pale Ale,/beer/sajonia-indio-pale-ale/421573/,3.31,India Pale Ale (IPA)
Sajonia India Pale Ale,/beer/sajonia-india-pale-ale/243466/,3.21,India Pale Ale (IPA)
Herken Special Ale,/beer/herken-special-ale/434875/,3.12,Amber Ale
Herken Paraguayan Ale,/beer/herken-paraguayan-ale/442989/,3.11,Spice/Herb/Vegetable
Victoria Lager,/beer/victoria-lager/207622/,3.04,Pale Lager
Sajonia Pale Ale,/beer/sajonia-pale-ale/258272/,2.98,American Pale Ale
Astoria Golden Ale,/beer/astoria-golden-ale/241960/,2.70,Golden Ale/Blond Ale
Korok Red Ale ,/beer/korok-red-ale/237852/,2.70,Irish Ale
Kure Dumas Mala Vision,/beer/kure-dumas-mala-vision/241971/,2.70,Golden Ale/Blond Ale
Kure Dumas Mo��i,/beer/kure-dumas-monai/241970/,2.67,Porter
Brahma Beats,/beer/brahma-beats/111717/,2.62,Pale Lager
Korok Miel,/beer/korok-miel/237849/,2.60,Golden Ale/Blond Ale
Britannia Beer ,/beer/britannia-beer/237855/,2.60,Pale Lager
Kure Dumas Mb�i Tu'ĩ,/beer/kure-dumas-mboi-tu297/241974/,2.47,Spice/Herb/Vegetable
Baviera,/beer/baviera/55429/,2.30,Pale Lager
Munich Imperial,/beer/munich-imperial/62466/,2.28,Pale Lager
Cerveceria Paraguayana Pilsen Cerveza Blanca,/beer/cerveceria-paraguayana-pilsen-cerveza-blanca/13114/,2.23,Pale Lager
Ouro Fino,/beer/ouro-fino/111719/,2.16,Pale Lager
Cerveceria Paraguayana Pilsen Dorada,/beer/cerveceria-paraguayana-pilsen-dorada/29886/,2.07,Pilsener
Polar Lager (Paraguay),/beer/polar-lager-paraguay/67295/,2.06,Pale Lager
Korok Korn ,/beer/korok-korn/237851/,1.98,Spice/Herb/Vegetable
Kure Dumas Jasy Jater�,/beer/kure-dumas-jasy-jatere/241973/,n/a,Golden Ale/Blond Ale
The Hop Blanche de Fernando,/beer/the-hop-blanche-de-fernando/490173/,n/a,Witbier
The Hop Doble Eje IPA,/beer/the-hop-doble-eje-ipa/490165/,n/a,Imperial IPA
The Hop Uma Milk Stout,/beer/the-hop-uma-milk-stout/490174/,n/a,Sweet Stout
Sajonia Guarar� Organic Honey Ale,/beer/sajonia-guarara-organic-honey-ale/227687/,n/a,American Strong Ale 
Sajonia Guararale,/beer/sajonia-guararale/325735/,n/a,Belgian Ale
Sajonia X DUM Indio Brown Ale,/beer/sajonia-x-dum-indio-brown-ale/325736/,n/a,Brown Ale
Korok Cream Ale,/beer/korok-cream-ale/241898/,n/a,Cream Ale
Korok Dark Ale,/beer/korok-dark-ale/241902/,n/a,Brown Ale
Korok IPA,/beer/korok-ipa/241903/,n/a,India Pale Ale (IPA)
Christel's Tiroler Weisse,/beer/christels-tiroler-weisse/104954/,n/a,German Hefeweizen
Polka Brown Ale,/beer/polka-brown-ale/227686/,n/a,Brown Ale
Polka Pale Ale,/beer/polka-pale-ale/207623/,n/a,American Pale Ale
Sajonia Oktoberfest,/beer/sajonia-oktoberfest/231335/,n/a,Oktoberfest/M�rzen
