beer,link,score,style
Sierra Andina Pachacutec Imperial Ale,/beer/sierra-andina-pachacutec-imperial-ale/203437/,3.41,American Strong Ale 
Barbarian 174 IPA,/beer/barbarian-174-ipa/199593/,3.37,India Pale Ale (IPA)
Nuevo Mundo Premium,/beer/nuevo-mundo-premium/274586/,3.37,Abbey Tripel
Barbarian Chicha Tu Mare  ,/beer/barbarian-chicha-tu-mare/495095/,3.36,Sour/Wild Ale
Barbarian Chaski Porter,/beer/barbarian-chaski-porter/199594/,3.35,Porter
Del Valle Sacred Valley IPA,/beer/del-valle-sacred-valley-ipa/321072/,3.34,India Pale Ale (IPA)
Jefe Weiss - Barranco Beer Co. ,/beer/jefe-weiss-barranco-beer-co/255454/,3.32,German Hefeweizen
Hops Microbrewery Bock,/beer/hops-microbrewery-bock/349589/,3.30,Doppelbock
Barbarian / Del Valle Roble Coche Bomba,/beer/barbarian-del-valle-roble-coche-bomba/411078/,3.26,Imperial Stout
Barbarian D�melasiempre Session IPA,/beer/barbarian-damelasiempre-session-ipa/431002/,3.26,India Pale Ale (IPA)
Zenith Pale Ale,/beer/zenith-pale-ale/220875/,3.25,American Pale Ale
Cumbres con Maracumanto,/beer/cumbres-con-maracumanto/349199/,3.25,Spice/Herb/Vegetable
Del Valle Be Kind ,/beer/del-valle-be-kind/516096/,3.25,American Pale Ale
Zenith Quinoa Porter,/beer/zenith-quinoa-porter/217664/,3.24,Porter
Sierra Andina Shaman IPA,/beer/sierra-andina-shaman-ipa/317678/,3.24,Imperial IPA
Hops Microbrewery Smoked,/beer/hops-microbrewery-smoked/349580/,3.23,Smoked
Tio Luque IPA,/beer/tio-luque-ipa/411054/,3.23,India Pale Ale (IPA)
Tio Luque Citra Pale Ale,/beer/tio-luque-citra-pale-ale/411058/,3.23,American Pale Ale
Magdalena Muertecita Doble IPA,/beer/magdalena-muertecita-doble-ipa/308204/,3.22,Imperial IPA
Barbarian / Del Valle Coche Bomba,/beer/barbarian-del-valle-coche-bomba/411084/,3.21,Imperial Stout
7 Vidas Pale Ale,/beer/7-vidas-pale-ale/409423/,3.21,American Pale Ale
Saqra Tripel,/beer/saqra-tripel/400907/,3.21,Abbey Tripel
Avena Buena - Barranco Beer Co. ,/beer/avena-buena-barranco-beer-co/410927/,3.21,Stout
Lupulager - Barranco Beer Co. ,/beer/lupulager-barranco-beer-co/382621/,3.20,Pale Lager
Hops Microbrewery Dunkel,/beer/hops-microbrewery-dunkel/349585/,3.19,Dunkel/Tmav�
Cumbres Maiz Morado,/beer/cumbres-maiz-morado/248591/,3.19,India Pale Ale (IPA)
Nuevo Mundo Independencia ,/beer/nuevo-mundo-independencia/437381/,3.18,India Pale Ale (IPA)
Nuevo Mundo Cabo Blanco,/beer/nuevo-mundo-cabo-blanco/274590/,3.18,Belgian Ale
7 Vidas Cat IPA,/beer/7-vidas-cat-ipa/409422/,3.18,India Pale Ale (IPA)
Pale X - Barranco Beer Co. ,/beer/pale-x-barranco-beer-co/312737/,3.17,American Pale Ale
Hops Microbrewery Stout,/beer/hops-microbrewery-stout/349570/,3.17,Foreign Stout
Hops Microbrewery Trigo,/beer/hops-microbrewery-trigo/349574/,3.17,German Hefeweizen
Amargu-IPA - Barranco Beer Co. ,/beer/amargu-ipa-barranco-beer-co/335637/,3.17,India Pale Ale (IPA)
Pilsen Polar,/beer/pilsen-polar/10581/,3.16,Schwarzbier
Cerveza Magdalena Tres Tigres,/beer/cerveza-magdalena-tres-tigres/409429/,3.16,Wheat Ale
Greenga OG Pale Ale ,/beer/greenga-og-pale-ale/428129/,3.16,American Pale Ale
Saca Tu Machete - Barranco Beer Co. ,/beer/saca-tu-machete-barranco-beer-co/432069/,3.16,Imperial Stout
Sierra Andina Huaracina Pale Ale,/beer/sierra-andina-huaracina-pale-ale/178437/,3.15,American Pale Ale
Del Valle Saison Especial,/beer/del-valle-saison-especial/432074/,3.15,Saison
Sierra Andina Don Juan Porter,/beer/sierra-andina-don-juan-porter/178439/,3.15,Porter
Barbarian Red Ale,/beer/barbarian-red-ale/171271/,3.15,Amber Ale
Magdalena Mala Suerte,/beer/magdalena-mala-suerte/410650/,3.14,Black IPA
Barbarian Gose Frutada,/beer/barbarian-gose-frutada/516101/,3.14,Grodziskie/Gose/Lichtenhainer
Machay Pantera Stout,/beer/machay-pantera-stout/411108/,3.13,Sweet Stout
Don Mau - Barranco Beer Co. ,/beer/don-mau-barranco-beer-co/295876/,3.12,Oktoberfest/M�rzen
Zenith Rye IPA,/beer/zenith-rye-ipa/376470/,3.12,India Pale Ale (IPA)
Del Valle Coffee Stout - Cafe Stout,/beer/del-valle-coffee-stout-cafe-stout/321234/,3.12,Stout
Maddok Capsicum IPA,/beer/maddok-capsicum-ipa/286716/,3.12,India Pale Ale (IPA)
Magdalena La Palida,/beer/magdalena-la-palida/295170/,3.11,American Pale Ale
Barbarian / Evil Twin Crazy Llama Barley Wine,/beer/barbarian-evil-twin-crazy-llama-barley-wine/377405/,3.11,Barley Wine
