beer,link,score,style
Turning Wheels Mountain King IPA,/beer/turning-wheels-mountain-king-ipa/380953/,3.28,American Pale Ale
Turning Wheels Craft Backbone DIPA,/beer/turning-wheels-craft-backbone-dipa/508713/,3.27,Imperial IPA
Turning Wheels Singlespeed Stout,/beer/turning-wheels-singlespeed-stout/299991/,3.27,Stout
Cebruery Up Yours Double IPA,/beer/cebruery-up-yours-double-ipa/406648/,3.21,Imperial IPA
Katipunan Signal No. 1 Stout,/beer/katipunan-signal-no-1-stout/185702/,3.19,Stout
Cebruery Guimaras Gose,/beer/cebruery-guimaras-gose/463116/,3.19,Grodziskie/Gose/Lichtenhainer
Turning Wheels Trailhead IPA,/beer/turning-wheels-trailhead-ipa/380972/,3.18,India Pale Ale (IPA)
Crows De Puta Madre!,/beer/crows-de-puta-madre/482360/,3.18,Imperial IPA
Cebruery People Power Pale Ale,/beer/cebruery-people-power-pale-ale/376790/,3.15,American Pale Ale
Craftpoint Revolution Revolutionary Belgian IPA,/beer/craoint-revolution-revolutionary-belgian-ipa/487598/,3.14,Belgian Ale
Cebruery Chocolate Hills Porter,/beer/cebruery-chocolate-hills-porter/376909/,3.12,Porter
Craftpoint Liberation Revolutionary Pale Ale,/beer/craoint-liberation-revolutionary-pale-ale/311358/,3.12,American Pale Ale
Palawe�o Ambog Ale,/beer/palaweno-ambog-ale/470893/,3.12,Amber Ale
Cebruery Chocolate Hills Porter Maple Vanilla Bourbon,/beer/cebruery-chocolate-hills-porter-maple-vanilla-bourbon/483804/,3.11,Porter
The Cebruery Mint Porter Chocolate Hills,/beer/the-cebruery-mint-porter-chocolate-hills/406647/,3.09,Porter
Perfect Pint Bravehearts,/beer/perfect-pint-bravehearts/378438/,3.09,Imperial IPA
Palawe�o Palawan Wit,/beer/palaweno-palawan-wit/470899/,3.07,Witbier
Katipunan Dear Fred,/beer/katipunan-dear-fred/404682/,3.07,American Pale Ale
Perfect Pint Cacao Kick Breakfast Stout,/beer/perfect-pint-cacao-kick-breakfast-stout/483140/,3.06,Stout
Great Islands Haniluya Fiesta Ale ,/beer/great-islands-haniluya-fiesta-ale/400771/,3.06,India Pale Ale (IPA)
Palawe�o Ayahay IPA,/beer/palaweno-ayahay-ipa/470895/,3.05,India Pale Ale (IPA)
Joe's Brew 34th Pursuit IPA,/beer/joes-brew-34th-pursuit-ipa/372235/,3.05,India Pale Ale (IPA)
63 North Cloudrunner,/beer/63-north-cloudrunner/481789/,3.04,American Pale Ale
Perfect Pint Oakey Dokey,/beer/perfect-pint-oakey-dokey/483166/,3.04,Stout
Cerveza Sagada Kapi Coffee Stout,/beer/cerveza-sagada-kapi-coffee-stout/484523/,3.04,Stout
Joe's Brew Sierra Madre,/beer/joes-brew-sierra-madre/482140/,3.04,Wheat Ale
Palawe�o Mango De Palawan,/beer/palaweno-mango-de-palawan/470898/,3.02,India Pale Ale (IPA)
The Professor's Chocolate Chilli Porter,/beer/the-professors-chocolate-chilli-porter/484521/,3.02,Porter
Cebu Almond Ale,/beer/cebu-almond-ale/540358/,3.02,Spice/Herb/Vegetable
Cebruery Day Tripper,/beer/cebruery-day-tripper/400736/,3.02,Belgian Strong Ale
Palawe�o Paragua ,/beer/palaweno-paragua/483791/,3.02,Belgian Strong Ale
Pedro Endless Summer Wheat Ale,/beer/pedro-endless-summer-wheat-ale/420348/,3.02,Wheat Ale
Crazy Carabao Exit Wounds IPA,/beer/crazy-carabao-exit-wounds-ipa/400733/,3.02,India Pale Ale (IPA)
Perfect Pint Starry Night Bourbon Barrel Porter,/beer/perfect-pint-starry-night-bourbon-barrel-porter/378432/,3.00,Porter
Crazy Carabao Tuff Tuko Pale Ale,/beer/crazy-carabao-tuff-tuko-pale-ale/400785/,3.00,American Pale Ale
63 North Green Mango Gose,/beer/63-north-green-mango-gose/481802/,3.00,Grodziskie/Gose/Lichtenhainer
Mr. Rockefeller Dark,/beer/mr-rockefeller-dark/434999/,3.00,California Common
Perfect Pint Evolve Haze Craze,/beer/perfect-pint-evolve-haze-craze/483171/,3.00,India Pale Ale (IPA)
Craftpoint Love & Lust,/beer/craoint-love-lust/482104/,3.00,Brown Ale
The Brewery Pineapple Hula,/beer/the-brewery-pineapple-hula/482382/,3.00,Wheat Ale
Pedro Wandering Wanderer,/beer/pedro-wandering-wanderer/483552/,3.00,India Pale Ale (IPA)
The Cebruery / Beer Exchange Guru IPA,/beer/the-cebruery-beer-exchange-guru-ipa/483546/,3.00,India Pale Ale (IPA)
Craftpoint Summer Sessions Blonde Ale,/beer/craoint-summer-sessions-blonde-ale/487555/,2.99,Golden Ale/Blond Ale
"Pedro Elementary, English Ale",/beer/pedro-elementary-english-ale/420355/,2.98,Premium Bitter/ESB
Cebruery Sour Girl Calamansi & Kiwi Berliner Weisse,/beer/cebruery-sour-girl-calamansi-kiwi-berliner-weisse/380977/,2.98,Fruit Beer
Turning Wheels Skyline White IPA,/beer/turning-wheels-skyline-white-ipa/380969/,2.98,India Pale Ale (IPA)
Palawe�o Buko Loco,/beer/palaweno-buko-loco/470894/,2.98,Cream Ale
Palawe�o Palaw'an,/beer/palaweno-palawan/470896/,2.98,K�lsch
Turning Wheels Ridgeline IPA,/beer/turning-wheels-ridgeline-ipa/380958/,2.98,India Pale Ale (IPA)
The Brewery Pilsner,/beer/the-brewery-pilsner/482377/,2.98,Pilsener
