beer,link,score,style
Szałpiw Buba Extreme Jack Daniels BA,/beer/sza322piw-buba-extreme-jack-daniels-ba/462142/,4.26,Abt/Quadrupel
Kormoran Imperium Prunum,/beer/kormoran-imperium-prunum/389104/,4.18,Baltic Porter
Szałpiw Buba Extreme Cognac BA,/beer/sza322piw-buba-extreme-cognac-ba/457161/,4.17,Abt/Quadrupel
Artezan Samiec Alfa (Barrel Aged),/beer/artezan-samiec-alfa-barrel-aged/367745/,4.15,Imperial Stout
Widawa 5th Anniversary Imperial Baltic Porter Bourbon BA,/beer/widawa-5th-anniversary-imperial-baltic-porter-bourbon-ba/521937/,4.04,Baltic Porter
Pinta Imperator Bałtycki,/beer/pinta-imperator-ba322tycki/242567/,4.03,Baltic Porter
Szałpiw Buba Extreme Calvados BA,/beer/sza322piw-buba-extreme-calvados-ba/457162/,4.02,Abt/Quadrupel
Pracownia Piwa / Podg�rz Baran z Jajem,/beer/pracownia-piwa-podgorz-baran-z-jajem/457122/,4.00,Baltic Porter
Widawa Porter Bałtycki Wędzony 24� Bourbon BA,/beer/widawa-porter-ba322tycki-w281dzony-24-bourbon-ba/378800/,3.98,Baltic Porter
Pracownia Piwa Mr. Hard's Rocks,/beer/pracownia-piwa-mr-hards-rocks/264334/,3.97,Imperial Stout
Trzech Kumpli Ragnar,/beer/trzech-kumpli-ragnar/548563/,3.96,Baltic Porter
Golem Lilith Bourbon BA,/beer/golem-lilith-bourbon-ba/479497/,3.95,Imperial Stout
Pracownia Piwa Mr. Hard Red Wine BA,/beer/pracownia-piwa-mr-hard-red-wine-ba/368318/,3.94,Barley Wine
Pinta Imperator Bałtycki Sherry Oloroso BA,/beer/pinta-imperator-ba322tycki-sherry-oloroso-ba/502238/,3.93,Baltic Porter
Widawa Porter Bałtycki Wędzony 24�,/beer/widawa-porter-ba322tycki-w281dzony-24/398357/,3.93,Smoked
Artezan Ch�teau 2017,/beer/artezan-chateau-2017/490607/,3.92,Sour Red/Brown
Solipiwko Black Bicz,/beer/solipiwko-black-bicz/356171/,3.92,Black IPA
Jan Olbracht Rzemieślniczy Kord Whiskey Barrel Aged,/beer/jan-olbracht-rzemie347lniczy-kord-whiskey-barrel-aged/425906/,3.91,Abt/Quadrupel
Pinta Kwas Theta,/beer/pinta-kwas-theta/472497/,3.91,Sour/Wild Ale
Ciechan Grand Prix American India Pale Ale,/beer/ciechan-grand-prix-american-india-pale-ale/240608/,3.90,India Pale Ale (IPA)
Perun Behemoth Bafomet,/beer/perun-behemoth-bafomet/400518/,3.90,Imperial Stout
Brokreacja Imperialny Nafciarz,/beer/brokreacja-imperialny-nafciarz/461417/,3.90,Smoked
