beer,link,score,style
Mean Sardine Voragem,/beer/mean-sardine-voragem/322632/,3.70,Black IPA
Dois Corvos Finisterra Imperial Porter,/beer/dois-corvos-finisterra-imperial-porter/378672/,3.66,Imperial Porter
Cerveja Letra / Cevada Pura Nanquim,/beer/cerveja-letra-cevada-pura-nanquim/396553/,3.65,Imperial Stout
Mean Sardine / To �l Blommer I Madeira,/beer/mean-sardine-to-ol-blommer-i-madeira/411751/,3.64,Imperial Stout
Dois Corvos / Passarola Brewing Periscope,/beer/dois-corvos-passarola-brewing-periscope/452136/,3.63,Baltic Porter
Cerveja Letra / Mean Sardine / Lervig Barley Wine Port Barrel Aged,/beer/cerveja-letra-mean-sardine-lervig-barley-wine-port-barrel-aged/514382/,3.63,Barley Wine
Passarola Double Oatmeal Stout (Caf� da Guatemala),/beer/passarola-double-oatmeal-stout-cafe-da-guatemala/484246/,3.60,Stout
Post Scriptum / Cervejaria Heroica Cryo Hoperation,/beer/post-scriptum-cervejaria-heroica-cryo-hoperation/526397/,3.59,Imperial IPA
Dois Corvos Into The Woods Scotch Ale (Scotch Whisky BA),/beer/dois-corvos-into-the-woods-scotch-ale-scotch-whisky-ba/507619/,3.59,Scotch Ale
Dois Corvos Creature,/beer/dois-corvos-creature/469498/,3.57,India Pale Ale (IPA)
Dois Corvos / Cerveja Letra IMP5RIO Moscatel Barrel Aged,/beer/dois-corvos-cerveja-letra-imp5rio-moscatel-barrel-aged/469507/,3.54,Saison
Dois Corvos Into The Woods Scotch Ale,/beer/dois-corvos-into-the-woods-scotch-ale/399950/,3.54,Scotch Ale
Post Scriptum Oak Series - Cognac,/beer/post-scriptum-oak-series-cognac/421157/,3.53,Barley Wine
Passarola IPA,/beer/passarola-ipa/288375/,3.52,India Pale Ale (IPA)
Dois Corvos Abominable Snowman,/beer/dois-corvos-abominable-snowman/465096/,3.51,Sweet Stout
Passarola Marqu�s de Pale Ale,/beer/passarola-marques-de-pale-ale/434953/,3.49,American Pale Ale
Dois Corvos / Frontaal Guanabana Ma�ana Smoothie IPA,/beer/dois-corvos-frontaal-guanabana-manana-smoothie-ipa/502903/,3.48,India Pale Ale (IPA)
Dois Corvos Matin� Session IPA,/beer/dois-corvos-matine-session-ipa/363197/,3.47,Session IPA
Maldita Russian Imperial Stout,/beer/maldita-russian-imperial-stout/304063/,3.46,Imperial Stout
Dois Corvos Gal�xia Milk Stout (6%),/beer/dois-corvos-galaxia-milk-stout-6/455223/,3.46,Sweet Stout
Imperial Stout by Pedro Sousa,/beer/imperial-stout-by-pedro-sousa/338213/,3.45,Imperial Stout
Oitava Colina Urraca Vendaval,/beer/oitava-colina-urraca-vendaval/314294/,3.45,India Pale Ale (IPA)
Oitava Colina Iolanda Double IPA,/beer/oitava-colina-iolanda-double-ipa/409525/,3.45,Imperial IPA
Passarola Hadron Collision,/beer/passarola-hadron-collision/413870/,3.44,Stout
Dois Corvos Roasted Rye Black IPA,/beer/dois-corvos-roasted-rye-black-ipa/408725/,3.44,Black IPA
Dois Corvos / Against The Tide Babil�nia,/beer/dois-corvos-against-the-tide-babilonia/507626/,3.44,Barley Wine
Mean Sardine Amura,/beer/mean-sardine-amura/239338/,3.43,American Pale Ale
