beer,link,score,style
Old Harbor Kofresi Stout,/beer/old-harbor-kofresi-stout/57106/,3.34,Stout
Old Harbor Visitante 212,/beer/old-harbor-visitante-212/148394/,3.32,Stout
Boqueron Crash Boat IPA,/beer/boqueron-crash-boat-ipa/186712/,3.14,India Pale Ale (IPA)
Old Harbor Taina (IPA),/beer/old-harbor-taina-ipa/116963/,3.14,India Pale Ale (IPA)
Old Harbor Taina (Hefeweizen),/beer/old-harbor-taina-hefeweizen/62522/,3.10,German Hefeweizen
Old Harbor Taina (Imperial Brown Ale),/beer/old-harbor-taina-imperial-brown-ale/125402/,3.06,Brown Ale
Old Harbor Pale Ale,/beer/old-harbor-pale-ale/57105/,3.05,American Pale Ale
Old Harbor Taina (Weizen Doppelbock),/beer/old-harbor-taina-weizen-doppelbock/121564/,3.04,Weizen Bock
Dacay Red Ale,/beer/dacay-red-ale/202013/,3.03,Amber Ale
Barlovento Gale�n IPA,/beer/barlovento-galeon-ipa/320352/,3.02,India Pale Ale (IPA)
Boqueron Brown Ale ,/beer/boqueron-brown-ale/406187/,3.00,Brown Ale
Old Harbor Taina (Oktoberfest),/beer/old-harbor-taina-oktoberfest/72034/,2.98,Oktoberfest/M�rzen
Boqueron Blonde Ale,/beer/boqueron-blonde-ale/186710/,2.96,Golden Ale/Blond Ale
Old Harbor Taina (Smoked Porter),/beer/old-harbor-taina-smoked-porter/266742/,2.95,Smoked
Boqueron Azuka,/beer/boqueron-azuka/266572/,2.93,Brown Ale
Old Harbor Taina (Doppelbock),/beer/old-harbor-taina-doppelbock/85985/,2.89,Doppelbock
Dacay IPA,/beer/dacay-ipa/202011/,2.87,India Pale Ale (IPA)
Boqueron Carnaval Imperial IPA,/beer/boqueron-carnaval-imperial-ipa/260566/,2.87,Imperial IPA
Boqueron Pale Ale,/beer/boqueron-pale-ale/186711/,2.87,American Pale Ale
Old Harbor Taina (Bock),/beer/old-harbor-taina-bock/92584/,2.86,Heller Bock
Old Harbor Santo Viejo Lager Pilsner,/beer/old-harbor-santo-viejo-lager-pilsner/57104/,2.85,Pilsener
Barlovento / Ingeniero Stay Puft,/beer/barlovento-ingeniero-stay-puft/317495/,2.84,Sweet Stout
Dacay Black IPA ,/beer/dacay-black-ipa/217042/,2.83,Black IPA
Boqueron 3 Palmas Milk Stout,/beer/boqueron-3-palmas-milk-stout/253379/,2.83,Sweet Stout
Old Harbor Taina (Organic Vienna Lager) ,/beer/old-harbor-taina-organic-vienna-lager/104763/,2.82,Amber Lager/Vienna
Se�orial El Vigia,/beer/senorial-el-vigia/317514/,2.80,American Pale Ale
FOK Coffee IPA,/beer/fok-coffee-ipa/320353/,2.79,Black IPA
FOK St Patrick Verde,/beer/fok-st-patrick-verde/498045/,2.79,Golden Ale/Blond Ale
Old Harbor Taina (Imperial IPA),/beer/old-harbor-taina-imperial-ipa/339607/,2.79,Imperial IPA
Old Harbor Taina (Coffee Porter),/beer/old-harbor-taina-coffee-porter/162201/,2.79,Porter
Boqueron Autumn Ale,/beer/boqueron-autumn-ale/253375/,2.79,K�lsch
Old Harbor Taina (Cream Ale) ,/beer/old-harbor-taina-cream-ale/217488/,2.77,Cream Ale
Barlovento Gale�n 90/ Scottish Ale,/beer/barlovento-galeon-90-scottish-ale/317512/,2.77,Scottish Ale
Boqueron Parguera Session,/beer/boqueron-parguera-session/317486/,2.76,Session IPA
FOK Tanned Blonde Ale,/beer/fok-tanned-blonde-ale/317516/,2.75,Golden Ale/Blond Ale
Old Harbor Taina (Belgian Golden Ale),/beer/old-harbor-taina-belgian-golden-ale/72033/,2.73,Belgian Ale
Old Harbor Coqui Lager,/beer/old-harbor-coqui-lager/57103/,2.71,Dortmunder/Helles
Dacay Golden Ale,/beer/dacay-golden-ale/202015/,2.64,Golden Ale/Blond Ale
India,/beer/india/7663/,2.29,Pale Lager
Magna Special Craft,/beer/magna-special-craft/150643/,2.06,Pale Lager
Buy�,/beer/buye/202180/,2.05,Pale Lager
Tesoro,/beer/tesoro/14405/,1.97,Pale Lager
Buccoo Bay Lemon Lager,/beer/buccoo-bay-lemon-lager/53963/,1.87,Fruit Beer
Medalla Light,/beer/medalla-light/7662/,1.77,Pale Lager
Silver Key Light,/beer/silver-key-light/124317/,1.69,Pale Lager
Old Harbor Taina (Altbier),/beer/old-harbor-taina-altbier/94521/,n/a,Altbier
Boqueron M�rzen,/beer/boqueron-marzen/186713/,n/a,Oktoberfest/M�rzen
Old Harbor Taina (Stout),/beer/old-harbor-taina-stout/162200/,n/a,Stout
Rinc�n Sandy Blonde Ale,/beer/rincon-sandy-blonde-ale/320350/,n/a,Golden Ale/Blond Ale
Rinc�n Overhead IPA,/beer/rincon-overhead-ipa/320351/,n/a,India Pale Ale (IPA)
