beer,link,score,style
Microbrasserie de l'ilet - Blonde,/beer/microbrasserie-de-lilet-blonde/516002/,3.09,Golden Ale/Blond Ale
Microbrasserie de l'ilet - Ambr�e �pic�e ,/beer/microbrasserie-de-lilet-ambree-epicee/517014/,3.02,Amber Ale
Picaro Triple,/beer/picaro-triple/280640/,3.02,Abbey Tripel
Picaro - Exotic IPA,/beer/picaro-exotic-ipa/516388/,3.00,India Pale Ale (IPA)
Picaro Blanche,/beer/picaro-blanche/280636/,2.94,Witbier
Picaro Ambr�,/beer/picaro-ambre/280634/,2.93,Amber Ale
Picaro Originale,/beer/picaro-originale/280639/,2.90,Specialty Grain
L'Ilet La Libertine,/beer/lilet-la-libertine/492817/,2.88,Golden Ale/Blond Ale
Picaro blonde,/beer/picaro-blonde/301720/,2.86,Belgian Ale
Picaro Brune,/beer/picaro-brune/280638/,2.84,Abbey Dubbel
Picaro - La Buse - Not' Chaleur,/beer/picaro-la-buse-not-chaleur/514825/,2.81,Amber Ale
Bourbon Radler,/beer/bourbon-radler/513870/,2.77,Radler/Shandy
Bourbon Rousse,/beer/bourbon-rousse/41488/,2.75,Amber Ale
Bourbon Blanche,/beer/bourbon-blanche/41487/,2.32,Witbier
Bourbon Metiss,/beer/bourbon-metiss/212758/,2.21,Fruit Beer
Bourbon Heritage,/beer/bourbon-heritage/335691/,2.15,Pale Lager
Bourbon,/beer/bourbon/17981/,2.12,Pale Lager
Bourbon 974,/beer/bourbon-974/41489/,n/a,Pale Lager
Bourbon de Noel,/beer/bourbon-de-noel/51284/,n/a,Fruit Beer
Picaro Premium,/beer/picaro-premium/280635/,n/a,Belgian Ale
L'Ilet Kafrine Do F�,/beer/lilet-kafrine-do-fe/309896/,n/a,Amber Ale
