beer,link,score,style
Wicked Barrel / Bereta The Black Pot,/beer/wicked-barrel-bereta-the-black-pot/501180/,4.06,Imperial Stout
Hop Hooligans Koschei,/beer/hop-hooligans-koschei/509627/,3.91,Imperial Stout
Bereta Juicebag,/beer/bereta-juicebag/468041/,3.74,India Pale Ale (IPA)
Bereta One Down,/beer/bereta-one-down/519541/,3.72,India Pale Ale (IPA)
Hop Hooligans Tonka Rush,/beer/hop-hooligans-tonka-rush/493066/,3.71,Imperial Stout
Hop Hooligans Crowd Control,/beer/hop-hooligans-crowd-control/465981/,3.66,India Pale Ale (IPA)
Hop Hooligans Melting Pot,/beer/hop-hooligans-melting-pot/497369/,3.66,Barley Wine
Bereta Juicebag Simcoe Dry Hop,/beer/bereta-juicebag-simcoe-dry-hop/479001/,3.62,India Pale Ale (IPA)
Hop Hooligans Shock Therapy v3 Azacca & Simcoe,/beer/hop-hooligans-shock-therapy-v3-azacca-simcoe/514275/,3.61,India Pale Ale (IPA)
Ground Zero Imperial Fuck,/beer/ground-zero-imperial-fuck/300728/,3.60,Imperial IPA
Hop Hooligans Game Over,/beer/hop-hooligans-game-over/552945/,3.59,India Pale Ale (IPA)
Bereta / Hop Hooligans Nutbusters,/beer/bereta-hop-hooligans-nutbusters/520919/,3.57,India Pale Ale (IPA)
Bereta Citro,/beer/bereta-citro/458188/,3.55,American Pale Ale
Hop Hooligans Night Lights,/beer/hop-hooligans-night-lights/467882/,3.54,Black IPA
Wicked Barrel Jaw Drop,/beer/wicked-barrel-jaw-drop/535255/,3.54,India Pale Ale (IPA)
Ground Zero Morning Glory,/beer/ground-zero-morning-glory/300727/,3.54,India Pale Ale (IPA)
Hop Hooligans Summer Punch,/beer/hop-hooligans-summer-punch/467034/,3.51,American Pale Ale
Ground Zero Split the Pot,/beer/ground-zero-split-the-pot/491126/,3.50,India Pale Ale (IPA)
Bereta / Ground Zero Imperial Juice,/beer/bereta-ground-zero-imperial-juice/487779/,3.50,Imperial IPA
Hop Hooligans / Ground Zero Seven Years O'Clock,/beer/hop-hooligans-ground-zero-seven-years-oclock/509625/,3.49,India Pale Ale (IPA)
Bereta Nelson Galacticu',/beer/bereta-nelson-galacticu/514267/,3.48,India Pale Ale (IPA)
Hop Hooligans Chupacabra,/beer/hop-hooligans-chupacabra/467029/,3.48,Imperial Stout
Hop Hooligans Lederhosen,/beer/hop-hooligans-lederhosen/509626/,3.47,German Hefeweizen
Hop Hooligans Sourpuss: Blackberry,/beer/hop-hooligans-sourpuss-blackberry/552944/,3.46,Berliner Weisse
Bereta 'Ai Pi Iei,/beer/bereta-ai-pi-iei/425381/,3.46,India Pale Ale (IPA)
Hop Hooligans / Sunstone Alehouse Sinking Ship,/beer/hop-hooligans-sunstone-alehouse-sinking-ship/556053/,3.45,Smoked
Bereta Juicebag Nelson Dry Hop,/beer/bereta-juicebag-nelson-dry-hop/499201/,3.45,India Pale Ale (IPA)
Hop Hooligans Shock Therapy v4 Waimea & Falconer's Flight,/beer/hop-hooligans-shock-therapy-v4-waimea-falconers-flight/530071/,3.45,India Pale Ale (IPA)
Hop Hooligans Cannon Fire,/beer/hop-hooligans-cannon-fire/467040/,3.44,Porter
Perfektum Black IPA,/beer/perfektum-black-ipa/394380/,3.43,Black IPA
Hop Hooligans Sencha,/beer/hop-hooligans-sencha/530070/,3.42,Spice/Herb/Vegetable
Hop Hooligans Emperor,/beer/hop-hooligans-emperor/487809/,3.42,Wheat Ale
Ground Zero / White Stork Grounded Stork,/beer/ground-zero-white-stork-grounded-stork/417674/,3.41,Saison
Hop Hooligans Modern Mosaic,/beer/hop-hooligans-modern-mosaic/514833/,3.41,Imperial IPA
Hop Hooligans / Ground Zero Six Years o'Clock,/beer/hop-hooligans-ground-zero-six-years-oclock/415643/,3.40,India Pale Ale (IPA)
Capra Noastră Albă,/beer/capra-noastr259-alb259/531254/,3.39,Witbier
Hop Hooligans Shock Therapy v5 Ekuanot,/beer/hop-hooligans-shock-therapy-v5-ekuanot/547448/,3.39,India Pale Ale (IPA)
Hophead Dark'oh,/beer/hophead-darkoh/388739/,3.38,Porter
Hop Hooligans Shock Therapy V6 Centennial & Mosaic,/beer/hop-hooligans-shock-therapy-v6-centennial-mosaic/562884/,3.38,India Pale Ale (IPA)
Deranj Blondă,/beer/deranj-blond259/521668/,3.37,K�lsch
Ground Zero Gipsy Porter,/beer/ground-zero-gipsy-porter/353441/,3.36,Porter
Bereta Milk The Fruits: Apricots,/beer/bereta-milk-the-fruits-apricots/530081/,3.36,India Pale Ale (IPA)
Hop Hooligans Fist Fight,/beer/hop-hooligans-fist-fight/497365/,3.33,Session IPA
Ursus Black,/beer/ursus-black/42118/,3.32,Schwarzbier
Hop Hooligans Dumpster Bear,/beer/hop-hooligans-dumpster-bear/482651/,3.32,Sweet Stout
Hophead Pure.C,/beer/hophead-purec/461109/,3.32,India Pale Ale (IPA)
Hophead NeBrună După Tine,/beer/hophead-nebrun259-dup259-tine/432205/,3.30,Brown Ale
Ground Zero Amber Guerre‬,/beer/ground-zero-amber-guerre8236/357944/,3.29,Amber Ale
Ground Zero Easy Rider,/beer/ground-zero-easy-rider/300726/,3.29,Session IPA
Hop Hooligans Royal Execution,/beer/hop-hooligans-royal-execution/467031/,3.29,Premium Bitter/ESB
