beer,link,score,style
AF Brew Lobotomiya Sinistral Bourbon BA,/beer/af-brew-lobotomiya-sinistral-bourbon-ba/520098/,3.77,Imperial Stout
Bakunin Zatmenie (Eclipse),/beer/bakunin-zatmenie-eclipse/391305/,3.76,Imperial Stout
Victory Art Brew Ivan,/beer/victory-art-brew-ivan/284097/,3.76,Imperial Stout
Salden's Triple IPA,/beer/saldens-triple-ipa/366679/,3.73,Imperial IPA
AF Brew Zimnaya Melankholiya,/beer/af-brew-zimnaya-melankholiya/387587/,3.72,Baltic Porter
AF Brew Lobotomiya 777,/beer/af-brew-lobotomiya-777/360491/,3.70,Imperial Stout
AF Brew Lobotomiya Dextral Brandy BA,/beer/af-brew-lobotomiya-dextral-brandy-ba/520099/,3.69,Imperial Stout
Salden's Violent Twins Double IPA,/beer/saldens-violent-twins-double-ipa/301214/,3.68,Imperial IPA
Jaws Brewery Atomnaya Prachechnaya,/beer/jaws-brewery-atomnaya-prachechnaya/170459/,3.68,Imperial IPA
Zagovor Blast Beat,/beer/zagovor-blast-beat/466370/,3.68,Imperial IPA
Bakunin Burevestnik,/beer/bakunin-burevestnik/469392/,3.68,Imperial Stout
Salden's Russian Imperial Stout Aged In Single Malt Scotch Whisky Batch #1,/beer/saldens-russian-imperial-stout-aged-in-single-malt-scotch-whisky-batch-1/508833/,3.67,Imperial Stout
AF Brew Redrum IPA Special Edition,/beer/af-brew-redrum-ipa-special-edition/306559/,3.66,Imperial IPA
Victory Art Brew Black Sails IPA,/beer/victory-art-brew-black-sails-ipa/284096/,3.65,Black IPA
Stamm Beer Urals Bourbon Barrel Aged ,/beer/stamm-beer-urals-bourbon-barrel-aged/499006/,3.64,Imperial Stout
AF Brew ABV not IBU: Amarillo,/beer/af-brew-abv-not-ibu-amarillo/303157/,3.64,Imperial IPA
Victory Art Brew Tiramistout,/beer/victory-art-brew-tiramistout/482601/,3.63,Imperial Stout
Jaws Brewery Russian Imperial Stout V1,/beer/jaws-brewery-russian-imperial-stout-v1/445514/,3.63,Imperial Stout
Stamm Beer Urals Sherry Oloroso,/beer/stamm-beer-urals-sherry-oloroso/397334/,3.61,Imperial Stout
