beer,link,score,style
Impeke Sorghum Beer,/beer/impeke-sorghum-beer/66483/,3.17,Traditional Ale
M�tzig Lite (Rwanda) ,/beer/mutzig-lite-rwanda/547913/,2.68,Pale Lager
BRALIRWA Huza,/beer/bralirwa-huza/551513/,2.58,Pale Lager
Virunga Mist,/beer/virunga-mist/231247/,2.52,Dunkel/Tmav�
Legend Extra Stout (Rwanda),/beer/legend-extra-stout-rwanda/400158/,2.50,Foreign Stout
Gatanu 5,/beer/gatanu-5/264173/,2.30,Pale Lager
Virunga Gold,/beer/virunga-gold/400157/,2.22,Imperial Pils/Strong Pale Lager
M�tzig (Rwanda),/beer/mutzig-rwanda/50028/,2.14,Pale Lager
Turbo King (Rwanda),/beer/turbo-king-rwanda/208563/,2.13,Amber Lager/Vienna
Primus (Rwanda),/beer/primus-rwanda/32368/,2.09,Pale Lager
Akarusho Biere de Banane (Banana Wine),/beer/akarusho-biere-de-banane-banana-wine/103563/,1.52,Traditional Ale
Skol (Rwanda),/beer/skol-rwanda/150749/,n/a,Pale Lager
Skol 100% Malt (Rwanda),/beer/skol-100-malt-rwanda/451175/,n/a,Pale Lager
