beer,link,score,style
Titanbr�u Nera,/beer/titanbrau-nera/268402/,3.32,Doppelbock
Titanbr�u Strong Ale,/beer/titanbrau-strong-ale/173620/,3.21,English Strong Ale
Birrificio Abusivo 70%,/beer/birrificio-abusivo-70/491066/,3.18,Smoked
IL Montale Rossa,/beer/il-montale-rossa/407908/,3.15,Amber Ale
La Guaita Chiara,/beer/la-guaita-chiara/407907/,3.12,Belgian Ale
Titanbr�u Ambrata,/beer/titanbrau-ambrata/189701/,3.11,Belgian Ale
Birrificio Abusivo Ambigua,/beer/birrificio-abusivo-ambigua/407919/,3.08,Brown Ale
Titanbr�u Rossa,/beer/titanbrau-rossa/231426/,3.06,Amber Ale
Birrificio Abusivo Axe!,/beer/birrificio-abusivo-axe/491065/,3.04,Weizen Bock
Birrificio Abusivo Kinki Ti Gins,/beer/birrificio-abusivo-kinki-ti-gins/560386/,3.02,German Hefeweizen
Birrificio Abusivo Bootlegger,/beer/birrificio-abusivo-bootlegger/491068/,3.00,India Pale Ale (IPA)
Birrificio Abusivo Segreta,/beer/birrificio-abusivo-segreta/407915/,2.98,German Hefeweizen
Birrificio Abusivo Speak Easy,/beer/birrificio-abusivo-speak-easy/407918/,2.98,Pilsener
Birrificio Abusivo Illecita,/beer/birrificio-abusivo-illecita/407914/,2.95,Premium Bitter/ESB
La Cesta,/beer/la-cesta/407906/,2.87,Belgian Ale
Titanbr�u FonteVecchia German Pilsner,/beer/titanbrau-fontevecchia-german-pilsner/505991/,2.83,Pilsener
Titanbr�u Bionda,/beer/titanbrau-bionda/189697/,2.80,Zwickel/Keller/Landbier
Titanbr�u Weizen,/beer/titanbrau-weizen/175806/,2.79,German Hefeweizen
La Capanna ,/beer/la-capanna/286807/,2.58,Zwickel/Keller/Landbier
Titanbr�u Pils,/beer/titanbrau-pils/173618/,n/a,Pilsener
Titanbr�u Ale,/beer/titanbrau-ale/173619/,n/a,Belgian Ale
