beer,link,score,style
Moussy Apple,/beer/moussy-apple/410564/,3.06,Radler/Shandy
Bario Strawberry,/beer/bario-strawberry/383949/,3.04,Radler/Shandy
Holsten 0.0% Black Grape ,/beer/holsten-00-black-grape/130877/,2.68,Radler/Shandy
Al-Amoudi Rich Regular,/beer/al-amoudi-rich-regular/108792/,2.50,Low Alcohol
Bario Classic,/beer/bario-classic/193216/,1.75,Low Alcohol
Moussy Classic,/beer/moussy-classic/6629/,1.69,Low Alcohol
Abuljadayel Kingsburg,/beer/abuljadayel-kingsburg/109906/,1.58,Low Alcohol
Hillsburg Regular,/beer/hillsburg-regular/85007/,1.56,Low Alcohol
Bario Peach,/beer/bario-peach/406560/,n/a,Radler/Shandy
Bario Pomegranate,/beer/bario-pomegranate/399114/,n/a,Radler/Shandy
Holsten 0.0% Cranberry,/beer/holsten-00-cranberry/407419/,n/a,Radler/Shandy
Holsten 0.0% Dragon Fruit,/beer/holsten-00-dragon-fruit/406417/,n/a,Radler/Shandy
Holsten 0.0% Lemon,/beer/holsten-00-lemon/197974/,n/a,Radler/Shandy
Holsten 0.0% Pomgranate,/beer/holsten-00-pomgranate/393334/,n/a,Radler/Shandy
Holsten 0.0% Strawberry,/beer/holsten-00-strawberry/92375/,n/a,Radler/Shandy
Moussy Lemon Mint,/beer/moussy-lemon-mint/307183/,n/a,Low Alcohol
Bario Pineapple,/beer/bario-pineapple/4096/,n/a,Radler/Shandy
Holsten 0.0% Apple,/beer/holsten-00-apple/92373/,n/a,Radler/Shandy
Hillsburg Strawberry,/beer/hillsburg-strawberry/168246/,n/a,Low Alcohol
Bario Apple,/beer/bario-apple/409540/,n/a,Radler/Shandy
