beer,link,score,style
BrewDog Black Eyed King Imp Vietnamese Coffee Edition (Can),/beer/brewdog-black-eyed-king-imp-vietnamese-coffee-edition-can/369326/,4.14,Imperial Stout
BrewDog / N�gne � / Mikkeller Black Tokyo* Horizon,/beer/brewdog-nogne-o-mikkeller-black-tokyo-horizon/137813/,4.09,Imperial Stout
BrewDog Black Eyed King Imp,/beer/brewdog-black-eyed-king-imp/273933/,4.07,Imperial Stout
BrewDog Abstrakt AB:04,/beer/brewdog-abstrakt-ab04/130879/,4.07,Imperial Stout
BrewDog Dog A ,/beer/brewdog-dog-a/172237/,4.04,Imperial Stout
BrewDog Abstrakt AB:22,/beer/brewdog-abstrakt-ab22/520673/,4.04,Imperial Stout
BrewDog Paradox Heaven Hill,/beer/brewdog-paradox-heaven-hill/262222/,4.01,Imperial Stout
BrewDog Paradox Compass Box,/beer/brewdog-paradox-compass-box/321646/,4.00,Imperial Stout
Harviestoun Ola Dubh (40 Year Old),/beer/harviestoun-ola-dubh-40-year-old/98058/,3.99,Old Ale
BrewDog Paradox Isle Of Arran (15%),/beer/brewdog-paradox-isle-of-arran-15/191084/,3.99,Imperial Stout
BrewDog Paradox Grain (15%),/beer/brewdog-paradox-grain-15/204031/,3.96,Imperial Stout
BrewDog Dog D,/beer/brewdog-dog-d/338584/,3.96,Imperial Stout
BrewDog Tokyo Rising Sun Lowland Edition,/beer/brewdog-tokyo-rising-sun-lowland-edition/176651/,3.93,Imperial Stout
BrewDog Cocoa Psycho,/beer/brewdog-cocoa-psycho/194513/,3.93,Imperial Stout
Harviestoun Ola Dubh (30 Year Old),/beer/harviestoun-ola-dubh-30-year-old/84059/,3.92,Old Ale
Fallen / BrewDog Glasgow Big Raspberry Dog Chew,/beer/fallen-brewdog-glasgow-big-raspberry-dog-chew/368073/,3.92,Imperial Stout
BrewDog Paradox Grain (Batch 002),/beer/brewdog-paradox-grain-batch-002/74170/,3.92,Imperial Stout
Harviestoun Ola Dubh (18 Year Old),/beer/harviestoun-ola-dubh-18-year-old/98520/,3.91,Old Ale
BrewDog Hinterland,/beer/brewdog-hinterland/339135/,3.91,Imperial Stout
BrewDog Paradox Jura,/beer/brewdog-paradox-jura/162521/,3.90,Imperial Stout
Tempest Mexicake,/beer/tempest-mexicake/416106/,3.90,Imperial Stout
BrewDog / Mikkeller I Hardcore You,/beer/brewdog-mikkeller-i-hardcore-you/127320/,3.89,Imperial IPA
Luckie Ales 1841 XXXP Porter,/beer/luckie-ales-1841-xxxp-porter/242142/,3.89,Imperial Porter
Harviestoun Ola Dubh 1991,/beer/harviestoun-ola-dubh-1991/213228/,3.89,Old Ale
BrewDog Old World Russian Imperial Stout (9.5%) ,/beer/brewdog-old-world-russian-imperial-stout-95/238589/,3.89,Imperial Stout
BrewDog Mix Tape 8,/beer/brewdog-mix-tape-8/230513/,3.89,American Strong Ale 
Fyne Ales / De Molen Mills and Hills,/beer/fyne-ales-de-molen-mills-and-hills/316218/,3.88,Imperial Stout
Orkney Dark Island Reserve,/beer/orkney-dark-island-reserve/66103/,3.88,Old Ale
BrewDog vs. Cloudwater - New England IPA,/beer/brewdog-vs-cloudwater-new-england-ipa/485742/,3.87,India Pale Ale (IPA)
Swannay Barrel Aged Orkney Porter (Isle of Arran),/beer/swannay-barrel-aged-orkney-porter-isle-of-arran/299828/,3.87,Imperial Porter
BrewDog Abstrakt AB:13,/beer/brewdog-abstrakt-ab13/210535/,3.87,Imperial Stout
Tempest Mexicake - Bourbon Barrel,/beer/tempest-mexicake-bourbon-barrel/501840/,3.87,Imperial Stout
Tempest In The Dark We Live,/beer/tempest-in-the-dark-we-live/217697/,3.87,Black IPA
Fierce Beer / BrewDog Aberdeen Very Big Moose,/beer/fierce-beer-brewdog-aberdeen-very-big-moose/559477/,3.87,Imperial Stout
BrewDog Hardcore IPA (9.2%),/beer/brewdog-hardcore-ipa-92/118721/,3.86,Imperial IPA
Harviestoun Ola Dubh (16 Year Old),/beer/harviestoun-ola-dubh-16-year-old/84058/,3.86,Old Ale
Traquair Jacobite Ale,/beer/traquair-jacobite-ale/5711/,3.86,Traditional Ale
Harviestoun Ola Dubh (12 Year Old),/beer/harviestoun-ola-dubh-12-year-old/84035/,3.86,Old Ale
Harviestoun Ola Dubh (30 Year Old)  (Cask),/beer/harviestoun-ola-dubh-30-year-old-cask/117680/,3.86,Old Ale
BrewDog Born To Die (8.5%),/beer/brewdog-born-to-die-85/334699/,3.86,Imperial IPA
BrewDog Paradox Rye,/beer/brewdog-paradox-rye/499390/,3.86,Imperial Stout
BrewDog Tokyo,/beer/brewdog-tokyo/89844/,3.84,Imperial Stout
Tempest Red Eye Flight,/beer/tempest-red-eye-flight/160680/,3.84,Porter
BrewDog Barrel Aged Hinterland,/beer/brewdog-barrel-aged-hinterland/409865/,3.84,Imperial Stout
BrewDog vs. Cloudwater - New England IPA V2,/beer/brewdog-vs-cloudwater-new-england-ipa-v2/529484/,3.83,Imperial IPA
Harviestoun Ola Dubh (21 Year Old),/beer/harviestoun-ola-dubh-21-year-old/211175/,3.82,Old Ale
Harviestoun Ola Dubh 30th Anniversary,/beer/harviestoun-ola-dubh-30th-anniversary/243498/,3.82,Old Ale
Tempest Double Shuck,/beer/tempest-double-shuck/363503/,3.82,Imperial Stout
BrewDog Abstrakt AB:17,/beer/brewdog-abstrakt-ab17/301775/,3.82,Imperial Porter
BrewDog Christmas Paradox 2012,/beer/brewdog-christmas-paradox-2012/192940/,3.82,Imperial Stout
