beer,link,score,style
Kabinet 02 Kolaboracija (Caramel Stout),/beer/kabinet-02-kolaboracija-caramel-stout/444038/,3.83,Stout
Kabinet Olga,/beer/kabinet-olga/552496/,3.69,Baltic Porter
Dogma Albino White IPA,/beer/dogma-albino-white-ipa/511330/,3.59,India Pale Ale (IPA)
Dogma Hoptopod IPA,/beer/dogma-hoptopod-ipa/419546/,3.56,India Pale Ale (IPA)
Kabinet SuperNova,/beer/kabinet-supernova/287370/,3.52,India Pale Ale (IPA)
Kabinet Mozaik,/beer/kabinet-mozaik/314060/,3.50,American Pale Ale
RazBeerbriga Black Rider American Stout,/beer/razbeerbriga-black-rider-american-stout/338027/,3.49,Stout
Zebrew Ice Cream Stout,/beer/zebrew-ice-cream-stout/386694/,3.47,Sweet Stout
Kabinet / Zagovor Uteha,/beer/kabinet-zagovor-uteha/481785/,3.47,Porter
Salto Pale Ale,/beer/salto-pale-ale/406368/,3.47,American Pale Ale
Crow Pevac Red IPA,/beer/crow-pevac-red-ipa/460393/,3.46,India Pale Ale (IPA)
Kabinet Vertigo,/beer/kabinet-vertigo/281850/,3.46,Pilsener
Dogma / Crow Crusty The Spring Saison,/beer/dogma-crow-crusty-the-spring-saison/522163/,3.45,Saison
Ka� Ryezen IPA,/beer/kas-ryezen-ipa/308825/,3.45,India Pale Ale (IPA)
Zebrew Tropical IPA,/beer/zebrew-tropical-ipa/386690/,3.45,India Pale Ale (IPA)
Kabinet Cassius Stout,/beer/kabinet-cassius-stout/295903/,3.45,Stout
Crow Tribe,/beer/crow-tribe/499368/,3.45,Saison
Kabinet Centennial,/beer/kabinet-centennial/436989/,3.44,India Pale Ale (IPA)
Crow Midnight,/beer/crow-midnight/454240/,3.44,Black IPA
Kabinet Single Hop Citra IPA,/beer/kabinet-single-hop-citra-ipa/411199/,3.44,India Pale Ale (IPA)
Zebrew Lollihop,/beer/zebrew-lollihop/505912/,3.42,India Pale Ale (IPA)
Crow Paradise Apricot Blanche,/beer/crow-paradise-apricot-blanche/522162/,3.42,Fruit Beer
Crow Gladiator,/beer/crow-gladiator/401508/,3.41,American Pale Ale
Crow Black Widow,/beer/crow-black-widow/490335/,3.39,Imperial Stout
Zebrew Apache,/beer/zebrew-apache/420664/,3.39,American Pale Ale
Crow Gecko,/beer/crow-gecko/417954/,3.39,American Pale Ale
Crow Sunshine,/beer/crow-sunshine/401507/,3.37,Wheat Ale
Crow / Zebrew Open Saison,/beer/crow-zebrew-open-saison/446486/,3.36,Saison
Ju�ni Vepar Svarog,/beer/juzni-vepar-svarog/432030/,3.36,India Pale Ale (IPA)
Kabinet 01 Kolaboracija,/beer/kabinet-01-kolaboracija/317207/,3.36,Belgian Ale
Kabinet Mandarina Bavaria,/beer/kabinet-mandarina-bavaria/462947/,3.35,India Pale Ale (IPA)
Zebrew Sansho,/beer/zebrew-sansho/443721/,3.35,India Pale Ale (IPA)
Tron All On Black,/beer/tron-all-on-black/446487/,3.35,Stout
Kabinet Disko New England IPA (Juicy),/beer/kabinet-disko-new-england-ipa-juicy/512661/,3.34,India Pale Ale (IPA)
Weifert Tamno,/beer/weifert-tamno/62399/,3.34,Schwarzbier
Kors Laraha,/beer/kors-laraha/446490/,3.33,German Hefeweizen
Crow / Lenny's Alien,/beer/crow-lennys-alien/474636/,3.33,Spice/Herb/Vegetable
Crow Jolly,/beer/crow-jolly/401506/,3.33,Cream Ale
Crow Charlie Brown,/beer/crow-charlie-brown/396014/,3.32,Smoked
Crow Hornet IPA,/beer/crow-hornet-ipa/449408/,3.31,India Pale Ale (IPA)
RazBeerbriga Stalker,/beer/razbeerbriga-stalker/370164/,3.30,Imperial IPA
Dogma Miss Quince,/beer/dogma-miss-quince/471696/,3.30,American Pale Ale
Crow Gunners Pub APA,/beer/crow-gunners-pub-apa/512663/,3.30,American Pale Ale
Kabinet / White Stork Pop My Vi�nja - Red Wine Barrel,/beer/kabinet-white-stork-pop-my-visnja-red-wine-barrel/411203/,3.29,Lambic Style - Fruit
Dogma Svetionik Pale Ale,/beer/dogma-svetionik-pale-ale/419547/,3.29,American Pale Ale
Scott's Cider Medium Dry,/beer/scotts-cider-medium-dry/287720/,3.29,Cider
Kabinet Bad Copy,/beer/kabinet-bad-copy/381479/,3.29,American Pale Ale
Kabinet Samo Pivo Pablo IPA,/beer/kabinet-samo-pivo-pablo-ipa/359400/,3.28,India Pale Ale (IPA)
Kabinet Wit,/beer/kabinet-wit/282507/,3.28,Witbier
Tron Skiper IPA,/beer/tron-skiper-ipa/395078/,3.28,India Pale Ale (IPA)
