beer,link,score,style
Brewerkz XIPA,/beer/brewerkz-xipa/27872/,3.41,Imperial IPA
Brewlander Respect  (Porter),/beer/brewlander-respect-porter/515199/,3.40,Porter
Brewerkz Oatmeal Stout,/beer/brewerkz-oatmeal-stout/16911/,3.38,Sweet Stout
Brewlander Courage (Double IPA),/beer/brewlander-courage-double-ipa/488481/,3.33,Imperial IPA
Brewlander Peace (N.E.W. Wheat),/beer/brewlander-peace-new-wheat/515200/,3.33,Wheat Ale
Guinness Foreign Extra Stout (Singapore),/beer/guinness-foreign-extra-stout-singapore/116112/,3.32,Foreign Stout
Brewlander Joy (Session IPA),/beer/brewlander-joy-session-ipa/515197/,3.31,Session IPA
Brewerkz Single Hop Series: Vic Secret,/beer/brewerkz-single-hop-series-vic-secret/405656/,3.30,American Pale Ale
Jungle Beer Kiasu Stout,/beer/jungle-beer-kiasu-stout/163866/,3.28,Foreign Stout
Brewlander Love (Wild IPA),/beer/brewlander-love-wild-ipa/488482/,3.28,India Pale Ale (IPA)
Brewerkz American Pale Ale,/beer/brewerkz-american-pale-ale/125034/,3.27,American Pale Ale
Brewerkz Black Pig ,/beer/brewerkz-black-pig/184061/,3.26,Black IPA
Brewlander Hope (Summer Ale),/beer/brewlander-hope-summer-ale/488486/,3.25,Golden Ale/Blond Ale
Pump Room India Pale Ale,/beer/pump-room-india-pale-ale/80729/,3.24,India Pale Ale (IPA)
ABC Extra Stout,/beer/abc-extra-stout/9226/,3.24,Foreign Stout
Hospoda Bohemia Dark Beer,/beer/hospoda-bohemia-dark-beer/317015/,3.23,Dunkel/Tmav�
On Tap IPA,/beer/on-tap-ipa/413003/,3.21,India Pale Ale (IPA)
Brewlander Pride (Saison),/beer/brewlander-pride-saison/488484/,3.20,Saison
Brewerkz 20th Anniversary Ale,/beer/brewerkz-20th-anniversary-ale/519243/,3.19,American Pale Ale
Innocence Calamity Coffee Ale,/beer/innocence-calamity-coffee-ale/476722/,3.19,Spice/Herb/Vegetable
Brewerkz Single Hop Series: Centennial,/beer/brewerkz-single-hop-series-centennial/328721/,3.19,American Pale Ale
Brewerkz White Rabbit,/beer/brewerkz-white-rabbit/169027/,3.18,German Hefeweizen
Innocence Insidious Dark IPA,/beer/innocence-insidious-dark-ipa/521947/,3.18,Black IPA
Pump Room Golden Ale,/beer/pump-room-golden-ale/218365/,3.17,Golden Ale/Blond Ale
Blue Bali Doshi IPA,/beer/blue-bali-doshi-ipa/308493/,3.16,India Pale Ale (IPA)
Archipelago Sibeh Ho,/beer/archipelago-sibeh-ho/541405/,3.16,Witbier
Archipelago Summer Ale,/beer/archipelago-summer-ale/121551/,3.14,English Pale Ale
Crossroads Singapore Summer Ale,/beer/crossroads-singapore-summer-ale/427513/,3.14,Wheat Ale
RedDot Indian Pale Ale,/beer/reddot-indian-pale-ale/224962/,3.14,India Pale Ale (IPA)
Archipelago Summer IPA,/beer/archipelago-summer-ipa/501781/,3.13,India Pale Ale (IPA)
Level 33 33.11/22 Oaked Bock Beer,/beer/level-33-3311-22-oaked-bock-beer/224866/,3.13,Dunkler Bock
Pump Room Stout,/beer/pump-room-stout/80731/,3.13,Stout
Rye & Pint Punchin' Rye,/beer/rye-pint-punchin-rye/509091/,3.13,American Pale Ale
Brewerkz Single Hop Series: Mandarina Bavaria,/beer/brewerkz-single-hop-series-mandarina-bavaria/317140/,3.13,American Pale Ale
Blue Bali Gold,/beer/blue-bali-gold/308491/,3.12,Spice/Herb/Vegetable
1925 The Yellow Van,/beer/1925-the-yellow-van/308486/,3.12,English Pale Ale
Level 33 33.6 Bohemian Pilsner,/beer/level-33-336-bohemian-pilsner/216964/,3.12,Pilsener
Brewerkz Moh Gwai,/beer/brewerkz-moh-gwai/41711/,3.12,Belgian Strong Ale
RedDot Kolsch,/beer/reddot-kolsch/125033/,3.12,K�lsch
Pump Room Bohemian Lager,/beer/pump-room-bohemian-lager/80727/,3.12,Czech Pilsner (Světl�)
Brewerkz India Pale Ale,/beer/brewerkz-india-pale-ale/16908/,3.11,India Pale Ale (IPA)
Brewerkz Session Saison,/beer/brewerkz-session-saison/537906/,3.11,Saison
Archipelago Ah Kah Ji,/beer/archipelago-ah-kah-ji/541402/,3.11,Pale Lager
Archipelago / Anderson Valley Collaboration Pale Ale,/beer/archipelago-anderson-valley-collaboration-pale-ale/456552/,3.10,American Pale Ale
Paulaner Brauhaus Munich Lager (Singapore),/beer/paulaner-brauhaus-munich-lager-singapore/17001/,3.10,Dortmunder/Helles
Brewerkz Single Hop Series: Denali,/beer/brewerkz-single-hop-series-denali/519240/,3.09,American Pale Ale
Blue Bali Pink Mamba,/beer/blue-bali-pink-mamba/308492/,3.09,Fruit Beer
On Tap Cider,/beer/on-tap-cider/376855/,3.09,Cider
Rye & Pint Sunday's Brew,/beer/rye-pint-sundays-brew/509092/,3.09,Pilsener
Rye & Pint Trippin' Wheat,/beer/rye-pint-trippin-wheat/509093/,3.09,Wheat Ale
