beer,link,score,style
Unorthodox BITTERSWEET LAMENT Malina + Limetka,/beer/unorthodox-bittersweet-lament-malina-limetka/524708/,3.75,Grodziskie/Gose/Lichtenhainer
Hellstork Wildstork: Apricot Sour Ale aged in Red Wine Barrel,/beer/hellstork-wildstork-apricot-sour-ale-aged-in-red-wine-barrel/552269/,3.74,Sour/Wild Ale
"Dub Brewing Strange Land IPA 14,5�",/beer/dub-brewing-strange-land-ipa-145/430316/,3.73,India Pale Ale (IPA)
Hellstork Beat to Juice 13�,/beer/hellstork-beat-to-juice-13/499918/,3.72,India Pale Ale (IPA)
Stupavar Behind The Hills Smoked Porter 17�,/beer/stupavar-behind-the-hills-smoked-porter-17/378567/,3.72,Smoked
Wywar Hell Bastard Screaming Bitch,/beer/wywar-hell-bastard-screaming-bitch/446527/,3.69,India Pale Ale (IPA)
Hellstork TRYUS Miami Wiesse Cuvee Maracuja,/beer/hellstork-tryus-miami-wiesse-cuvee-maracuja/410723/,3.69,Berliner Weisse
L�nius Eis 36�,/beer/lanius-eis-36/326021/,3.69,Eisbock
Hellstork Panda meets Barista,/beer/hellstork-panda-meets-barista/552267/,3.68,Sweet Stout
Hellstork Coconut Panda,/beer/hellstork-coconut-panda/552268/,3.67,Sweet Stout
L�nius Belgian Hoppy Tripel 21�,/beer/lanius-belgian-hoppy-tripel-21/405111/,3.64,Belgian Strong Ale
L�nius Belgian Cassis Tripel 20�,/beer/lanius-belgian-cassis-tripel-20/507878/,3.64,Fruit Beer
Hellstork Wildstork: Mango and Chilli Cream,/beer/hellstork-wildstork-mango-and-chilli-cream/552270/,3.63,Sour/Wild Ale
Corvus Wit IPA 14� ,/beer/corvus-wit-ipa-14/327077/,3.62,India Pale Ale (IPA)
Wywar 15 Years In Hell 15�,/beer/wywar-15-years-in-hell-15/306272/,3.62,India Pale Ale (IPA)
Beervana Stoutesso,/beer/beervana-stoutesso/499586/,3.62,Sweet Stout
Hellstork Kraken IPA 15�,/beer/hellstork-kraken-ipa-15/252529/,3.61,Black IPA
Donovalsky Black Ale 17,/beer/donovalsky-black-ale-17/444720/,3.61,Black IPA
�il Verne Vyn�lez Skazy 16�,/beer/zil-verne-vynalez-skazy-16/410748/,3.61,India Pale Ale (IPA)
Hellstork Ancikrist 15�,/beer/hellstork-ancikrist-15/218377/,3.59,India Pale Ale (IPA)
L�nius Eis Mulberry 36�,/beer/lanius-eis-mulberry-36/410738/,3.58,Eisbock
dUb Black IPA,/beer/dub-black-ipa/451692/,3.57,Black IPA
Unorthodox Deadraiser,/beer/unorthodox-deadraiser/552584/,3.56,India Pale Ale (IPA)
L�nius The Juice 15�- Citra IPA,/beer/lanius-the-juice-15-citra-ipa/399163/,3.56,India Pale Ale (IPA)
Hellstork End of Summer 2016,/beer/hellstork-end-of-summer-2016/450875/,3.55,American Pale Ale
Wywar Topaz IPA 13�,/beer/wywar-topaz-ipa-13/503793/,3.55,India Pale Ale (IPA)
Stupavar FestivALE 11�,/beer/stupavar-festivale-11/339727/,3.55,Golden Ale/Blond Ale
Wywar New Zealand IPA 15�  ,/beer/wywar-new-zealand-ipa-15/487597/,3.54,India Pale Ale (IPA)
Wywar Gejza 18 Extra stout,/beer/wywar-gejza-18-extra-stout/327386/,3.54,Foreign Stout
L�nius Coco CHoco Stout 20�,/beer/lanius-coco-choco-stout-20/394034/,3.54,Imperial Stout
"L�nius Barley Wine 29,4�",/beer/lanius-barley-wine-294/326019/,3.53,Barley Wine
Clock-Block IPA 13�,/beer/clock-block-ipa-13/499171/,3.53,India Pale Ale (IPA)
Pressburg 13� Caribic Ale,/beer/pressburg-13-caribic-ale/287475/,3.53,India Pale Ale (IPA)
Unorthodox 144 Roman Heads 20�,/beer/unorthodox-144-roman-heads-20/479760/,3.52,Imperial IPA
Dub Brewing Dry Stout 10�,/beer/dub-brewing-dry-stout-10/430314/,3.52,Stout
Kaltenecker Archa,/beer/kaltenecker-archa/161108/,3.52,Imperial Stout
L�nius Russian Imperial Stout 27� (-dec 2016),/beer/lanius-russian-imperial-stout-27-dec-2016/394033/,3.52,Imperial Stout
Wywar Peter Svetl� Ale IPA 16�,/beer/wywar-peter-svetly-ale-ipa-16/284917/,3.52,India Pale Ale (IPA)
Unorthodox Be a Man among Men 14.5� ,/beer/unorthodox-be-a-man-among-men-145/375897/,3.51,Saison
Sessler Rouge beer,/beer/sessler-rouge-beer/552440/,3.51,India Style Lager
"Berhet Vermont IPA 14,5� ",/beer/berhet-vermont-ipa-145/507930/,3.50,India Pale Ale (IPA)
Wywar Australian IPA 15�,/beer/wywar-australian-ipa-15/507963/,3.50,India Pale Ale (IPA)
Karpat True American Apache IPA,/beer/karpat-true-american-apache-ipa/491945/,3.50,India Pale Ale (IPA)
Wywar Summer Sunset 12�,/beer/wywar-summer-sunset-12/532448/,3.50,American Pale Ale
Wywar Summer Bitch 11�,/beer/wywar-summer-bitch-11/533938/,3.50,Session IPA
Donovalsky pivovar Hajlander 14%,/beer/donovalsky-pivovar-hajlander-14/396402/,3.49,Stout
Unorthodox Wendigo West Coast India Pale Ale 14�,/beer/unorthodox-wendigo-west-coast-india-pale-ale-14/286463/,3.49,India Pale Ale (IPA)
Sessler Tmav� �peci�l 21� (2013-),/beer/sessler-tmavy-special-21-2013-/240624/,3.49,Dunkler Bock
Unorthodox BITTERSWEET LAMENT  Cucoriedka+Kalamansi,/beer/unorthodox-bittersweet-lament-cucoriedkakalamansi/552581/,3.49,Grodziskie/Gose/Lichtenhainer
Hellstork / Padre / Unorthodox Freemasons IPA 18�,/beer/hellstork-padre-unorthodox-freemasons-ipa-18/325239/,3.48,India Pale Ale (IPA)
