beer,link,score,style
Reservoir Dogs Starvation,/beer/reservoir-dogs-starvation/327085/,3.92,Black IPA
Reservoir Dogs Batch #50 Imperial Stout,/beer/reservoir-dogs-batch-50-imperial-stout/382326/,3.79,Imperial Stout
Varissh Big Black,/beer/varissh-big-black/470449/,3.77,Black IPA
Barut Batch 0 Red,/beer/barut-batch-0-red/519097/,3.72,Sour Red/Brown
HumanFish Russian Imperial Stout,/beer/humanfish-russian-imperial-stout/398785/,3.68,Imperial Stout
Reservoir Dogs Medana Incubo,/beer/reservoir-dogs-medana-incubo/466269/,3.65,Sour/Wild Ale
Reservoir Dogs Grim Reaper ,/beer/reservoir-dogs-grim-reaper/300335/,3.65,India Pale Ale (IPA)
Pelicon Enigma IPA,/beer/pelicon-enigma-ipa/405961/,3.64,India Pale Ale (IPA)
Lobik Fruitpocalypse Now,/beer/lobik-fruitpocalypse-now/537179/,3.64,American Pale Ale
Pelicon Quantum DIPA,/beer/pelicon-quantum-dipa/334926/,3.60,Imperial IPA
Hopsbrew Juicy IPA,/beer/hopsbrew-juicy-ipa/514358/,3.60,India Pale Ale (IPA)
Reservoir Dogs Lone Wolf Single Hop IPA ,/beer/reservoir-dogs-lone-wolf-single-hop-ipa/400936/,3.60,India Pale Ale (IPA)
Hopsbrew 1st Anniversary Black IPA,/beer/hopsbrew-1st-anniversary-black-ipa/479281/,3.59,Black IPA
Hopsbrew Oatmeal Stout with Vanilla,/beer/hopsbrew-oatmeal-stout-with-vanilla/471156/,3.58,Stout
Pelicon Imperial Coffee Stout,/beer/pelicon-imperial-coffee-stout/369988/,3.58,Imperial Stout
Reservoir Dogs Mea Culpa,/beer/reservoir-dogs-mea-culpa/555137/,3.57,Imperial IPA
Tektonik Nelson India Black Ale,/beer/tektonik-nelson-india-black-ale/369099/,3.56,Black IPA
HumanFish Stout,/beer/humanfish-stout/141160/,3.54,Stout
Pelicon The 3rd Pill IPA,/beer/pelicon-the-3rd-pill-ipa/234277/,3.52,India Pale Ale (IPA)
Pelicon Coffee Stout (2015),/beer/pelicon-coffee-stout-2015/319219/,3.49,Stout
Reservoir Dogs Sucubo,/beer/reservoir-dogs-sucubo/326629/,3.49,India Pale Ale (IPA)
Lintvern Black IPA,/beer/lintvern-black-ipa/449768/,3.48,Black IPA
Tektonik Dizzy IPA Amerikana,/beer/tektonik-dizzy-ipa-amerikana/440889/,3.48,India Pale Ale (IPA)
Pelicon Winter 2015,/beer/pelicon-winter-2015/384299/,3.48,Spice/Herb/Vegetable
Pelicon Out of China,/beer/pelicon-out-of-china/302841/,3.47,Amber Ale
HumanFish Mudpuppy,/beer/humanfish-mudpuppy/456316/,3.45,Imperial IPA
Reservoir Dogs Conqueror ,/beer/reservoir-dogs-conqueror/344494/,3.45,Session IPA
HumanFish Imperial IPA,/beer/humanfish-imperial-ipa/330870/,3.44,Imperial IPA
Mali Grad Robust Porter,/beer/mali-grad-robust-porter/280823/,3.43,Porter
Mali Grad / Hopsbrew Lactose Tolerant,/beer/mali-grad-hopsbrew-lactose-tolerant/474897/,3.43,American Pale Ale
Barut Summer Snow - Brett Berliner Weisse,/beer/barut-summer-snow-brett-berliner-weisse/547076/,3.43,Berliner Weisse
Mali Grad Black Magic Woman,/beer/mali-grad-black-magic-woman/375788/,3.43,Black IPA
Pelicon Yes Boss!,/beer/pelicon-yes-boss/348297/,3.42,American Pale Ale
Hopsbrew IPA,/beer/hopsbrew-ipa/395054/,3.42,India Pale Ale (IPA)
HumanFish Combat Wombat,/beer/humanfish-combat-wombat/265773/,3.41,Session IPA
Hopsbrew 5 O'Clock IPA,/beer/hopsbrew-5-oclock-ipa/495805/,3.41,Session IPA
HumanFish 2015 Harvest SIPA,/beer/humanfish-2015-harvest-sipa/367491/,3.40,India Pale Ale (IPA)
HumanFish 2013 Harvest SIPA,/beer/humanfish-2013-harvest-sipa/234161/,3.39,India Pale Ale (IPA)
Reservoir Dogs Warrior ,/beer/reservoir-dogs-warrior/299545/,3.38,American Pale Ale
Lobik Hop Hazard,/beer/lobik-hop-hazard/552765/,3.38,American Pale Ale
Reservoir Dogs Cum Grano Salis,/beer/reservoir-dogs-cum-grano-salis/501990/,3.38,Grodziskie/Gose/Lichtenhainer
Hopsbrew Winter Pale Ale,/beer/hopsbrew-winter-pale-ale/471986/,3.38,American Pale Ale
Mali Grad The Girl from Ipanema,/beer/mali-grad-the-girl-from-ipanema/382753/,3.37,Imperial IPA
Carniola Red District,/beer/carniola-red-district/412279/,3.37,India Pale Ale (IPA)
Lobik Saison d'Aviron,/beer/lobik-saison-daviron/495300/,3.37,Saison
Reservoir Dogs Incubo,/beer/reservoir-dogs-incubo/382325/,3.36,Saison
Lobik Svarun,/beer/lobik-svarun/502904/,3.36,English Pale Ale
Mister Nobody NEIPA,/beer/mister-nobody-neipa/555141/,3.36,India Pale Ale (IPA)
Varissh Deep Purple,/beer/varissh-deep-purple/348396/,3.36,India Pale Ale (IPA)
Loo-blah-nah Apricot Ale,/beer/loo-blah-nah-apricot-ale/537087/,3.36,Fruit Beer
