beer,link,score,style
Bierwerk Aardwolf,/beer/bierwerk-aardwolf/141294/,3.69,Imperial Stout
Dog and Fig Stewige Stout,/beer/dog-and-fig-stewige-stout/197862/,3.64,Sweet Stout
Devil's Peak King's Blockhouse IPA,/beer/devils-peak-kings-blockhouse-ipa/159925/,3.61,India Pale Ale (IPA)
Woodstock Mr Brownstone,/beer/woodstock-mr-brownstone/442149/,3.61,Spice/Herb/Vegetable
Devil's Peak Grapefruit Express,/beer/devils-peak-grapefruit-express/454866/,3.60,India Pale Ale (IPA)
Bierwerk African Stout,/beer/bierwerk-african-stout/152636/,3.54,Foreign Stout
Aegir Project Giant IPA,/beer/aegir-project-giant-ipa/376534/,3.54,India Pale Ale (IPA)
Devil's Peak Juicy Lucy,/beer/devils-peak-juicy-lucy/469988/,3.53,India Pale Ale (IPA)
Darling Brew Long Claw,/beer/darling-brew-long-claw/409219/,3.51,Saison
Anvil Mjolnir,/beer/anvil-mjolnir/439555/,3.51,India Pale Ale (IPA)
Devil's Peak Vannie Hout,/beer/devils-peak-vannie-hout/385478/,3.50,Saison
Devil's Peak Dead Reckoning,/beer/devils-peak-dead-reckoning/539428/,3.49,India Pale Ale (IPA)
Citizen Diplomat Czech Pils,/beer/citizen-diplomat-czech-pils/306633/,3.48,Czech Pilsner (Světl�)
CBC Cape of Good Hops,/beer/cbc-cape-of-good-hops/298815/,3.47,Imperial IPA
Agar's Warrior IIPA,/beer/agars-warrior-iipa/501163/,3.47,Imperial IPA
Dog and Fig Alternatiewe Alt,/beer/dog-and-fig-alternatiewe-alt/221974/,3.47,Altbier
Mad Giant Urban Legend,/beer/mad-giant-urban-legend/514354/,3.46,India Pale Ale (IPA)
Jack Black Fresh Hop IPA,/beer/jack-black-fresh-hop-ipa/504189/,3.44,India Pale Ale (IPA)
CBC Harvest Lager,/beer/cbc-harvest-lager/325477/,3.43,Oktoberfest/M�rzen
Aegir Project A Wee Heavy,/beer/aegir-project-a-wee-heavy/446117/,3.42,Scottish Ale
Agar's Wild Berry,/beer/agars-wild-berry/366080/,3.42,Fruit Beer
Mountain Brewing Madala's Gold,/beer/mountain-brewing-madalas-gold/435427/,3.42,Belgian Ale
Devil's Peak Cold War Stout,/beer/devils-peak-cold-war-stout/345665/,3.40,Imperial Stout
Two Okes African Pale Ale,/beer/two-okes-african-pale-ale/309934/,3.40,American Pale Ale
Dog and Fig Baldadige Buchu,/beer/dog-and-fig-baldadige-buchu/221988/,3.40,Spice/Herb/Vegetable
Anvil White Anvil,/beer/anvil-white-anvil/185774/,3.40,Witbier
Mad Giant Punk Hop,/beer/mad-giant-punk-hop/280167/,3.40,American Pale Ale
The 400 Harambe Gorilla Ale,/beer/the-400-harambe-gorilla-ale/470116/,3.40,Black IPA
Riot Valve IPA,/beer/riot-valve-ipa/324009/,3.40,India Pale Ale (IPA)
Devil's Peak Vin de Saison,/beer/devils-peak-vin-de-saison/345671/,3.39,Saison
The Keghouse Jolly Pumpkin Ale,/beer/the-keghouse-jolly-pumpkin-ale/288876/,3.39,Spice/Herb/Vegetable
Woodstock Californicator,/beer/woodstock-californicator/344364/,3.38,India Pale Ale (IPA)
Devil's Peak / Mikkeller Capenhagen,/beer/devils-peak-mikkeller-capenhagen/537067/,3.38,India Pale Ale (IPA)
Devil's Peak / Fierce Beer Imperial Caf� Racer,/beer/devils-peak-fierce-beer-imperial-cafe-racer/526478/,3.38,Imperial Porter
Mad Giant Cab Franc Barrel Porter,/beer/mad-giant-cab-franc-barrel-porter/556565/,3.37,Porter
Mad Giant True Grit,/beer/mad-giant-true-grit/280168/,3.37,Amber Ale
Red Sky Vampire,/beer/red-sky-vampire/316531/,3.37,Porter
CBC Mandarina Bavaria IPA,/beer/cbc-mandarina-bavaria-ipa/275415/,3.36,India Pale Ale (IPA)
Mainstream American Pale Ale,/beer/mainstream-american-pale-ale/319401/,3.36,American Pale Ale
CBC Red Weiss,/beer/cbc-red-weiss/324851/,3.36,Dunkelweizen
Jack Black Hooray IPA,/beer/jack-black-hooray-ipa/432309/,3.36,India Pale Ale (IPA)
�on,/beer/aeon/281227/,3.35,Witbier
Urban Judas Peak Blonde Ale,/beer/urban-judas-peak-blonde-ale/455641/,3.35,K�lsch
Mainstream Altbier,/beer/mainstream-altbier/290908/,3.34,Altbier
Paulaner Br�uhaus (Cape Town) Oktoberfest,/beer/paulaner-brauhaus-cape-town-oktoberfest/134614/,3.34,Oktoberfest/M�rzen
Darling Brew Godfather,/beer/darling-brew-godfather/498969/,3.33,India Pale Ale (IPA)
Agar's Brewery American Pale Ale,/beer/agars-brewery-american-pale-ale/290542/,3.33,American Pale Ale
"Aegir Project, Noordhoek Rus Imperial Stout",/beer/aegir-project-noordhoek-rus-imperial-stout/549387/,3.33,Imperial Stout
Devil's Peak Toe The Line,/beer/devils-peak-toe-the-line/539427/,3.33,India Pale Ale (IPA)
Mad Giant Killer Hop,/beer/mad-giant-killer-hop/500002/,3.32,American Pale Ale
