beer,link,score,style
The Booth Throat Punch,/beer/the-booth-throat-punch/514584/,3.55,Imperial IPA
The Booth / Mikkeller 대동강(Taedonggang) Pale Ale,/beer/the-booth-mikkeller-458244604144053taedonggang-pale-ale/395948/,3.47,American Pale Ale
Amazing Shocking Stout,/beer/amazing-shocking-stout/455968/,3.42,Imperial Stout
The Booth Kukmin IPA,/beer/the-booth-kukmin-ipa/497252/,3.41,India Pale Ale (IPA)
Wild Waves 설레임 Surleim(Year Round Version),/beer/wild-waves-494444711251076-surleimyear-round-version/396759/,3.40,Sour/Wild Ale
Wild Waves Ruby Saison,/beer/wild-waves-ruby-saison/455965/,3.35,Saison
Magpie The Ghost Gose 고싸,/beer/magpie-the-ghost-gose-4425649912/297363/,3.32,Grodziskie/Gose/Lichtenhainer
The Booth 50 Saison X SPFF,/beer/the-booth-50-saison-x-spff/563766/,3.32,Saison
Magpie Country Folk,/beer/magpie-country-folk/416941/,3.28,Saison
Craftworks Jirisan Moon Bear IPA ,/beer/craftworks-jirisan-moon-bear-ipa/148969/,3.28,India Pale Ale (IPA)
The Hand and Malt Mocha Stout,/beer/the-hand-and-malt-mocha-stout/287758/,3.27,Stout
Wild Waves Brett IPA,/beer/wild-waves-brett-ipa/387243/,3.26,India Pale Ale (IPA)
Galmegi Espresso Vanilla Stout ,/beer/galmegi-espresso-vanilla-stout/332343/,3.26,Stout
ARK Be High IPA,/beer/ark-be-high-ipa/332044/,3.25,India Pale Ale (IPA)
ARK Cosmic Dancer,/beer/ark-cosmic-dancer/349836/,3.24,Golden Ale/Blond Ale
Maloney's Combat Zone,/beer/maloneys-combat-zone/326602/,3.24,India Pale Ale (IPA)
Whasoo I Yuzually Drink Pale Ale ,/beer/whasoo-i-yuzually-drink-pale-ale/335918/,3.24,Fruit Beer
Galmegi Moonrise Pale Ale,/beer/galmegi-moonrise-pale-ale/268181/,3.23,American Pale Ale
Wild Waves Belgian Rye IPA,/beer/wild-waves-belgian-rye-ipa/389146/,3.23,India Pale Ale (IPA)
ARK Black Swan,/beer/ark-black-swan/424867/,3.23,Dry Stout
The Booth Kieuk Session IPA,/beer/the-booth-kieuk-session-ipa/507265/,3.22,Session IPA
Magpie Pale Ale,/beer/magpie-pale-ale/212142/,3.21,American Pale Ale
Budnamu Blonde,/beer/budnamu-blonde/390037/,3.21,Golden Ale/Blond Ale
Akitu Romance Session IPA ,/beer/akitu-romance-session-ipa/387233/,3.21,Session IPA
O' Kims Br�uhaus Helles,/beer/o-kims-brauhaus-helles/46163/,3.21,Dortmunder/Helles
Platinum Belgian White,/beer/platinum-belgian-white/41848/,3.21,Witbier
Craftworks Geumgang Mountain Dark Ale,/beer/craftworks-geumgang-mountain-dark-ale/148967/,3.20,Brown Ale
Magpie The Last Train,/beer/magpie-the-last-train/317302/,3.19,Baltic Porter
Galmegi Lighthouse Blonde ,/beer/galmegi-lighthouse-blonde/268180/,3.19,Golden Ale/Blond Ale
Galmegi Doljanchi IIPA,/beer/galmegi-doljanchi-iipa/332337/,3.19,Imperial IPA
Magpie Porter,/beer/magpie-porter/212144/,3.18,Porter
Galmegi IPA,/beer/galmegi-ipa/268184/,3.18,India Pale Ale (IPA)
Goodman Garden Saison,/beer/goodman-garden-saison/506856/,3.18,Saison
Amazing First Love (첫사랑),/beer/amazing-first-love-523954932446993/481012/,3.18,India Pale Ale (IPA)
Guarneri Taphouse IPA Sunchang,/beer/guarneri-taphouse-ipa-sunchang/332729/,3.18,India Pale Ale (IPA)
Magpie I'm 100,/beer/magpie-im-100/511616/,3.17,Stout
Magpie 5th Anniversary NE IIPA,/beer/magpie-5th-anniversary-ne-iipa/511617/,3.17,Imperial IPA
Pyrus Espresso Porter,/beer/pyrus-espresso-porter/332711/,3.17,Porter
Wild Waves Surleim+,/beer/wild-waves-surleim/443437/,3.16,Sour/Wild Ale
Platinum Irish Cream Stout,/beer/platinum-irish-cream-stout/41849/,3.16,Stout
Galmegi Yuja Gose,/beer/galmegi-yuja-gose/407383/,3.16,Grodziskie/Gose/Lichtenhainer
Galmegi Sour Red,/beer/galmegi-sour-red/386565/,3.16,Sour/Wild Ale
The Hand and Malt Blanche de Hwado,/beer/the-hand-and-malt-blanche-de-hwado/287759/,3.16,Witbier
Trevier Hoppy Lager,/beer/trevier-hoppy-lager/395982/,3.15,Premium Lager
Goodman Garden Saison Fresh Peppermint,/beer/goodman-garden-saison-fresh-peppermint/507272/,3.15,Spice/Herb/Vegetable
Galmegi Pumpkin Brown,/beer/galmegi-pumpkin-brown/386567/,3.15,Spice/Herb/Vegetable
Pyrus IPA,/beer/pyrus-ipa/332713/,3.14,India Pale Ale (IPA)
Amazing Wonderful IPA,/beer/amazing-wonderful-ipa/458885/,3.14,Session IPA
Jeju Wit Ale,/beer/jeju-wit-ale/552713/,3.14,Witbier
Akitu Camellia IPA,/beer/akitu-camellia-ipa/332721/,3.13,India Pale Ale (IPA)
