beer,link,score,style
N�mada Papaya Rye,/beer/nomada-papaya-rye/441233/,4.06,Imperial IPA
Naparbier Potemkin,/beer/naparbier-potemkin/339441/,4.02,Imperial Stout
La Pirata Black Block Bourbon Barrel Aged,/beer/la-pirata-black-block-bourbon-barrel-aged/369937/,4.01,Imperial Stout
Naparbier Avant-Garde Series Barley Wine Aged for 2 Years. Brandy Ed. 2015,/beer/naparbier-avant-garde-series-barley-wine-aged-for-2-years-brandy-ed-2015/364149/,4.00,Barley Wine
Laugar / Perro Libre Braskadi ,/beer/laugar-perro-libre-braskadi/399736/,3.96,Imperial Stout
Laugar Aupa Tovarisch,/beer/laugar-aupa-tovarisch/311137/,3.95,Imperial Stout
BIIR 4B Oude Gueuze - 2014 Lambic Series ,/beer/biir-4b-oude-gueuze-2014-lambic-series/282607/,3.93,Lambic Style - Gueuze
N�mada Solera,/beer/nomada-solera/293419/,3.92,Imperial Stout
La Pirata / Laugar Heavy Trooper,/beer/la-pirata-laugar-heavy-trooper/553297/,3.89,Scotch Ale
La Pirata Lab N� 001 Super Oatmeal Stout,/beer/la-pirata-lab-n-001-super-oatmeal-stout/399684/,3.88,Imperial Stout
Laugar Aupa Tovarisch Lagavulin Edition,/beer/laugar-aupa-tovarisch-lagavulin-edition/310928/,3.87,Imperial Stout
N�mada Moose Islay,/beer/nomada-moose-islay/188556/,3.87,Imperial Stout
La Pirata Black Block Brandy Aged,/beer/la-pirata-black-block-brandy-aged/243248/,3.87,Imperial Stout
Guineu / La Quince Vanilla Black Velvet,/beer/guineu-la-quince-vanilla-black-velvet/270411/,3.86,Imperial Stout
Edge Brewing Barrica #25,/beer/edge-brewing-barrica-25/506475/,3.86,Imperial Stout
Edge Brewing / Cigar City Gift To Gaspar - Barrel Aged,/beer/edge-brewing-cigar-city-gift-to-gaspar-barrel-aged/408163/,3.85,Imperial Porter
N�mada / To �l Battle Royal Imperial Miso Porter,/beer/nomada-to-ol-battle-royal-imperial-miso-porter/328976/,3.84,Imperial Porter
Basqueland Coco Chango ,/beer/basqueland-coco-chango/505185/,3.83,Imperial Porter
La Pirata Black Block,/beer/la-pirata-black-block/194604/,3.83,Imperial Stout
N�mada Royal Porter,/beer/nomada-royal-porter/283596/,3.83,Imperial Porter
Monsieur Gordo Choconut,/beer/monsieur-gordo-choconut/417562/,3.82,Imperial Stout
Guineu / La Quince Vanilla Milkshake,/beer/guineu-la-quince-vanilla-milkshake/490349/,3.82,Imperial Stout
Jakobsland Brewers / Widawa Origen 2017,/beer/jakobsland-brewers-widawa-origen-2017/517598/,3.82,Baltic Porter
Reptilian Apokalypse,/beer/reptilian-apokalypse/235306/,3.82,Imperial Stout
Montseny Mala Vida - Brandy,/beer/montseny-mala-vida-brandy/388844/,3.82,Imperial Stout
Montseny Mala Vida - Chili,/beer/montseny-mala-vida-chili/388845/,3.81,Imperial Stout
Laugar Aupa Tovarisch Oporto Edition,/beer/laugar-aupa-tovarisch-oporto-edition/230699/,3.81,Imperial Stout
NaparBCN / Montaigu Oude Gueuze,/beer/naparbcn-montaigu-oude-gueuze/417563/,3.81,Lambic Style - Gueuze
N�mada Imperial Coco Stout,/beer/nomada-imperial-coco-stout/480763/,3.80,Imperial Stout
Br�nh�r Hop Clan in the Highmalts - Wee Heavy,/beer/bronher-hop-clan-in-the-highmalts-wee-heavy/240398/,3.80,Scotch Ale
Edge Brewing Hoptimista IPA - Cascade,/beer/edge-brewing-hoptimista-ipa-cascade/277555/,3.80,India Pale Ale (IPA)
Montseny Mala Vida,/beer/montseny-mala-vida/322388/,3.80,Imperial Stout
Yria Herakles Xtra Strong Stout,/beer/yria-herakles-xtra-strong-stout/366677/,3.79,Imperial Stout
La Calavera Mad Cows,/beer/la-calavera-mad-cows/303812/,3.79,Black IPA
BIIR Sweet-Sour / Red Series 2014,/beer/biir-sweet-sour-red-series-2014/282609/,3.79,Lambic Style - Fruit
Naparbier Avant-Garde Series Barley Wine Aged for 18 Months. Red Wine Ed. 2016,/beer/naparbier-avant-garde-series-barley-wine-aged-for-18-months-red-wine-ed-2016/482737/,3.78,Barley Wine
Yria-Guinea Pigs! Flow IPAporter,/beer/yria-guinea-pigs-flow-ipaporter/172568/,3.78,Imperial Porter
Edge Brewing / Lervig Pure Decadence Imperial Stout,/beer/edge-brewing-lervig-pure-decadence-imperial-stout/320348/,3.78,Imperial Stout
Naparbier Avant-Garde Series Barley Wine Aged for 15 Months. Wine Ed. 2013,/beer/naparbier-avant-garde-series-barley-wine-aged-for-15-months-wine-ed-2013/306276/,3.78,Barley Wine
La Pirata Black Block Tequila Barrel Aged,/beer/la-pirata-black-block-tequila-barrel-aged/392165/,3.77,Imperial Stout
Naparbier / de Molen Iru�a & Mordor,/beer/naparbier-de-molen-iruna-mordor/344378/,3.76,Imperial Porter
Reptilian Apokalypse - Brandy Barrel Aged ,/beer/reptilian-apokalypse-brandy-barrel-aged/418676/,3.75,Imperial Stout
Naparbier Avant-Garde Series Barley Wine Aged for 46 Months. Whisky Ed. 2017,/beer/naparbier-avant-garde-series-barley-wine-aged-for-46-months-whisky-ed-2017/548126/,3.75,Barley Wine
Garage No/Country,/beer/garage-no-country/475491/,3.75,Imperial Stout
Edge Brewing Barrica #24,/beer/edge-brewing-barrica-24/479040/,3.75,Imperial Stout
Edge Brewing / 7venth Sun Brewery 7ven Edge 7word,/beer/edge-brewing-7venth-sun-brewery-7ven-edge-7word/266912/,3.75,Imperial IPA
Biribil Basajaun,/beer/biribil-basajaun/342958/,3.75,Imperial IPA
La Pirata Lab N� 005 NEIPA,/beer/la-pirata-lab-n-005-neipa/490708/,3.75,India Pale Ale (IPA)
Laugar Aupa Tovarisch Laphroaig Edition,/beer/laugar-aupa-tovarisch-laphroaig-edition/289855/,3.74,Imperial Stout
Naparbier Back In Black,/beer/naparbier-back-in-black/167841/,3.74,Black IPA
