beer,link,score,style
Lion Stout,/beer/lion-stout/3061/,3.77,Foreign Stout
Millers Sando Stout,/beer/millers-sando-stout/167169/,3.34,Foreign Stout
Kings Extra Strong Stout,/beer/kings-extra-strong-stout/28996/,3.24,Stout
Three Coins Irish Dark,/beer/three-coins-irish-dark/24585/,2.88,Irish Ale
Millers Irish Dark Red Ale,/beer/millers-irish-dark-red-ale/202954/,2.86,Irish Ale
Three Coins Sando Stout,/beer/three-coins-sando-stout/24836/,2.85,Foreign Stout
Three Coins Pilsner,/beer/three-coins-pilsner/13845/,2.81,Pilsener
Three Coins Riva Witbier,/beer/three-coins-riva-witbier/29022/,2.77,Witbier
Royal Pilsner (Sri Lanka),/beer/royal-pilsner-sri-lanka/13842/,2.73,Pilsener
Three Coins Goldbrew ,/beer/three-coins-goldbrew/28992/,2.72,Pale Lager
Papare Celebration Pilsner,/beer/papare-celebration-pilsner/358348/,2.68,Pilsener
Papare English Red Ale,/beer/papare-english-red-ale/358354/,2.68,Amber Ale
Hudgen 5,/beer/hudgen-5/378899/,2.64,Pale Lager
Kings Pilsner (Sri Lanka),/beer/kings-pilsner-sri-lanka/28993/,2.59,Pilsener
Lion Imperial Pilsner (Lager),/beer/lion-imperial-pilsner-lager/66534/,2.50,Malt Liquor
Kings Lager,/beer/kings-lager/28994/,2.35,Pale Lager
Lion Lager (Sri Lanka),/beer/lion-lager-sri-lanka/3060/,2.29,Premium Lager
Bison Super Strong (XXXtra Strong Lager),/beer/bison-super-strong-xxxtra-strong-lager/28995/,2.26,Malt Liquor
Lion Strong Beer,/beer/lion-strong-beer/97256/,2.20,Malt Liquor
Millers GB (Grand Blonde),/beer/millers-gb-grand-blonde/167170/,2.15,Malt Liquor
Millers Sando Power Strong Beer,/beer/millers-sando-power-strong-beer/191661/,2.11,Malt Liquor
Three Coins Lager,/beer/three-coins-lager/13844/,2.01,Pale Lager
Carlsberg (Sri Lanka),/beer/carlsberg-sri-lanka/195662/,n/a,Pilsener
Sinha Lager,/beer/sinha-lager/65706/,n/a,Premium Lager
Baron's Lager Beer,/beer/barons-lager-beer/202955/,n/a,Pale Lager
ABC Extra Stout (Sri Lanka),/beer/abc-extra-stout-sri-lanka/167172/,n/a,Foreign Stout
Anchor Smooth (Sri Lanka),/beer/anchor-smooth-sri-lanka/195659/,n/a,Pilsener
Sinha Stout,/beer/sinha-stout/47241/,n/a,Foreign Stout
