beer,link,score,style
Antillia Golden Wheat Ale,/beer/antillia-golden-wheat-ale/475192/,3.28,Wheat Ale
Antillia Stout,/beer/antillia-stout/480707/,3.17,Stout
Antillia Pale Ale,/beer/antillia-pale-ale/418682/,3.09,English Pale Ale
Antillia Special,/beer/antillia-special/480706/,3.06,Belgian Ale
Windward & Leeward Rooster Select,/beer/windward-leeward-rooster-select/179820/,3.04,Foreign Stout
Piton Lemon Shandy,/beer/piton-lemon-shandy/304060/,2.62,Radler/Shandy
Piton Sorrel Shandy,/beer/piton-sorrel-shandy/304062/,2.60,Radler/Shandy
Piton Shandy Passion Fruit,/beer/piton-shandy-passion-fruit/480421/,2.55,Radler/Shandy
Piton Radler,/beer/piton-radler/262842/,2.55,Radler/Shandy
J'Ouvert Gold Pilsner,/beer/jouvert-gold-pilsner/99756/,2.39,Czech Pilsner (Světl�)
Green Sands,/beer/green-sands/130556/,2.32,Pale Lager
J'Ouvert Dark Dunkel,/beer/jouvert-dark-dunkel/99754/,2.26,Dunkel/Tmav�
Piton,/beer/piton/5598/,1.99,Pale Lager
J'Ouvert Amber,/beer/jouvert-amber/99755/,1.90,Amber Ale
J'Ouvert Black Porter,/beer/jouvert-black-porter/99753/,1.65,Porter
