beer,link,score,style
N�rke Kaggen Stormaktsporter,/beer/narke-kaggen-stormaktsporter/58057/,4.49,Imperial Stout
N�rke Stormaktsporter,/beer/narke-stormaktsporter/41771/,4.25,Imperial Stout
N�rke Konjaks! Stormaktsporter,/beer/narke-konjaks-stormaktsporter/131041/,4.24,Imperial Stout
N�rke Kaggen Stormaktsporter B�rb'n�hallon,/beer/narke-kaggen-stormaktsporter-borbnahallon/413252/,4.20,Imperial Stout
Omnipollo / Siren / David Strachan Lorelei - Barrel Aged Extra Maple,/beer/omnipollo-siren-david-strachan-lorelei-barrel-aged-extra-maple/496247/,4.19,Imperial Porter
N�rke Kaggen Stormaktsporter Pure Swedish Oak,/beer/narke-kaggen-stormaktsporter-pure-swedish-oak/112758/,4.18,Imperial Stout
Omnipollo Noa Pecan Mud Cake ,/beer/omnipollo-noa-pecan-mud-cake/326774/,4.14,Imperial Stout
Omnipollo Noa Pecan Mud Cake - Bourbon,/beer/omnipollo-noa-pecan-mud-cake-bourbon/371978/,4.13,Imperial Stout
Omnipollo / Buxton Original Maple Truffle Ice Cream Waffle,/beer/omnipollo-buxton-original-maple-truffle-ice-cream-waffle/539448/,4.13,Imperial Porter
Dugges / Omnipollo Anagram Bourbon Barrel Aged Blueberry Cheesecake Stout,/beer/dugges-omnipollo-anagram-bourbon-barrel-aged-blueberry-cheesecake-stout/462931/,4.10,Imperial Stout
Dugges / Stillwater Speyside Cacao,/beer/dugges-stillwater-speyside-cacao/548251/,4.08,Imperial Stout
Stigbergets GBG Beer Week 2016,/beer/stigbergets-gbg-beer-week-2016/411389/,4.08,India Pale Ale (IPA)
Omnipollo Agamemnon Bourbon,/beer/omnipollo-agamemnon-bourbon/343478/,4.07,Imperial Stout
Br�nnlands Iscider Fatlagrad 2013,/beer/brannlands-iscider-fatlagrad-2013/435142/,4.07,Ice Cider/Ice Perry
Omnipollo Noa Pecan Mud Cake - Double Barrel,/beer/omnipollo-noa-pecan-mud-cake-double-barrel/409868/,4.06,Imperial Stout
Omnipollo / Evil Twin / Dugges Jesus Mud,/beer/omnipollo-evil-twin-dugges-jesus-mud/532437/,4.06,Imperial Stout
Omnipollo Selassie,/beer/omnipollo-selassie/454116/,4.04,Imperial Stout
Omnipollo / Buxton Yellow Belly Peanut Butter Biscuit Stout,/beer/omnipollo-buxton-yellow-belly-peanut-butter-biscuit-stout/280975/,4.02,Imperial Stout
