beer,link,score,style
BFM Abbaye de Saint Bon-Chien (2004),/beer/bfm-abbaye-de-saint-bon-chien-2004/53642/,3.92,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien (2013),/beer/bfm-abbaye-de-saint-bon-chien-2013/263937/,3.91,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien (2007),/beer/bfm-abbaye-de-saint-bon-chien-2007/85506/,3.90,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien (2011),/beer/bfm-abbaye-de-saint-bon-chien-2011/168032/,3.88,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien (2012),/beer/bfm-abbaye-de-saint-bon-chien-2012/216852/,3.88,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2014) - Lasciatemi Chiantiare,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2014-lasciatemi-chiantiare/420694/,3.85,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru 2015 - Like a VirJin,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2015-like-a-virjin/451205/,3.85,Sour/Wild Ale
BFM √225 Saison,/beer/bfm-8730225-saison/178022/,3.83,Saison
BFM Abbaye de Saint Bon-Chien (2008),/beer/bfm-abbaye-de-saint-bon-chien-2008/102624/,3.83,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien (2015),/beer/bfm-abbaye-de-saint-bon-chien-2015/407034/,3.82,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2007) - Bourbon Barrel,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2007-bourbon-barrel/97518/,3.81,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien (2014),/beer/bfm-abbaye-de-saint-bon-chien-2014/354162/,3.81,Sour/Wild Ale
H�rlimann Samichlaus,/beer/hurlimann-samichlaus/2399/,3.80,Doppelbock
BFM Abbaye de Saint Bon-Chien Grand Cru (2013) - Frenchy Sparkling Wine,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2013-frenchy-sparkling-wine/289175/,3.80,Sour/Wild Ale
BFM Degustator - la Jeandy,/beer/bfm-degustator-la-jeandy/519364/,3.80,Sour Red/Brown
BFM Abbaye de Saint Bon-Chien Grand Cru (2011) - Vin Blanc Barrel,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2011-vin-blanc-barrel/172526/,3.80,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2008) - Trousseau Barrel,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2008-trousseau-barrel/101751/,3.79,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien (2006),/beer/bfm-abbaye-de-saint-bon-chien-2006/72526/,3.79,Sour/Wild Ale
BFM √225 Saison - Grapes,/beer/bfm-8730225-saison-grapes/256292/,3.79,Saison
BFM Abbaye de Saint Bon-Chien (2005),/beer/bfm-abbaye-de-saint-bon-chien-2005/67003/,3.78,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2011-2012) - Ros�,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2011-2012-rose/202951/,3.78,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2011) - Sauvignon Barrel,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2011-sauvignon-barrel/262176/,3.78,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien (2009),/beer/bfm-abbaye-de-saint-bon-chien-2009/119044/,3.76,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien (2010),/beer/bfm-abbaye-de-saint-bon-chien-2010/140191/,3.74,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2007) - Pinot Noir Barrel,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2007-pinot-noir-barrel/97589/,3.73,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2013) - Megamix Rum Vol.2,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2013-megamix-rum-vol2/345741/,3.73,Sour/Wild Ale
La N�buleuse / BFM Saison Champ�tre,/beer/la-nebuleuse-bfm-saison-champetre/495597/,3.73,Saison
523 Pacific Imperial IPA,/beer/523-pacific-imperial-ipa/256907/,3.73,Imperial IPA
BFM Abbaye de Saint Bon-Chien Grand Cru (2012) - Champagne Barrel,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2012-champagne-barrel/262174/,3.72,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2012) - Merlot Cabernet Sauv.,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2012-merlot-cabernet-sauv/256293/,3.71,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2008) - Vin Jaune VJ1 Barrel,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2008-vin-jaune-vj1-barrel/102646/,3.71,Sour/Wild Ale
Trois Dames For�t Noire,/beer/trois-dames-foret-noire/210947/,3.70,Sour Red/Brown
BFM Procrastinator 2,/beer/bfm-procrastinator-2/262169/,3.69,Eisbock
Cidrerie du Vulcain Botsi de Glace,/beer/cidrerie-du-vulcain-botsi-de-glace/249804/,3.68,Ice Cider/Ice Perry
Trois Dames Oud Bruin,/beer/trois-dames-oud-bruin/107626/,3.68,Sour Red/Brown
BFM √225 Saison - Rhubarb,/beer/bfm-8730225-saison-rhubarb/256291/,3.67,Saison
BFM √225 Saison - Moscato,/beer/bfm-8730225-saison-moscato/291159/,3.67,Saison
Hoppy People Psychobilly Black,/beer/hoppy-people-psychobilly-black/431999/,3.67,Black IPA
BFM Abbaye de Saint Bon-Chien Grand Cru (2007) - Cabernet Barrel,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2007-cabernet-barrel/98422/,3.66,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2010) - Rhum Barrels,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2010-rhum-barrels/140211/,3.66,Sour/Wild Ale
523 New Zealand TOA,/beer/523-new-zealand-toa/497307/,3.66,Black IPA
Sottobisio Wild Shot Merlot Oak Aged,/beer/sottobisio-wild-shot-merlot-oak-aged/497965/,3.66,Sour/Wild Ale
BFM Abbaye de Saint Bon-Chien Grand Cru (2013) - VJ Greatest Hits Tome 3,/beer/bfm-abbaye-de-saint-bon-chien-grand-cru-2013-vj-greatest-hits-tome-3/354775/,3.66,Sour/Wild Ale
Trois Dames / Jester King / Crooked Stave Cerveza Sin Frontera Cognac BA,/beer/trois-dames-jester-king-crooked-stave-cerveza-sin-frontera-cognac-ba/527064/,3.65,Sour/Wild Ale
BFM Jean Chris Nomad V2350,/beer/bfm-jean-chris-nomad-v2350/412170/,3.65,Saison
523 Tiger ,/beer/523-tiger/497303/,3.63,India Pale Ale (IPA)
Cidrerie du Vulcain La Transparente,/beer/cidrerie-du-vulcain-la-transparente/414043/,3.62,Cider
Bad Attitude Two Penny Porter,/beer/bad-attitude-two-penny-porter/150676/,3.62,Imperial Porter
BFM √227 Degustator,/beer/bfm-8730227-degustator/462370/,3.62,Saison
Trois Dames Fianc�e Pinot Noir,/beer/trois-dames-fiancee-pinot-noir/288772/,3.61,Saison
