beer,link,score,style
Taihu The Black Bear,/beer/taihu-the-black-bear/513223/,3.63,Imperial Stout
Le Bl� d'Or Weissbier,/beer/le-ble-dor-weissbier/41630/,3.39,German Hefeweizen
Zhang Men 黑柑橘 Black IPA,/beer/zhang-men-406572657727224-black-ipa/472756/,3.39,Black IPA
Formosa Hoppy Triple,/beer/formosa-hoppy-triple/484750/,3.39,Abbey Tripel
Jolly Bi�re de Mars ,/beer/jolly-biere-de-mars/376235/,3.37,Bi�re de Garde
Zhang Men 酸酸 Sour Frenzy Berliner Weisse,/beer/zhang-men-3724037240-sour-frenzy-berliner-weisse/493505/,3.34,Berliner Weisse
Taihu Gom Jabbar,/beer/taihu-gom-jabbar/513555/,3.32,Imperial IPA
Taihu Escobar,/beer/taihu-escobar/514586/,3.29,Cream Ale
Taiwan Head Brewers Xiaohan 小寒 Taiwan Chocolate Stout,/beer/taiwan-head-brewers-xiaohan-2356723506-taiwan-chocolate-stout/430499/,3.29,Stout
Taiwan Head Brewers Dashu 大暑 Taiwan Jasmine IPA,/beer/taiwan-head-brewers-dashu-2282326257-taiwan-jasmine-ipa/430500/,3.27,India Pale Ale (IPA)
55th Street IPA,/beer/55th-street-ipa/319648/,3.26,India Pale Ale (IPA)
Taihu Occam's Razor,/beer/taihu-occams-razor/515453/,3.25,India Pale Ale (IPA)
Formosa Mountain Pepper Wheat,/beer/formosa-mountain-pepper-wheat/484751/,3.25,Wheat Ale
55th Street Session IPA,/beer/55th-street-session-ipa/377943/,3.25,Session IPA
SUNMAI Dark Lager,/beer/sunmai-dark-lager/481565/,3.25,Dunkel/Tmav�
Indie Brew The Cacao Fountain,/beer/indie-brew-the-cacao-fountain/499917/,3.25,Porter
Formosa French Fruity Pale Ale,/beer/formosa-french-fruity-pale-ale/484749/,3.23,American Pale Ale
Alechemist Hefty Red,/beer/alechemist-hefty-red/420752/,3.22,Amber Ale
Hengchun 3000 Brewseum Chuhou (出火) American Stout,/beer/hengchun-3000-brewseum-chuhou-2098628779-american-stout/511276/,3.21,Stout
Jolly Pilsener,/beer/jolly-pilsener/19038/,3.21,Pilsener
Taiwan Head Brewers Xiaoxue 小雪 Taiwan Weizenbock,/beer/taiwan-head-brewers-xiaoxue-2356738634-taiwan-weizenbock/541547/,3.21,Weizen Bock
SUNMAI Wheat Beer,/beer/sunmai-wheat-beer/481567/,3.21,German Hefeweizen
"SUNMAI (Long Sun), New Taipei City Gulf of Siam",/beer/sunmai-long-sun-new-taipei-city-gulf-of-siam/513653/,3.21,Wheat Ale
55th Street Amber Ale,/beer/55th-street-amber-ale/377942/,3.21,Amber Ale
Zhang Men 老菸槍 Imperial Porter,/beer/zhang-men-327693378427085-imperial-porter/432214/,3.18,Imperial Porter
Taihu Hibiweisse,/beer/taihu-hibiweisse/517055/,3.18,Berliner Weisse
Jolly Belgian IPA,/beer/jolly-belgian-ipa/564711/,3.18,Belgian Strong Ale
Jolly Pale Ale,/beer/jolly-pale-ale/19035/,3.17,English Pale Ale
Redpoint 台.P.A.,/beer/redpoint-21488pa/255562/,3.17,India Pale Ale (IPA)
Zhang Men 黃柑橘 Fruit IPA,/beer/zhang-men-406432657727224-fruit-ipa/493510/,3.17,India Pale Ale (IPA)
Zhang Men 真實一號 Dark Mild,/beer/zhang-men-30495235261996834399-dark-mild/493512/,3.17,Mild Ale
Zhang Men Smoked Porter,/beer/zhang-men-smoked-porter/558127/,3.17,Porter
Taihu  ?? Smoked Plum Lichtenhainer,/beer/taihu-??-smoked-plum-lichtenhainer/515777/,3.17,Grodziskie/Gose/Lichtenhainer
Formosa Bird Beer,/beer/formosa-bird-beer/72184/,3.15,Belgian Ale
Zhang Men NE IPA,/beer/zhang-men-ne-ipa/560373/,3.15,India Pale Ale (IPA)
Hengchun 3000 Brewseum South Gate (南門) Schwarzbier,/beer/hengchun-3000-brewseum-south-gate-2133538272-schwarzbier/511279/,3.15,Schwarzbier
Redpoint Formosan Rock Monkey Stout,/beer/redpoint-formosan-rock-monkey-stout/500246/,3.15,Stout
SUNMAI Gangkou,/beer/sunmai-gangkou/481569/,3.15,American Pale Ale
Zhang Men Turbo 74 IPA,/beer/zhang-men-turbo-74-ipa/496391/,3.14,India Pale Ale (IPA)
Taihu MOMO ????? Peach Weisse,/beer/taihu-momo-?????-peach-weisse/493747/,3.14,Fruit Beer
Taihu IPA,/beer/taihu-ipa/493745/,3.13,India Pale Ale (IPA)
Taihu ?? Kumquat K�lsch,/beer/taihu-??-kumquat-kolsch/493746/,3.13,Fruit Beer
Takao Takau Golden Ale,/beer/takao-takau-golden-ale/72038/,3.13,Golden Ale/Blond Ale
Takao Black,/beer/takao-black/72056/,3.13,Schwarzbier
Takao Beer Hibiscus,/beer/takao-beer-hibiscus/556983/,3.13,Fruit Beer
Takao Beer Coffee,/beer/takao-beer-coffee/556986/,3.13,Porter
Taihu #013 Lichtenhainer,/beer/taihu-013-lichtenhainer/508782/,3.12,Grodziskie/Gose/Lichtenhainer
SUNMAI Tribute to Wu Gang,/beer/sunmai-tribute-to-wu-gang/513205/,3.12,Saison
Takao Pils,/beer/takao-pils/72039/,3.11,Pilsener
Takao Beer Chamomile,/beer/takao-beer-chamomile/556984/,3.11,Spice/Herb/Vegetable
