beer,link,score,style
King Oryx Dark Lager,/beer/king-oryx-dark-lager/152394/,2.96,Dunkel/Tmav�
Ndovu Red Malt,/beer/ndovu-red-malt/452786/,2.96,Dunkel/Tmav�
Bia Bingwa,/beer/bia-bingwa/14037/,2.92,Imperial Pils/Strong Pale Lager
kibo gold  ,/beer/kibo-gold/226161/,2.67,Pale Lager
Castle Ranger,/beer/castle-ranger/14015/,2.67,Pale Lager
Raha,/beer/raha/107584/,2.67,Fruit Beer
King Oryx Lager,/beer/king-oryx-lager/152393/,2.66,Pale Lager
Serengeti The Kick,/beer/serengeti-the-kick/109400/,2.63,Imperial Pils/Strong Pale Lager
Uhuru Peak Lager,/beer/uhuru-peak-lager/194429/,2.48,Amber Lager/Vienna
Trophy Lager,/beer/trophy-lager/14040/,2.39,Pale Lager
Pumbe,/beer/pumbe/94021/,2.24,Traditional Ale
Tanzanian Pilsner Ice,/beer/tanzanian-pilsner-ice/36260/,2.23,Pilsener
Serengeti Platinum,/beer/serengeti-platinum/403229/,2.15,Premium Lager
Ndovu Special Malt,/beer/ndovu-special-malt/14034/,2.14,Pale Lager
Safari Lager,/beer/safari-lager/13177/,2.07,Pale Lager
Redds Premium Cold,/beer/redds-premium-cold/79749/,2.06,Cider
Tanzanian Kibo Gold,/beer/tanzanian-kibo-gold/24927/,2.05,Pale Lager
Castle Lager,/beer/castle-lager/137821/,2.01,Pale Lager
Kilimanjaro Premium Lager,/beer/kilimanjaro-premium-lager/13837/,2.00,Pale Lager
Serengeti Premium Lager,/beer/serengeti-premium-lager/13838/,1.98,Premium Lager
49er,/beer/49er/14035/,n/a,Pale Lager
Twiga Ale,/beer/twiga-ale/528056/,n/a,Golden Ale/Blond Ale
Twiga Stoud,/beer/twiga-stoud/528059/,n/a,Stout
Raha Poa,/beer/raha-poa/205512/,n/a,Fruit Beer
Balimi Extra Lager,/beer/balimi-extra-lager/14036/,n/a,Pale Lager
