beer,link,score,style
Eleventh Fort Black India Pale Ale,/beer/eleventh-fort-black-india-pale-ale/458374/,3.64,Black IPA
King Kong Americano Porter,/beer/king-kong-americano-porter/461290/,3.41,Porter
Lazy Fat Cat Roaring Cat,/beer/lazy-fat-cat-roaring-cat/559354/,3.39,India Pale Ale (IPA)
Happy New Beer IPA,/beer/happy-new-beer-ipa/410962/,3.34,India Pale Ale (IPA)
Eleventh Fort Sweet Child O' Mine,/beer/eleventh-fort-sweet-child-o-mine/476967/,3.33,Porter
Nectar Single Coffee Stout,/beer/nectar-single-coffee-stout/464848/,3.33,Stout
Silom Bad Bear IPA,/beer/silom-bad-bear-ipa/459528/,3.29,India Pale Ale (IPA)
King Kong Empire State Has Fallen,/beer/king-kong-empire-state-has-fallen/471694/,3.29,Imperial IPA
Decsnob Charmer Imperial Stout ,/beer/decsnob-charmer-imperial-stout/485065/,3.28,Imperial Stout
Eleventh Fort India Pale Ale,/beer/eleventh-fort-india-pale-ale/459294/,3.28,India Pale Ale (IPA)
Nectar Coffee Stout,/beer/nectar-coffee-stout/559514/,3.27,Stout
Silom Black IPA,/beer/silom-black-ipa/480921/,3.25,Black IPA
Silom Pirates Stout,/beer/silom-pirates-stout/480925/,3.25,Imperial Stout
Happy New Beer Double India Pale Ale,/beer/happy-new-beer-double-india-pale-ale/551323/,3.25,Imperial IPA
Lamzing Saur-Ground IPA,/beer/lamzing-saur-ground-ipa/508546/,3.24,India Pale Ale (IPA)
Chit Beer Porn's Milk Stout,/beer/chit-beer-porns-milk-stout/458638/,3.24,Sweet Stout
Nectar Amber Ale,/beer/nectar-amber-ale/471748/,3.24,Amber Ale
King Kong Imperial Stout and the Last Chocolate,/beer/king-kong-imperial-stout-and-the-last-chocolate/462976/,3.23,Imperial Stout
Outlaw Centennial IPA,/beer/outlaw-centennial-ipa/502080/,3.22,American Pale Ale
King Kong New Zingle IPA,/beer/king-kong-new-zingle-ipa/457920/,3.22,India Pale Ale (IPA)
King Kong Super Moon,/beer/king-kong-super-moon/472441/,3.22,Black IPA
CupG Newbie IPA,/beer/cupg-newbie-ipa/491018/,3.22,India Pale Ale (IPA)
Nectar Mocha Stout,/beer/nectar-mocha-stout/566414/,3.21,Stout
Sloths Hops Fusion,/beer/sloths-hops-fusion/530447/,3.21,American Pale Ale
Outlaw New Zealand IPA,/beer/outlaw-new-zealand-ipa/471993/,3.21,India Pale Ale (IPA)
Devanom IPPO Pale Ale,/beer/devanom-ippo-pale-ale/491300/,3.21,India Pale Ale (IPA)
Sandport  Bang Bang,/beer/sandport-bang-bang/471476/,3.20,India Pale Ale (IPA)
Lamzing Morning in Monsoon,/beer/lamzing-morning-in-monsoon/472440/,3.20,Stout
Outlaw Gateway,/beer/outlaw-gateway/455943/,3.20,India Pale Ale (IPA)
Golden Coins Wish Do!,/beer/golden-coins-wish-do/466352/,3.19,American Pale Ale
Outlaw RePrObatE,/beer/outlaw-reprobate/489112/,3.19,India Pale Ale (IPA)
Chit Beer Mosaic Pale Ale,/beer/chit-beer-mosaic-pale-ale/458659/,3.19,American Pale Ale
Sloths Porter,/beer/sloths-porter/464454/,3.19,Porter
Decsnob Chocohazel Amber Ale,/beer/decsnob-chocohazel-amber-ale/464311/,3.18,Amber Ale
Sandport Wheat off the Wall,/beer/sandport-wheat-off-the-wall/414382/,3.18,Wheat Ale
Golden Coins Happy Stout,/beer/golden-coins-happy-stout/456078/,3.18,Sweet Stout
King Kong Imperial Stout Raspberry Choco,/beer/king-kong-imperial-stout-raspberry-choco/484320/,3.18,Imperial Stout
Sloths White IPA (Passion Fruit),/beer/sloths-white-ipa-passion-fruit/508426/,3.18,American Pale Ale
Outlaw West Coast Pale Ale,/beer/outlaw-west-coast-pale-ale/526309/,3.18,American Pale Ale
Silom Bad Bear Stout,/beer/silom-bad-bear-stout/459476/,3.18,Stout
D'X Brewerkz Genesis IPA,/beer/dx-brewerkz-genesis-ipa/528409/,3.17,India Pale Ale (IPA)
3 Bears Gorilla Stout,/beer/3-bears-gorilla-stout/465972/,3.17,Stout
Outlaw Big Pistol Porter,/beer/outlaw-big-pistol-porter/455944/,3.17,Porter
CupG Hippie Porter,/beer/cupg-hippie-porter/462941/,3.16,Porter
Soi Beer Black Bean Bock,/beer/soi-beer-black-bean-bock/531798/,3.16,Dunkler Bock
Changwon / Lamzing / Mahanakhon / Sandport ORanGeY,/beer/changwon-lamzing-mahanakhon-sandport-orangey/508855/,3.16,Stout
Lamzing Bender Hermit,/beer/lamzing-bender-hermit/515471/,3.15,India Pale Ale (IPA)
3 Bears Hunter's IPA,/beer/3-bears-hunters-ipa/465964/,3.15,India Pale Ale (IPA)
Chit Beer Monkey IPA,/beer/chit-beer-monkey-ipa/458636/,3.15,India Pale Ale (IPA)
Outlaw Tropical Storm,/beer/outlaw-tropical-storm/455951/,3.15,Wheat Ale
