beer,link,score,style
Awooyo Sp�ciale,/beer/awooyo-speciale/18388/,3.08,Brown Ale
Ngoma Pils,/beer/ngoma-pils/13720/,2.81,Pale Lager
BB Castel Beer,/beer/bb-castel-beer/140842/,2.66,Pale Lager
Beaufort 6.9,/beer/beaufort-69/127021/,2.66,Malt Liquor
BB Pils,/beer/bb-pils/62480/,2.62,Pilsener
33 Export (Togo),/beer/33-export-togo/141627/,2.58,Pale Lager
BB Lager,/beer/bb-lager/127020/,2.13,Pale Lager
Beaufort Lager (Togo),/beer/beaufort-lager-togo/141628/,2.02,Pale Lager
Flag Sp�ciale (Togo),/beer/flag-speciale-togo/43498/,1.95,Pale Lager
Guinness Foreign Extra Stout (Togo),/beer/guinness-foreign-extra-stout-togo/450024/,n/a,Foreign Stout
EKU Bavaria (Togo),/beer/eku-bavaria-togo/141626/,n/a,Dortmunder/Helles
