beer,link,score,style
Blonder Beer Svetloe,/beer/blonder-beer-svetloe/270121/,2.87,Pale Lager
Staraya Krepost Yubileynoe Nefiltrovannoe,/beer/staraya-krepost-yubileynoe-nefiltrovannoe/481791/,2.83,Amber Lager/Vienna
Benderskoe Temnoe,/beer/benderskoe-temnoe/190500/,2.81,Dunkel/Tmav�
Blonder Beer Temnoe ,/beer/blonder-beer-temnoe/530958/,2.81,Dunkel/Tmav�
Staraya Krepost Klassicheskoe Nefiltrovannoe,/beer/staraya-krepost-klassicheskoe-nefiltrovannoe/481792/,2.79,Zwickel/Keller/Landbier
Staraya Krepost Originalnoe Nefiltrovannoe,/beer/staraya-krepost-originalnoe-nefiltrovannoe/481050/,2.76,Zwickel/Keller/Landbier
Benderskoe Irlandskoe,/beer/benderskoe-irlandskoe/224737/,2.76,Irish Ale
Bullet,/beer/bullet/462624/,2.75,Pale Lager
Pavlegor ,/beer/pavlegor/352854/,2.70,Pale Lager
Slobodzeskoye Polutemnoe,/beer/slobodzeskoye-polutemnoe/294390/,2.60,Amber Lager/Vienna
Staraya Krepost Yubileynoe,/beer/staraya-krepost-yubileynoe/327215/,2.60,Amber Lager/Vienna
Nashe Pivo Klassicheskoe,/beer/nashe-pivo-klassicheskoe/410502/,2.47,Amber Lager/Vienna
Staraya Krepost Originalnoe,/beer/staraya-krepost-originalnoe/331644/,2.40,Pale Lager
Nashe Pivo Legkoe,/beer/nashe-pivo-legkoe/424182/,2.38,Low Alcohol
Staraya Krepost Klassicheskoe,/beer/staraya-krepost-klassicheskoe/27240/,2.29,Pale Lager
Nashe Pivo Premium,/beer/nashe-pivo-premium/413682/,2.21,Amber Lager/Vienna
Slobodzeskoye Svetloe,/beer/slobodzeskoye-svetloe/182215/,2.03,Pale Lager
Benderskoe Svetloe,/beer/benderskoe-svetloe/182214/,1.86,Pale Lager
Slobodzeskoye Temnoe,/beer/slobodzeskoye-temnoe/294391/,n/a,Dunkel/Tmav�
