beer,link,score,style
Carib Royal Extra Stout,/beer/carib-royal-extra-stout/6831/,2.87,Foreign Stout
Black Wolf Howling Dark Lager Beer,/beer/black-wolf-howling-dark-lager-beer/117430/,2.74,Imperial Pils/Strong Pale Lager
Stud Power Stout,/beer/stud-power-stout/26436/,2.37,Foreign Stout
Carib Pola Beer,/beer/carib-pola-beer/173480/,2.23,Pale Lager
Samba Lager,/beer/samba-lager/26437/,2.14,Pale Lager
Stag Lager Beer,/beer/stag-lager-beer/11178/,2.10,Pale Lager
Carib Shandy (Ginger),/beer/carib-shandy-ginger/4491/,1.97,Radler/Shandy
Carib Pilsner Light,/beer/carib-pilsner-light/130542/,1.97,Pale Lager
Carib Shandy (Lime),/beer/carib-shandy-lime/36090/,1.95,Radler/Shandy
Carib Shandy (Sorrel),/beer/carib-shandy-sorrel/36089/,1.80,Radler/Shandy
Carib Lager,/beer/carib-lager/3059/,1.78,Pale Lager
Carib Malta,/beer/carib-malta/257361/,n/a,Low Alcohol
Guinness Foreign Extra Stout (Carib),/beer/guinness-foreign-extra-stout-carib/173483/,n/a,Foreign Stout
