beer,link,score,style
Golfbrau Dunkel,/beer/golfbrau-dunkel/37230/,3.04,Dunkel/Tmav�
Golfbrau Helles,/beer/golfbrau-helles/34400/,2.93,Dortmunder/Helles
Stella Black,/beer/stella-black/380778/,2.83,Dunkler Bock
Golden Brau (Tunisia),/beer/golden-brau-tunisia/380306/,2.77,Pale Lager
Brauhaus Yasmine Weizen,/beer/brauhaus-yasmine-weizen/143735/,2.77,German Hefeweizen
Brauhaus Yasmine Helles,/beer/brauhaus-yasmine-helles/92107/,2.74,Dortmunder/Helles
Brauhaus Le Berbere Dunkel,/beer/brauhaus-le-berbere-dunkel/37227/,2.73,Dunkel/Tmav�
Golfbrau Weizen,/beer/golfbrau-weizen/37228/,2.72,German Hefeweizen
Brauhaus Le Berbere Weizen,/beer/brauhaus-le-berbere-weizen/37226/,2.68,German Hefeweizen
Brauhaus Yasmine Dunkel,/beer/brauhaus-yasmine-dunkel/92108/,2.61,Dunkel/Tmav�
Brauhaus Le Berbere Hell,/beer/brauhaus-le-berbere-hell/37225/,2.51,Pale Lager
33 Extra Dry,/beer/33-extra-dry/72971/,2.28,Pilsener
Stella (Tunisia),/beer/stella-tunisia/13839/,2.25,Pale Lager
Berber Blonde,/beer/berber-blonde/412834/,2.14,Pale Lager
Celtia,/beer/celtia/13840/,1.92,Pale Lager
Celestia,/beer/celestia/84786/,1.63,Low Alcohol
